"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	"2007"	"2007"	14	172404	Unreliable
	"Baldwin County, AL"	"01003"	"2008"	"2008"	14	175827	Unreliable
	"Baldwin County, AL"	"01003"	"2009"	"2009"	10	179406	Unreliable
	"Baldwin County, AL"	"01003"	"2010"	"2010"	11	182265	Unreliable
	"Baldwin County, AL"	"01003"	"2011"	"2011"	11	186717	Unreliable
	"Baldwin County, AL"	"01003"	"2014"	"2014"	16	200111	Unreliable
	"Baldwin County, AL"	"01003"	"2015"	"2015"	20	203709	9.8
	"Baldwin County, AL"	"01003"	"2016"	"2016"	18	208563	Unreliable
	"Baldwin County, AL"	"01003"	"2017"	"2017"	21	212628	9.9
	"Baldwin County, AL"	"01003"	"2018"	"2018"	14	218022	Unreliable
	"Blount County, AL"	"01009"	"2012"	"2012"	11	57826	Unreliable
	"Blount County, AL"	"01009"	"2015"	"2015"	12	57673	Unreliable
	"Cullman County, AL"	"01043"	"2016"	"2016"	13	82471	Unreliable
	"Cullman County, AL"	"01043"	"2017"	"2017"	12	82755	Unreliable
	"Cullman County, AL"	"01043"	"2018"	"2018"	12	83442	Unreliable
	"DeKalb County, AL"	"01049"	"2017"	"2017"	11	71617	Unreliable
	"DeKalb County, AL"	"01049"	"2018"	"2018"	10	71385	Unreliable
	"Etowah County, AL"	"01055"	"2017"	"2017"	27	102755	26.3
	"Etowah County, AL"	"01055"	"2018"	"2018"	15	102501	Unreliable
	"Jefferson County, AL"	"01073"	"2007"	"2007"	46	655163	7.0
	"Jefferson County, AL"	"01073"	"2008"	"2008"	45	656510	6.9
	"Jefferson County, AL"	"01073"	"2009"	"2009"	67	658441	10.2
	"Jefferson County, AL"	"01073"	"2010"	"2010"	43	658466	6.5
	"Jefferson County, AL"	"01073"	"2011"	"2011"	41	658931	6.2
	"Jefferson County, AL"	"01073"	"2012"	"2012"	57	660009	8.6
	"Jefferson County, AL"	"01073"	"2013"	"2013"	60	659479	9.1
	"Jefferson County, AL"	"01073"	"2014"	"2014"	153	660793	23.2
	"Jefferson County, AL"	"01073"	"2015"	"2015"	142	660367	21.5
	"Jefferson County, AL"	"01073"	"2016"	"2016"	169	659521	25.6
	"Jefferson County, AL"	"01073"	"2017"	"2017"	169	659197	25.6
	"Jefferson County, AL"	"01073"	"2018"	"2018"	145	659300	22.0
	"Madison County, AL"	"01089"	"2011"	"2011"	17	340111	Unreliable
	"Madison County, AL"	"01089"	"2016"	"2016"	16	356967	Unreliable
	"Madison County, AL"	"01089"	"2017"	"2017"	20	361046	5.5
	"Madison County, AL"	"01089"	"2018"	"2018"	13	366519	Unreliable
	"Mobile County, AL"	"01097"	"2007"	"2007"	29	405715	7.1
	"Mobile County, AL"	"01097"	"2008"	"2008"	27	409196	6.6
	"Mobile County, AL"	"01097"	"2009"	"2009"	22	411994	5.3
	"Mobile County, AL"	"01097"	"2010"	"2010"	14	412992	Unreliable
	"Mobile County, AL"	"01097"	"2011"	"2011"	14	412577	Unreliable
	"Mobile County, AL"	"01097"	"2012"	"2012"	16	413936	Unreliable
	"Mobile County, AL"	"01097"	"2013"	"2013"	21	414079	5.1
	"Mobile County, AL"	"01097"	"2014"	"2014"	20	415123	4.8
	"Mobile County, AL"	"01097"	"2015"	"2015"	26	415395	6.3
	"Mobile County, AL"	"01097"	"2016"	"2016"	21	414836	5.1
	"Mobile County, AL"	"01097"	"2017"	"2017"	15	413955	Unreliable
	"Mobile County, AL"	"01097"	"2018"	"2018"	33	413757	8.0
	"Morgan County, AL"	"01103"	"2009"	"2009"	10	118954	Unreliable
	"Morgan County, AL"	"01103"	"2018"	"2018"	15	119089	Unreliable
	"St. Clair County, AL"	"01115"	"2014"	"2014"	13	86697	Unreliable
	"St. Clair County, AL"	"01115"	"2016"	"2016"	13	88019	Unreliable
	"St. Clair County, AL"	"01115"	"2017"	"2017"	15	88199	Unreliable
	"St. Clair County, AL"	"01115"	"2018"	"2018"	17	88690	Unreliable
	"Shelby County, AL"	"01117"	"2007"	"2007"	21	183491	11.4
	"Shelby County, AL"	"01117"	"2008"	"2008"	20	188534	10.6
	"Shelby County, AL"	"01117"	"2009"	"2009"	16	192708	Unreliable
	"Shelby County, AL"	"01117"	"2010"	"2010"	16	195085	Unreliable
	"Shelby County, AL"	"01117"	"2011"	"2011"	10	197936	Unreliable
	"Shelby County, AL"	"01117"	"2012"	"2012"	15	200941	Unreliable
	"Shelby County, AL"	"01117"	"2014"	"2014"	14	206655	Unreliable
	"Shelby County, AL"	"01117"	"2015"	"2015"	11	208713	Unreliable
	"Shelby County, AL"	"01117"	"2016"	"2016"	28	210622	13.3
	"Shelby County, AL"	"01117"	"2017"	"2017"	27	213605	12.6
	"Shelby County, AL"	"01117"	"2018"	"2018"	25	215707	11.6
	"Tuscaloosa County, AL"	"01125"	"2007"	"2007"	13	184350	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2008"	"2008"	15	188093	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2017"	"2017"	14	207811	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2018"	"2018"	12	208911	Unreliable
	"Walker County, AL"	"01127"	"2010"	"2010"	21	67023	31.3
	"Walker County, AL"	"01127"	"2011"	"2011"	20	66661	30.0
	"Walker County, AL"	"01127"	"2012"	"2012"	15	66221	Unreliable
	"Anchorage Borough, AK"	"02020"	"2007"	"2007"	12	278792	Unreliable
	"Anchorage Borough, AK"	"02020"	"2008"	"2008"	41	281554	14.6
	"Anchorage Borough, AK"	"02020"	"2009"	"2009"	43	287677	14.9
	"Anchorage Borough, AK"	"02020"	"2010"	"2010"	28	291826	9.6
	"Anchorage Borough, AK"	"02020"	"2011"	"2011"	35	295570	11.8
	"Anchorage Borough, AK"	"02020"	"2012"	"2012"	34	298610	11.4
	"Anchorage Borough, AK"	"02020"	"2013"	"2013"	34	300950	11.3
	"Anchorage Borough, AK"	"02020"	"2014"	"2014"	33	301010	11.0
	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	42	298695	14.1
	"Anchorage Borough, AK"	"02020"	"2016"	"2016"	44	298192	14.8
	"Anchorage Borough, AK"	"02020"	"2017"	"2017"	52	294356	17.7
	"Anchorage Borough, AK"	"02020"	"2018"	"2018"	35	291538	12.0
	"Fairbanks North Star Borough, AK"	"02090"	"2009"	"2009"	14	95238	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	"2014"	"2014"	10	99357	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	"2016"	"2016"	11	100605	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	"2018"	"2018"	10	98971	Unreliable
	"Juneau Borough, AK"	"02110"	"2017"	"2017"	11	32094	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	"2008"	"2008"	10	53655	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	"2009"	"2009"	13	54796	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	"2014"	"2014"	10	57477	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	"2015"	"2015"	13	58059	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	"2016"	"2016"	13	58506	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	"2018"	"2018"	13	58533	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2008"	"2008"	17	84079	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2009"	"2009"	17	86885	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2010"	"2010"	11	88995	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2011"	"2011"	16	91946	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2012"	"2012"	18	93925	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2014"	"2014"	12	97882	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2015"	"2015"	11	101095	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2016"	"2016"	19	104365	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2017"	"2017"	20	106532	18.8
	"Matanuska-Susitna Borough, AK"	"02170"	"2018"	"2018"	13	107610	Unreliable
	"Cochise County, AZ"	"04003"	"2007"	"2007"	15	128206	Unreliable
	"Cochise County, AZ"	"04003"	"2009"	"2009"	10	130081	Unreliable
	"Cochise County, AZ"	"04003"	"2010"	"2010"	13	131346	Unreliable
	"Cochise County, AZ"	"04003"	"2012"	"2012"	17	132088	Unreliable
	"Cochise County, AZ"	"04003"	"2013"	"2013"	11	129473	Unreliable
	"Cochise County, AZ"	"04003"	"2014"	"2014"	16	127448	Unreliable
	"Cochise County, AZ"	"04003"	"2015"	"2015"	25	126427	19.8
	"Cochise County, AZ"	"04003"	"2016"	"2016"	19	125770	Unreliable
	"Cochise County, AZ"	"04003"	"2017"	"2017"	17	124756	Unreliable
	"Cochise County, AZ"	"04003"	"2018"	"2018"	15	126770	Unreliable
	"Coconino County, AZ"	"04005"	"2008"	"2008"	11	131853	Unreliable
	"Coconino County, AZ"	"04005"	"2009"	"2009"	13	133477	Unreliable
	"Coconino County, AZ"	"04005"	"2011"	"2011"	13	134511	Unreliable
	"Coconino County, AZ"	"04005"	"2013"	"2013"	11	136539	Unreliable
	"Coconino County, AZ"	"04005"	"2015"	"2015"	12	139097	Unreliable
	"Coconino County, AZ"	"04005"	"2017"	"2017"	10	140776	Unreliable
	"Coconino County, AZ"	"04005"	"2018"	"2018"	25	142854	17.5
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	302	3711954	8.1
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	307	3771061	8.1
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	320	3803779	8.4
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	332	3817117	8.7
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	305	3880244	7.9
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	260	3942169	6.6
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	250	4009412	6.2
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	318	4087191	7.8
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	369	4167947	8.9
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	494	4242997	11.6
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	646	4307033	15.0
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	815	4410824	18.5
	"Mohave County, AZ"	"04015"	"2007"	"2007"	14	199760	Unreliable
	"Mohave County, AZ"	"04015"	"2008"	"2008"	25	200078	12.5
	"Mohave County, AZ"	"04015"	"2009"	"2009"	44	199696	22.0
	"Mohave County, AZ"	"04015"	"2010"	"2010"	54	200186	27.0
	"Mohave County, AZ"	"04015"	"2011"	"2011"	49	202351	24.2
	"Mohave County, AZ"	"04015"	"2012"	"2012"	42	203334	20.7
	"Mohave County, AZ"	"04015"	"2013"	"2013"	49	203030	24.1
	"Mohave County, AZ"	"04015"	"2014"	"2014"	46	203361	22.6
	"Mohave County, AZ"	"04015"	"2015"	"2015"	49	204737	23.9
	"Mohave County, AZ"	"04015"	"2016"	"2016"	35	205249	17.1
	"Mohave County, AZ"	"04015"	"2017"	"2017"	32	207200	15.4
	"Mohave County, AZ"	"04015"	"2018"	"2018"	24	209550	11.5
	"Navajo County, AZ"	"04017"	"2010"	"2010"	13	107449	Unreliable
	"Pima County, AZ"	"04019"	"2007"	"2007"	95	955869	9.9
	"Pima County, AZ"	"04019"	"2008"	"2008"	85	967778	8.8
	"Pima County, AZ"	"04019"	"2009"	"2009"	147	975580	15.1
	"Pima County, AZ"	"04019"	"2010"	"2010"	151	980263	15.4
	"Pima County, AZ"	"04019"	"2011"	"2011"	142	989569	14.3
	"Pima County, AZ"	"04019"	"2012"	"2012"	155	992394	15.6
	"Pima County, AZ"	"04019"	"2013"	"2013"	156	996554	15.7
	"Pima County, AZ"	"04019"	"2014"	"2014"	171	1004516	17.0
	"Pima County, AZ"	"04019"	"2015"	"2015"	158	1010025	15.6
	"Pima County, AZ"	"04019"	"2016"	"2016"	172	1016206	16.9
	"Pima County, AZ"	"04019"	"2017"	"2017"	176	1022769	17.2
	"Pima County, AZ"	"04019"	"2018"	"2018"	182	1039073	17.5
	"Pinal County, AZ"	"04021"	"2007"	"2007"	16	306174	Unreliable
	"Pinal County, AZ"	"04021"	"2008"	"2008"	22	335311	6.6
	"Pinal County, AZ"	"04021"	"2009"	"2009"	26	349830	7.4
	"Pinal County, AZ"	"04021"	"2010"	"2010"	23	375770	6.1
	"Pinal County, AZ"	"04021"	"2011"	"2011"	27	382992	7.0
	"Pinal County, AZ"	"04021"	"2012"	"2012"	33	387365	8.5
	"Pinal County, AZ"	"04021"	"2013"	"2013"	30	389350	7.7
	"Pinal County, AZ"	"04021"	"2014"	"2014"	24	401918	6.0
	"Pinal County, AZ"	"04021"	"2015"	"2015"	37	406584	9.1
	"Pinal County, AZ"	"04021"	"2016"	"2016"	33	418540	7.9
	"Pinal County, AZ"	"04021"	"2017"	"2017"	37	430237	8.6
	"Pinal County, AZ"	"04021"	"2018"	"2018"	38	447138	8.5
	"Yavapai County, AZ"	"04025"	"2007"	"2007"	23	208773	11.0
	"Yavapai County, AZ"	"04025"	"2008"	"2008"	32	211211	15.2
	"Yavapai County, AZ"	"04025"	"2009"	"2009"	28	211172	13.3
	"Yavapai County, AZ"	"04025"	"2010"	"2010"	29	211033	13.7
	"Yavapai County, AZ"	"04025"	"2011"	"2011"	33	211888	15.6
	"Yavapai County, AZ"	"04025"	"2012"	"2012"	29	212637	13.6
	"Yavapai County, AZ"	"04025"	"2013"	"2013"	12	215133	Unreliable
	"Yavapai County, AZ"	"04025"	"2014"	"2014"	11	218844	Unreliable
	"Yavapai County, AZ"	"04025"	"2015"	"2015"	17	222255	Unreliable
	"Yavapai County, AZ"	"04025"	"2016"	"2016"	18	225562	Unreliable
	"Yavapai County, AZ"	"04025"	"2017"	"2017"	24	228168	10.5
	"Yavapai County, AZ"	"04025"	"2018"	"2018"	27	231993	11.6
	"Benton County, AR"	"05007"	"2007"	"2007"	13	203664	Unreliable
	"Benton County, AR"	"05007"	"2008"	"2008"	18	210807	Unreliable
	"Benton County, AR"	"05007"	"2009"	"2009"	16	216620	Unreliable
	"Benton County, AR"	"05007"	"2010"	"2010"	16	221339	Unreliable
	"Benton County, AR"	"05007"	"2011"	"2011"	14	227556	Unreliable
	"Benton County, AR"	"05007"	"2012"	"2012"	12	232268	Unreliable
	"Benton County, AR"	"05007"	"2013"	"2013"	13	237297	Unreliable
	"Benton County, AR"	"05007"	"2014"	"2014"	23	242321	9.5
	"Benton County, AR"	"05007"	"2015"	"2015"	23	249672	9.2
	"Benton County, AR"	"05007"	"2016"	"2016"	23	258291	8.9
	"Benton County, AR"	"05007"	"2017"	"2017"	16	266300	Unreliable
	"Benton County, AR"	"05007"	"2018"	"2018"	24	272608	8.8
	"Craighead County, AR"	"05031"	"2008"	"2008"	11	93316	Unreliable
	"Craighead County, AR"	"05031"	"2009"	"2009"	11	95482	Unreliable
	"Craighead County, AR"	"05031"	"2013"	"2013"	11	101488	Unreliable
	"Crawford County, AR"	"05033"	"2007"	"2007"	10	60210	Unreliable
	"Crawford County, AR"	"05033"	"2008"	"2008"	11	60933	Unreliable
	"Crawford County, AR"	"05033"	"2009"	"2009"	15	61595	Unreliable
	"Crawford County, AR"	"05033"	"2011"	"2011"	10	61944	Unreliable
	"Garland County, AR"	"05051"	"2007"	"2007"	15	94753	Unreliable
	"Garland County, AR"	"05051"	"2008"	"2008"	16	95636	Unreliable
	"Garland County, AR"	"05051"	"2009"	"2009"	12	95840	Unreliable
	"Garland County, AR"	"05051"	"2010"	"2010"	17	96024	Unreliable
	"Garland County, AR"	"05051"	"2011"	"2011"	12	97124	Unreliable
	"Garland County, AR"	"05051"	"2013"	"2013"	11	97173	Unreliable
	"Garland County, AR"	"05051"	"2014"	"2014"	12	97322	Unreliable
	"Garland County, AR"	"05051"	"2015"	"2015"	20	97177	20.6
	"Garland County, AR"	"05051"	"2016"	"2016"	13	97477	Unreliable
	"Garland County, AR"	"05051"	"2017"	"2017"	18	98658	Unreliable
	"Garland County, AR"	"05051"	"2018"	"2018"	14	99154	Unreliable
	"Pulaski County, AR"	"05119"	"2007"	"2007"	20	373403	5.4
	"Pulaski County, AR"	"05119"	"2008"	"2008"	20	376567	5.3
	"Pulaski County, AR"	"05119"	"2009"	"2009"	23	380053	6.1
	"Pulaski County, AR"	"05119"	"2010"	"2010"	37	382748	9.7
	"Pulaski County, AR"	"05119"	"2011"	"2011"	24	386299	6.2
	"Pulaski County, AR"	"05119"	"2012"	"2012"	24	388953	6.2
	"Pulaski County, AR"	"05119"	"2013"	"2013"	32	391284	8.2
	"Pulaski County, AR"	"05119"	"2014"	"2014"	27	392702	6.9
	"Pulaski County, AR"	"05119"	"2015"	"2015"	22	392664	5.6
	"Pulaski County, AR"	"05119"	"2016"	"2016"	23	393250	5.8
	"Pulaski County, AR"	"05119"	"2017"	"2017"	31	393956	7.9
	"Pulaski County, AR"	"05119"	"2018"	"2018"	51	392680	13.0
	"Saline County, AR"	"05125"	"2008"	"2008"	13	102599	Unreliable
	"Saline County, AR"	"05125"	"2009"	"2009"	12	105362	Unreliable
	"Saline County, AR"	"05125"	"2016"	"2016"	11	118703	Unreliable
	"Saline County, AR"	"05125"	"2017"	"2017"	12	119323	Unreliable
	"Sebastian County, AR"	"05131"	"2007"	"2007"	16	122946	Unreliable
	"Sebastian County, AR"	"05131"	"2008"	"2008"	10	123762	Unreliable
	"Sebastian County, AR"	"05131"	"2009"	"2009"	15	125116	Unreliable
	"Sebastian County, AR"	"05131"	"2011"	"2011"	10	127127	Unreliable
	"Sebastian County, AR"	"05131"	"2012"	"2012"	11	127304	Unreliable
