"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	"2002"	"2002"	10	147957	Unreliable
	"Baldwin County, AL"	"01003"	"2005"	"2005"	16	162183	Unreliable
	"Baldwin County, AL"	"01003"	"2006"	"2006"	13	168121	Unreliable
	"Jefferson County, AL"	"01073"	"1999"	"1999"	17	662845	Unreliable
	"Jefferson County, AL"	"01073"	"2000"	"2000"	17	662047	Unreliable
	"Jefferson County, AL"	"01073"	"2001"	"2001"	25	660197	3.8
	"Jefferson County, AL"	"01073"	"2002"	"2002"	27	657518	4.1
	"Jefferson County, AL"	"01073"	"2003"	"2003"	27	657513	4.1
	"Jefferson County, AL"	"01073"	"2004"	"2004"	30	656023	4.6
	"Jefferson County, AL"	"01073"	"2005"	"2005"	21	654919	3.2
	"Jefferson County, AL"	"01073"	"2006"	"2006"	42	655893	6.4
	"Mobile County, AL"	"01097"	"2000"	"2000"	12	399843	Unreliable
	"Mobile County, AL"	"01097"	"2001"	"2001"	15	400129	Unreliable
	"Mobile County, AL"	"01097"	"2002"	"2002"	19	398549	Unreliable
	"Mobile County, AL"	"01097"	"2004"	"2004"	20	397959	5.0
	"Mobile County, AL"	"01097"	"2005"	"2005"	16	398942	Unreliable
	"Mobile County, AL"	"01097"	"2006"	"2006"	21	402916	5.2
	"Anchorage Borough, AK"	"02020"	"1999"	"1999"	12	259348	Unreliable
	"Anchorage Borough, AK"	"02020"	"2000"	"2000"	12	260283	Unreliable
	"Anchorage Borough, AK"	"02020"	"2006"	"2006"	12	280085	Unreliable
	"Cochise County, AZ"	"04003"	"2006"	"2006"	11	127241	Unreliable
	"Coconino County, AZ"	"04005"	"2000"	"2000"	12	116320	Unreliable
	"Maricopa County, AZ"	"04013"	"1999"	"1999"	117	3004985	3.9
	"Maricopa County, AZ"	"04013"	"2000"	"2000"	94	3072149	3.1
	"Maricopa County, AZ"	"04013"	"2001"	"2001"	137	3175989	4.3
	"Maricopa County, AZ"	"04013"	"2002"	"2002"	168	3255388	5.2
	"Maricopa County, AZ"	"04013"	"2003"	"2003"	154	3328468	4.6
	"Maricopa County, AZ"	"04013"	"2004"	"2004"	171	3417860	5.0
	"Maricopa County, AZ"	"04013"	"2005"	"2005"	216	3538988	6.1
	"Maricopa County, AZ"	"04013"	"2006"	"2006"	293	3642884	8.0
	"Mohave County, AZ"	"04015"	"2005"	"2005"	10	188773	Unreliable
	"Mohave County, AZ"	"04015"	"2006"	"2006"	10	196168	Unreliable
	"Navajo County, AZ"	"04017"	"2004"	"2004"	10	102774	Unreliable
	"Pima County, AZ"	"04019"	"1999"	"1999"	89	828905	10.7
	"Pima County, AZ"	"04019"	"2000"	"2000"	106	843746	12.6
	"Pima County, AZ"	"04019"	"2001"	"2001"	95	859280	11.1
	"Pima County, AZ"	"04019"	"2002"	"2002"	107	874267	12.2
	"Pima County, AZ"	"04019"	"2003"	"2003"	129	885893	14.6
	"Pima County, AZ"	"04019"	"2004"	"2004"	114	901342	12.6
	"Pima County, AZ"	"04019"	"2005"	"2005"	114	920298	12.4
	"Pima County, AZ"	"04019"	"2006"	"2006"	121	940930	12.9
