"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2007"	"2007"	"Baldwin County, AL"	"01003"	12	172404	Unreliable
	"2007"	"2007"	"Jefferson County, AL"	"01073"	38	655163	5.8
	"2007"	"2007"	"Mobile County, AL"	"01097"	27	405715	6.7
	"2007"	"2007"	"Shelby County, AL"	"01117"	20	183491	10.9
	"2007"	"2007"	"Tuscaloosa County, AL"	"01125"	10	184350	Unreliable
	"2007"	"2007"	"Cochise County, AZ"	"04003"	12	128206	Unreliable
	"2007"	"2007"	"Maricopa County, AZ"	"04013"	195	3711954	5.3
	"2007"	"2007"	"Mohave County, AZ"	"04015"	13	199760	Unreliable
	"2007"	"2007"	"Pima County, AZ"	"04019"	48	955869	5.0
	"2007"	"2007"	"Yavapai County, AZ"	"04025"	20	208773	9.6
	"2007"	"2007"	"Benton County, AR"	"05007"	11	203664	Unreliable
	"2007"	"2007"	"Garland County, AR"	"05051"	13	94753	Unreliable
	"2007"	"2007"	"Pulaski County, AR"	"05119"	17	373403	Unreliable
	"2007"	"2007"	"Sebastian County, AR"	"05131"	16	122946	Unreliable
	"2007"	"2007"	"Alameda County, CA"	"06001"	17	1455715	Unreliable
	"2007"	"2007"	"Butte County, CA"	"06007"	19	217469	Unreliable
	"2007"	"2007"	"Contra Costa County, CA"	"06013"	31	1009152	3.1
	"2007"	"2007"	"Fresno County, CA"	"06019"	51	895933	5.7
	"2007"	"2007"	"Humboldt County, CA"	"06023"	11	132001	Unreliable
	"2007"	"2007"	"Kern County, CA"	"06029"	32	803281	4.0
	"2007"	"2007"	"Kings County, CA"	"06031"	10	150420	Unreliable
	"2007"	"2007"	"Lake County, CA"	"06033"	11	64077	Unreliable
	"2007"	"2007"	"Los Angeles County, CA"	"06037"	192	9700359	2.0
	"2007"	"2007"	"Marin County, CA"	"06041"	22	246248	8.9
	"2007"	"2007"	"Mendocino County, CA"	"06045"	11	87071	Unreliable
	"2007"	"2007"	"Orange County, CA"	"06059"	177	2931629	6.0
	"2007"	"2007"	"Placer County, CA"	"06061"	11	329023	Unreliable
	"2007"	"2007"	"Riverside County, CA"	"06065"	37	2075183	1.8
	"2007"	"2007"	"Sacramento County, CA"	"06067"	52	1381161	3.8
	"2007"	"2007"	"San Bernardino County, CA"	"06071"	15	1992161	Unreliable
	"2007"	"2007"	"San Diego County, CA"	"06073"	198	2975742	6.7
	"2007"	"2007"	"San Francisco County, CA"	"06075"	11	778673	Unreliable
	"2007"	"2007"	"San Joaquin County, CA"	"06077"	33	668080	4.9
	"2007"	"2007"	"San Mateo County, CA"	"06081"	19	693849	Unreliable
	"2007"	"2007"	"Santa Clara County, CA"	"06085"	50	1712026	2.9
