"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	"2005"	"2005"	16	162183	Unreliable
	"Baldwin County, AL"	"01003"	"2006"	"2006"	11	168121	Unreliable
	"Jefferson County, AL"	"01073"	"1999"	"1999"	12	662845	Unreliable
	"Jefferson County, AL"	"01073"	"2000"	"2000"	13	662047	Unreliable
	"Jefferson County, AL"	"01073"	"2001"	"2001"	23	660197	3.5
	"Jefferson County, AL"	"01073"	"2002"	"2002"	24	657518	3.7
	"Jefferson County, AL"	"01073"	"2003"	"2003"	23	657513	3.5
	"Jefferson County, AL"	"01073"	"2004"	"2004"	27	656023	4.1
	"Jefferson County, AL"	"01073"	"2005"	"2005"	18	654919	Unreliable
	"Jefferson County, AL"	"01073"	"2006"	"2006"	33	655893	5.0
	"Mobile County, AL"	"01097"	"2000"	"2000"	10	399843	Unreliable
	"Mobile County, AL"	"01097"	"2001"	"2001"	10	400129	Unreliable
	"Mobile County, AL"	"01097"	"2002"	"2002"	15	398549	Unreliable
	"Mobile County, AL"	"01097"	"2004"	"2004"	19	397959	Unreliable
	"Mobile County, AL"	"01097"	"2005"	"2005"	12	398942	Unreliable
	"Mobile County, AL"	"01097"	"2006"	"2006"	20	402916	5.0
	"Anchorage Borough, AK"	"02020"	"2000"	"2000"	12	260283	Unreliable
	"Maricopa County, AZ"	"04013"	"1999"	"1999"	68	3004985	2.3
	"Maricopa County, AZ"	"04013"	"2000"	"2000"	59	3072149	1.9
	"Maricopa County, AZ"	"04013"	"2001"	"2001"	65	3175989	2.0
	"Maricopa County, AZ"	"04013"	"2002"	"2002"	119	3255388	3.7
	"Maricopa County, AZ"	"04013"	"2003"	"2003"	82	3328468	2.5
	"Maricopa County, AZ"	"04013"	"2004"	"2004"	103	3417860	3.0
	"Maricopa County, AZ"	"04013"	"2005"	"2005"	145	3538988	4.1
	"Maricopa County, AZ"	"04013"	"2006"	"2006"	164	3642884	4.5
	"Pima County, AZ"	"04019"	"1999"	"1999"	18	828905	Unreliable
	"Pima County, AZ"	"04019"	"2000"	"2000"	25	843746	3.0
	"Pima County, AZ"	"04019"	"2001"	"2001"	26	859280	3.0
	"Pima County, AZ"	"04019"	"2002"	"2002"	38	874267	4.3
	"Pima County, AZ"	"04019"	"2003"	"2003"	74	885893	8.4
	"Pima County, AZ"	"04019"	"2004"	"2004"	60	901342	6.7
	"Pima County, AZ"	"04019"	"2005"	"2005"	74	920298	8.0
	"Pima County, AZ"	"04019"	"2006"	"2006"	68	940930	7.2
	"Pinal County, AZ"	"04021"	"2003"	"2003"	10	207920	Unreliable
	"Yavapai County, AZ"	"04025"	"2002"	"2002"	10	177362	Unreliable
	"Yavapai County, AZ"	"04025"	"2003"	"2003"	12	182090	Unreliable
	"Yavapai County, AZ"	"04025"	"2004"	"2004"	14	187822	Unreliable
	"Yavapai County, AZ"	"04025"	"2005"	"2005"	10	195424	Unreliable
	"Garland County, AR"	"05051"	"2006"	"2006"	12	94077	Unreliable
	"Pulaski County, AR"	"05119"	"2002"	"2002"	14	364327	Unreliable
	"Pulaski County, AR"	"05119"	"2003"	"2003"	16	365258	Unreliable
	"Pulaski County, AR"	"05119"	"2004"	"2004"	14	366608	Unreliable
	"Pulaski County, AR"	"05119"	"2005"	"2005"	17	368274	Unreliable
	"Pulaski County, AR"	"05119"	"2006"	"2006"	14	371647	Unreliable
	"Washington County, AR"	"05143"	"2006"	"2006"	12	190314	Unreliable
	"Alameda County, CA"	"06001"	"1999"	"1999"	12	1427114	Unreliable
	"Alameda County, CA"	"06001"	"2000"	"2000"	17	1443741	Unreliable
	"Alameda County, CA"	"06001"	"2002"	"2002"	26	1462106	1.8
	"Alameda County, CA"	"06001"	"2003"	"2003"	20	1454163	1.4
	"Alameda County, CA"	"06001"	"2004"	"2004"	19	1445721	Unreliable
	"Alameda County, CA"	"06001"	"2005"	"2005"	15	1441545	Unreliable
	"Alameda County, CA"	"06001"	"2006"	"2006"	22	1444484	1.5
	"Butte County, CA"	"06007"	"2006"	"2006"	18	216824	Unreliable
	"Contra Costa County, CA"	"06013"	"1999"	"1999"	22	936983	2.3
	"Contra Costa County, CA"	"06013"	"2000"	"2000"	19	948816	Unreliable
	"Contra Costa County, CA"	"06013"	"2002"	"2002"	26	979862	2.7
	"Contra Costa County, CA"	"06013"	"2003"	"2003"	26	987531	2.6
	"Contra Costa County, CA"	"06013"	"2004"	"2004"	33	992424	3.3
	"Contra Costa County, CA"	"06013"	"2005"	"2005"	23	999013	2.3
	"Contra Costa County, CA"	"06013"	"2006"	"2006"	17	1000834	Unreliable
	"El Dorado County, CA"	"06017"	"2006"	"2006"	10	176773	Unreliable
	"Fresno County, CA"	"06019"	"1999"	"1999"	32	789405	4.1
	"Fresno County, CA"	"06019"	"2000"	"2000"	23	799407	2.9
	"Fresno County, CA"	"06019"	"2001"	"2001"	19	813021	Unreliable
	"Fresno County, CA"	"06019"	"2002"	"2002"	36	829762	4.3
	"Fresno County, CA"	"06019"	"2003"	"2003"	38	847193	4.5
	"Fresno County, CA"	"06019"	"2004"	"2004"	46	861035	5.3
	"Fresno County, CA"	"06019"	"2005"	"2005"	38	872470	4.4
	"Fresno County, CA"	"06019"	"2006"	"2006"	45	883862	5.1
	"Humboldt County, CA"	"06023"	"2003"	"2003"	17	129754	Unreliable
	"Humboldt County, CA"	"06023"	"2005"	"2005"	13	131497	Unreliable
	"Humboldt County, CA"	"06023"	"2006"	"2006"	12	132093	Unreliable
	"Imperial County, CA"	"06025"	"1999"	"1999"	11	141056	Unreliable
	"Kern County, CA"	"06029"	"2001"	"2001"	12	676574	Unreliable
	"Kern County, CA"	"06029"	"2002"	"2002"	14	694059	Unreliable
	"Kern County, CA"	"06029"	"2003"	"2003"	25	714272	3.5
