"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Etowah County, AL"	"01055"	"2017"	"2017"	15	102755	Unreliable
	"Jefferson County, AL"	"01073"	"2009"	"2009"	19	658441	Unreliable
	"Jefferson County, AL"	"01073"	"2010"	"2010"	12	658466	Unreliable
	"Jefferson County, AL"	"01073"	"2011"	"2011"	12	658931	Unreliable
	"Jefferson County, AL"	"01073"	"2012"	"2012"	31	660009	4.7
	"Jefferson County, AL"	"01073"	"2013"	"2013"	37	659479	5.6
	"Jefferson County, AL"	"01073"	"2014"	"2014"	107	660793	16.2
	"Jefferson County, AL"	"01073"	"2015"	"2015"	110	660367	16.7
	"Jefferson County, AL"	"01073"	"2016"	"2016"	142	659521	21.5
	"Jefferson County, AL"	"01073"	"2017"	"2017"	146	659197	22.1
	"Jefferson County, AL"	"01073"	"2018"	"2018"	125	659300	19.0
	"Madison County, AL"	"01089"	"2016"	"2016"	10	356967	Unreliable
	"Madison County, AL"	"01089"	"2017"	"2017"	13	361046	Unreliable
	"Mobile County, AL"	"01097"	"2018"	"2018"	16	413757	Unreliable
	"St. Clair County, AL"	"01115"	"2016"	"2016"	10	88019	Unreliable
	"Shelby County, AL"	"01117"	"2014"	"2014"	11	206655	Unreliable
	"Shelby County, AL"	"01117"	"2015"	"2015"	10	208713	Unreliable
	"Shelby County, AL"	"01117"	"2016"	"2016"	23	210622	10.9
	"Shelby County, AL"	"01117"	"2017"	"2017"	17	213605	Unreliable
	"Shelby County, AL"	"01117"	"2018"	"2018"	21	215707	9.7
	"Anchorage Borough, AK"	"02020"	"2008"	"2008"	12	281554	Unreliable
	"Anchorage Borough, AK"	"02020"	"2009"	"2009"	14	287677	Unreliable
	"Anchorage Borough, AK"	"02020"	"2011"	"2011"	11	295570	Unreliable
	"Anchorage Borough, AK"	"02020"	"2012"	"2012"	15	298610	Unreliable
	"Anchorage Borough, AK"	"02020"	"2013"	"2013"	17	300950	Unreliable
	"Anchorage Borough, AK"	"02020"	"2014"	"2014"	19	301010	Unreliable
	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	25	298695	8.4
	"Anchorage Borough, AK"	"02020"	"2016"	"2016"	32	298192	10.7
	"Anchorage Borough, AK"	"02020"	"2017"	"2017"	33	294356	11.2
	"Anchorage Borough, AK"	"02020"	"2018"	"2018"	24	291538	8.2
	"Matanuska-Susitna Borough, AK"	"02170"	"2017"	"2017"	12	106532	Unreliable
	"Cochise County, AZ"	"04003"	"2017"	"2017"	10	124756	Unreliable
	"Cochise County, AZ"	"04003"	"2018"	"2018"	11	126770	Unreliable
	"Coconino County, AZ"	"04005"	"2018"	"2018"	21	142854	14.7
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	72	3711954	1.9
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	68	3771061	1.8
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	83	3803779	2.2
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	95	3817117	2.5
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	99	3880244	2.6
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	79	3942169	2.0
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	103	4009412	2.6
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	149	4087191	3.6
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	187	4167947	4.5
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	282	4242997	6.6
