"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Jefferson County, AL"	"01073"	"2006"	"2006"	12	655893	Unreliable
	"Maricopa County, AZ"	"04013"	"1999"	"1999"	29	3004985	1.0
	"Maricopa County, AZ"	"04013"	"2000"	"2000"	11	3072149	Unreliable
	"Maricopa County, AZ"	"04013"	"2001"	"2001"	31	3175989	1.0
	"Maricopa County, AZ"	"04013"	"2002"	"2002"	33	3255388	1.0
	"Maricopa County, AZ"	"04013"	"2003"	"2003"	55	3328468	1.7
	"Maricopa County, AZ"	"04013"	"2004"	"2004"	37	3417860	1.1
	"Maricopa County, AZ"	"04013"	"2005"	"2005"	45	3538988	1.3
	"Maricopa County, AZ"	"04013"	"2006"	"2006"	79	3642884	2.2
	"Pima County, AZ"	"04019"	"2003"	"2003"	21	885893	2.4
	"Pima County, AZ"	"04019"	"2004"	"2004"	12	901342	Unreliable
	"Pima County, AZ"	"04019"	"2005"	"2005"	12	920298	Unreliable
	"Pima County, AZ"	"04019"	"2006"	"2006"	14	940930	Unreliable
	"Yavapai County, AZ"	"04025"	"2004"	"2004"	10	187822	Unreliable
	"Alameda County, CA"	"06001"	"2000"	"2000"	13	1443741	Unreliable
	"Contra Costa County, CA"	"06013"	"1999"	"1999"	12	936983	Unreliable
	"Contra Costa County, CA"	"06013"	"2002"	"2002"	19	979862	Unreliable
	"Contra Costa County, CA"	"06013"	"2004"	"2004"	11	992424	Unreliable
	"Humboldt County, CA"	"06023"	"2003"	"2003"	10	129754	Unreliable
	"Imperial County, CA"	"06025"	"1999"	"1999"	10	141056	Unreliable
	"Kern County, CA"	"06029"	"1999"	"1999"	25	655428	3.8
	"Kern County, CA"	"06029"	"2000"	"2000"	29	661645	4.4
	"Kern County, CA"	"06029"	"2001"	"2001"	18	676574	Unreliable
	"Kern County, CA"	"06029"	"2002"	"2002"	17	694059	Unreliable
	"Kern County, CA"	"06029"	"2005"	"2005"	15	760726	Unreliable
	"Los Angeles County, CA"	"06037"	"1999"	"1999"	266	9437290	2.8
	"Los Angeles County, CA"	"06037"	"2000"	"2000"	186	9519338	2.0
	"Los Angeles County, CA"	"06037"	"2001"	"2001"	153	9626034	1.6
	"Los Angeles County, CA"	"06037"	"2002"	"2002"	210	9705913	2.2
	"Los Angeles County, CA"	"06037"	"2003"	"2003"	172	9767145	1.8
	"Los Angeles County, CA"	"06037"	"2004"	"2004"	168	9793263	1.7
	"Los Angeles County, CA"	"06037"	"2005"	"2005"	150	9786373	1.5
	"Los Angeles County, CA"	"06037"	"2006"	"2006"	158	9737955	1.6
	"Monterey County, CA"	"06053"	"1999"	"1999"	16	396267	Unreliable
	"Monterey County, CA"	"06053"	"2002"	"2002"	12	408977	Unreliable
	"Monterey County, CA"	"06053"	"2003"	"2003"	11	409725	Unreliable
	"Monterey County, CA"	"06053"	"2004"	"2004"	14	408731	Unreliable
	"Monterey County, CA"	"06053"	"2005"	"2005"	10	405139	Unreliable
	"Monterey County, CA"	"06053"	"2006"	"2006"	10	401831	Unreliable
	"Orange County, CA"	"06059"	"1999"	"1999"	25	2815933	0.9
	"Orange County, CA"	"06059"	"2000"	"2000"	12	2846289	Unreliable
	"Orange County, CA"	"06059"	"2002"	"2002"	28	2908245	1.0
	"Orange County, CA"	"06059"	"2003"	"2003"	22	2929376	0.8
