DATE,CPIAUCSL_NBD20181201
1947-01-01,8.50178
1947-02-01,8.55719
1947-03-01,8.70760
1947-04-01,8.70760
1947-05-01,8.68781
1947-06-01,8.73926
1947-07-01,8.79863
1947-08-01,8.86591
1947-09-01,9.04007
1947-10-01,9.06777
1947-11-01,9.12714
1947-12-01,9.26567
1948-01-01,9.37254
1948-02-01,9.36858
1948-03-01,9.30129
1948-04-01,9.42795
1948-05-01,9.50315
1948-06-01,9.55856
1948-07-01,9.65751
1948-08-01,9.66939
1948-09-01,9.64168
1948-10-01,9.62189
1948-11-01,9.56252
1948-12-01,9.51898
1949-01-01,9.50315
1949-02-01,9.46357
1949-03-01,9.46357
1949-04-01,9.46753
1949-05-01,9.46357
1949-06-01,9.46753
1949-07-01,9.38045
1949-08-01,9.38045
1949-09-01,9.40024
1949-10-01,9.36858
1949-11-01,9.38045
1949-12-01,9.34483
1950-01-01,9.30525
1950-02-01,9.34483
1950-03-01,9.35671
1950-04-01,9.36066
1950-05-01,9.40816
1950-06-01,9.45170
1950-07-01,9.52690
1950-08-01,9.57835
1950-09-01,9.63377
1950-10-01,9.69709
1950-11-01,9.73667
1950-12-01,9.88708
1951-01-01,10.04540
1951-02-01,10.22351
1951-03-01,10.24330
1951-04-01,10.25913
1951-05-01,10.28684
1951-06-01,10.26309
1951-07-01,10.25517
1951-08-01,10.23538
1951-09-01,10.30267
1951-10-01,10.35412
1951-11-01,10.41745
1951-12-01,10.47682
1952-01-01,10.46890
1952-02-01,10.45307
1952-03-01,10.44516
1952-04-01,10.47286
1952-05-01,10.47682
1952-06-01,10.50057
1952-07-01,10.55994
1952-08-01,10.56390
1952-09-01,10.54015
1952-10-01,10.56390
1952-11-01,10.56390
1952-12-01,10.57181
1953-01-01,10.54411
1953-02-01,10.52432
1953-03-01,10.54015
1953-04-01,10.56390
1953-05-01,10.56785
1953-06-01,10.59556
1953-07-01,10.60348
1953-08-01,10.62722
1953-09-01,10.64306
1953-10-01,10.66680
1953-11-01,10.62722
1953-12-01,10.63514
1954-01-01,10.66285
1954-02-01,10.68264
1954-03-01,10.65889
1954-04-01,10.63118
1954-05-01,10.65889
