"Notes"	"Census Division"	"Census Division Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	"2007"	"2007"	Suppressed	162528	Suppressed
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	"2008"	"2008"	Suppressed	159788	Suppressed
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	"2009"	"2009"	Suppressed	154638	Suppressed
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	"2010"	"2010"	Suppressed	152547	Suppressed
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	"2011"	"2011"	Suppressed	153390	Suppressed
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	"2012"	"2012"	Suppressed	150908	Suppressed
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	"2013"	"2013"	Suppressed	153374	Suppressed
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	"2014"	"2014"	Suppressed	152245	Suppressed
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	"2015"	"2015"	Suppressed	152292	Suppressed
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	"2016"	"2016"	Suppressed	150186	Suppressed
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	"2017"	"2017"	Suppressed	148530	Suppressed
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	"2018"	"2018"	Suppressed	146715	Suppressed
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	"2007"	"2007"	Suppressed	651411	Suppressed
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	"2008"	"2008"	Suppressed	649622	Suppressed
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	"2009"	"2009"	Suppressed	647307	Suppressed
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	"2010"	"2010"	Suppressed	645372	Suppressed
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	"2011"	"2011"	Suppressed	631915	Suppressed
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	"2012"	"2012"	Suppressed	626551	Suppressed
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	"2013"	"2013"	Suppressed	619894	Suppressed
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	"2014"	"2014"	Suppressed	617884	Suppressed
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	"2015"	"2015"	Suppressed	616707	Suppressed
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	"2016"	"2016"	Suppressed	611128	Suppressed
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	"2017"	"2017"	Suppressed	609158	Suppressed
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	"2018"	"2018"	Suppressed	608976	Suppressed
	"Division 1: New England"	"CENS-D1"	"5-14 years"	"5-14"	"2007"	"2007"	Suppressed	1799321	Suppressed
	"Division 1: New England"	"CENS-D1"	"5-14 years"	"5-14"	"2008"	"2008"	Suppressed	1783773	Suppressed
	"Division 1: New England"	"CENS-D1"	"5-14 years"	"5-14"	"2009"	"2009"	Suppressed	1774290	Suppressed
	"Division 1: New England"	"CENS-D1"	"5-14 years"	"5-14"	"2010"	"2010"	Suppressed	1766196	Suppressed
	"Division 1: New England"	"CENS-D1"	"5-14 years"	"5-14"	"2011"	"2011"	Suppressed	1744617	Suppressed
