"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2007"	"2007"	Suppressed	661176	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2008"	"2008"	Suppressed	657621	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2009"	"2009"	Suppressed	642113	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2010"	"2010"	Suppressed	630955	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2011"	"2011"	Suppressed	643159	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2012"	"2012"	Suppressed	631610	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2013"	"2013"	Suppressed	640409	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2014"	"2014"	Suppressed	638091	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2015"	"2015"	Suppressed	636332	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2016"	"2016"	Suppressed	626640	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2017"	"2017"	Suppressed	623444	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2018"	"2018"	Suppressed	610408	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2007"	"2007"	Suppressed	2587781	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2008"	"2008"	Suppressed	2587166	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2009"	"2009"	Suppressed	2588662	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2010"	"2010"	Suppressed	2593344	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2011"	"2011"	Suppressed	2565501	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2012"	"2012"	Suppressed	2560386	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2013"	"2013"	Suppressed	2555625	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2014"	"2014"	Suppressed	2564232	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2015"	"2015"	Suppressed	2562107	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2016"	"2016"	Suppressed	2527828	Suppressed
