"Notes"	"Census Division"	"Census Division Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	229	2207026	10.4
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	213	2217981	9.6
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	219	2234185	9.8
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	191	2242704	8.5
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	226	2252346	10.0
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	215	2270008	9.5
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	340	2282375	14.9
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	392	2297213	17.1
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	554	2307435	24.0
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	665	2310292	28.8
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	713	2330684	30.6
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"			3957	24952249	15.9
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	477	5041810	9.5
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	470	5071055	9.3
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	486	5103609	9.5
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	428	5122931	8.4
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2011"	"2011"	532	5152245	10.3
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2012"	"2012"	553	5186568	10.7
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2013"	"2013"	684	5221426	13.1
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2014"	"2014"	995	5258610	18.9
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2015"	"2015"	1231	5291280	23.3
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2016"	"2016"	1617	5305741	30.5
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2017"	"2017"	1522	5337228	28.5
"Total"	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"			8995	57092503	15.8
	"Division 1: New England"	"CENS-D1"	"Medium Metro"	"3"	"2007"	"2007"	354	4456673	7.9
	"Division 1: New England"	"CENS-D1"	"Medium Metro"	"3"	"2008"	"2008"	359	4475230	8.0
	"Division 1: New England"	"CENS-D1"	"Medium Metro"	"3"	"2009"	"2009"	349	4493002	7.8
	"Division 1: New England"	"CENS-D1"	"Medium Metro"	"3"	"2010"	"2010"	359	4506730	8.0
	"Division 1: New England"	"CENS-D1"	"Medium Metro"	"3"	"2011"	"2011"	355	4519000	7.9
	"Division 1: New England"	"CENS-D1"	"Medium Metro"	"3"	"2012"	"2012"	374	4541337	8.2
	"Division 1: New England"	"CENS-D1"	"Medium Metro"	"3"	"2013"	"2013"	579	4553851	12.7
	"Division 1: New England"	"CENS-D1"	"Medium Metro"	"3"	"2014"	"2014"	657	4568700	14.4
	"Division 1: New England"	"CENS-D1"	"Medium Metro"	"3"	"2015"	"2015"	972	4579877	21.2
	"Division 1: New England"	"CENS-D1"	"Medium Metro"	"3"	"2016"	"2016"	1168	4574335	25.5
	"Division 1: New England"	"CENS-D1"	"Medium Metro"	"3"	"2017"	"2017"	1254	4595296	27.3
"Total"	"Division 1: New England"	"CENS-D1"	"Medium Metro"	"3"			6780	49864031	13.6
	"Division 1: New England"	"CENS-D1"	"Small Metro"	"4"	"2007"	"2007"	70	818466	8.6
	"Division 1: New England"	"CENS-D1"	"Small Metro"	"4"	"2008"	"2008"	60	819426	7.3
	"Division 1: New England"	"CENS-D1"	"Small Metro"	"4"	"2009"	"2009"	70	819293	8.5
	"Division 1: New England"	"CENS-D1"	"Small Metro"	"4"	"2010"	"2010"	65	819993	7.9
	"Division 1: New England"	"CENS-D1"	"Small Metro"	"4"	"2011"	"2011"	72	819946	8.8
	"Division 1: New England"	"CENS-D1"	"Small Metro"	"4"	"2012"	"2012"	74	820495	9.0
	"Division 1: New England"	"CENS-D1"	"Small Metro"	"4"	"2013"	"2013"	111	820339	13.5
	"Division 1: New England"	"CENS-D1"	"Small Metro"	"4"	"2014"	"2014"	137	820650	16.7
	"Division 1: New England"	"CENS-D1"	"Small Metro"	"4"	"2015"	"2015"	173	819128	21.1
	"Division 1: New England"	"CENS-D1"	"Small Metro"	"4"	"2016"	"2016"	212	817669	25.9
	"Division 1: New England"	"CENS-D1"	"Small Metro"	"4"	"2017"	"2017"	206	817760	25.2
