"Notes"	"Census Division"	"Census Division Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	26857	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	101870	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	258869	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	"15-24 years"	"15-24"	20	359380	5.6
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	"25-34 years"	"25-34"	39	327288	11.9
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	"35-44 years"	"35-44"	62	312469	19.8
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	"45-54 years"	"45-54"	88	309940	28.4
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	"55-64 years"	"55-64"	18	228514	Unreliable
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	"65-74 years"	"65-74"	Suppressed	132166	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	"75-84 years"	"75-84"	Suppressed	102867	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	"85+ years"	"85+"	Suppressed	46806	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2007"	"2007"			229	2207026	10.4
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	26679	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	101741	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	256463	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	"15-24 years"	"15-24"	16	364421	Unreliable
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	"25-34 years"	"25-34"	38	330868	11.5
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	"35-44 years"	"35-44"	57	305921	18.6
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	"45-54 years"	"45-54"	70	312578	22.4
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	"55-64 years"	"55-64"	27	233976	11.5
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	"65-74 years"	"65-74"	Suppressed	136603	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	"75-84 years"	"75-84"	Suppressed	100876	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	"85+ years"	"85+"	Suppressed	47855	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2008"	"2008"			213	2217981	9.6
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	25916	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	101921	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	256081	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	"15-24 years"	"15-24"	14	369957	Unreliable
