"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	32	208563	15.3
	"Blount County, AL"	"01009"	15	57704	Unreliable
	"Calhoun County, AL"	"01015"	15	114611	Unreliable
	"Cullman County, AL"	"01043"	22	82471	26.7
	"DeKalb County, AL"	"01049"	18	70900	Unreliable
	"Escambia County, AL"	"01053"	10	37728	Unreliable
	"Etowah County, AL"	"01055"	15	102564	Unreliable
	"Jefferson County, AL"	"01073"	216	659521	32.8
	"Lauderdale County, AL"	"01077"	12	92318	Unreliable
	"Lee County, AL"	"01081"	10	158991	Unreliable
	"Madison County, AL"	"01089"	61	356967	17.1
	"Marshall County, AL"	"01095"	14	95157	Unreliable
	"Mobile County, AL"	"01097"	64	414836	15.4
	"Montgomery County, AL"	"01101"	17	226349	Unreliable
	"Morgan County, AL"	"01103"	15	119012	Unreliable
	"St. Clair County, AL"	"01115"	31	88019	35.2
	"Shelby County, AL"	"01117"	45	210622	21.4
	"Tallapoosa County, AL"	"01123"	10	40727	Unreliable
	"Tuscaloosa County, AL"	"01125"	32	206102	15.5
	"Walker County, AL"	"01127"	14	64967	Unreliable
	"Anchorage Borough, AK"	"02020"	61	298192	20.5
	"Fairbanks North Star Borough, AK"	"02090"	19	100605	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	18	58506	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	24	104365	23.0
	"Cochise County, AZ"	"04003"	27	125770	21.5
	"Coconino County, AZ"	"04005"	23	140908	16.3
	"Gila County, AZ"	"04007"	22	53556	41.1
	"Maricopa County, AZ"	"04013"	899	4242997	21.2
	"Mohave County, AZ"	"04015"	59	205249	28.7
	"Navajo County, AZ"	"04017"	35	110026	31.8
	"Pima County, AZ"	"04019"	252	1016206	24.8
	"Pinal County, AZ"	"04021"	69	418540	16.5
	"Yavapai County, AZ"	"04025"	74	225562	32.8
	"Yuma County, AZ"	"04027"	40	205631	19.5
	"Benton County, AR"	"05007"	42	258291	16.3
	"Crawford County, AR"	"05033"	10	62267	Unreliable
	"Faulkner County, AR"	"05045"	16	122227	Unreliable
	"Garland County, AR"	"05051"	25	97477	25.6
	"Lonoke County, AR"	"05085"	20	72228	27.7
	"Mississippi County, AR"	"05093"	10	42835	Unreliable
	"Pope County, AR"	"05115"	14	63779	Unreliable
	"Pulaski County, AR"	"05119"	61	393250	15.5
	"Saline County, AR"	"05125"	20	118703	16.8
	"Sebastian County, AR"	"05131"	27	127793	21.1
	"Washington County, AR"	"05143"	17	228049	Unreliable
	"White County, AR"	"05145"	14	79263	Unreliable
	"Alameda County, CA"	"06001"	185	1647704	11.2
	"Butte County, CA"	"06007"	81	226864	35.7
	"Calaveras County, CA"	"06009"	12	45171	Unreliable
	"Contra Costa County, CA"	"06013"	142	1135127	12.5
	"El Dorado County, CA"	"06017"	44	185625	23.7
	"Fresno County, CA"	"06019"	145	979915	14.8
	"Humboldt County, CA"	"06023"	61	136646	44.6
	"Imperial County, CA"	"06025"	43	180883	23.8
	"Kern County, CA"	"06029"	244	884788	27.6
	"Kings County, CA"	"06031"	15	149785	Unreliable
	"Lake County, CA"	"06033"	36	64116	56.1
	"Lassen County, CA"	"06035"	12	30870	Unreliable
	"Los Angeles County, CA"	"06037"	1055	10137915	10.4
	"Madera County, CA"	"06039"	22	154697	14.2
	"Marin County, CA"	"06041"	43	260651	16.5
	"Mendocino County, CA"	"06045"	35	87628	39.9
	"Merced County, CA"	"06047"	48	268672	17.9
	"Monterey County, CA"	"06053"	61	435232	14.0
	"Napa County, CA"	"06055"	13	142166	Unreliable
	"Nevada County, CA"	"06057"	19	99107	Unreliable
	"Orange County, CA"	"06059"	445	3172532	14.0
	"Placer County, CA"	"06061"	51	380531	13.4
	"Riverside County, CA"	"06065"	423	2387741	17.7
	"Sacramento County, CA"	"06067"	242	1514460	16.0
	"San Bernardino County, CA"	"06071"	108	2140096	5.0
	"San Diego County, CA"	"06073"	502	3317749	15.1
	"San Francisco County, CA"	"06075"	202	870887	23.2
	"San Joaquin County, CA"	"06077"	138	733709	18.8
	"San Luis Obispo County, CA"	"06079"	52	282887	18.4
	"San Mateo County, CA"	"06081"	57	764797	7.5
	"Santa Barbara County, CA"	"06083"	78	446170	17.5
	"Santa Clara County, CA"	"06085"	168	1919402	8.8
	"Santa Cruz County, CA"	"06087"	52	274673	18.9
	"Shasta County, CA"	"06089"	42	179631	23.4
	"Siskiyou County, CA"	"06093"	19	43603	Unreliable
	"Solano County, CA"	"06095"	53	440207	12.0
	"Sonoma County, CA"	"06097"	72	503070	14.3
	"Stanislaus County, CA"	"06099"	75	541560	13.8
	"Sutter County, CA"	"06101"	13	96651	Unreliable
	"Tehama County, CA"	"06103"	11	63276	Unreliable
	"Tulare County, CA"	"06107"	44	460437	9.6
	"Tuolumne County, CA"	"06109"	15	53804	Unreliable
	"Ventura County, CA"	"06111"	116	849738	13.7
	"Yolo County, CA"	"06113"	36	215802	16.7
	"Yuba County, CA"	"06115"	17	75275	Unreliable
	"Adams County, CO"	"08001"	101	498187	20.3
	"Arapahoe County, CO"	"08005"	105	637068	16.5
	"Boulder County, CO"	"08013"	45	322226	14.0
	"Broomfield County, CO"	"08014"	13	66529	Unreliable
	"Denver County, CO"	"08031"	141	693060	20.3
	"Douglas County, CO"	"08035"	40	328632	12.2
	"El Paso County, CO"	"08041"	184	688284	26.7
	"Fremont County, CO"	"08043"	17	47446	Unreliable
	"Garfield County, CO"	"08045"	16	58887	Unreliable
	"Jefferson County, CO"	"08059"	94	571837	16.4
	"Larimer County, CO"	"08069"	48	339993	14.1
	"Mesa County, CO"	"08077"	26	150083	17.3
	"Montezuma County, CO"	"08083"	11	26999	Unreliable
	"Pueblo County, CO"	"08101"	40	165123	24.2
	"Weld County, CO"	"08123"	42	294932	14.2
	"Fairfield County, CT"	"09001"	185	944177	19.6
	"Hartford County, CT"	"09003"	280	892389	31.4
	"Litchfield County, CT"	"09005"	44	182571	24.1
	"Middlesex County, CT"	"09007"	49	163329	30.0
	"New Haven County, CT"	"09009"	268	856875	31.3
	"New London County, CT"	"09011"	100	269801	37.1
	"Tolland County, CT"	"09013"	38	151118	25.1
	"Windham County, CT"	"09015"	39	116192	33.6
	"Kent County, DE"	"10001"	48	174827	27.5
	"New Castle County, DE"	"10003"	168	556987	30.2
	"Sussex County, DE"	"10005"	80	220251	36.3
	"District of Columbia, DC"	"11001"	278	681170	40.8
	"Alachua County, FL"	"12001"	34	263496	12.9
	"Bay County, FL"	"12005"	50	183974	27.2
	"Brevard County, FL"	"12009"	187	579130	32.3
	"Broward County, FL"	"12011"	548	1909632	28.7
	"Charlotte County, FL"	"12015"	17	178465	Unreliable
	"Citrus County, FL"	"12017"	62	143621	43.2
	"Clay County, FL"	"12019"	76	208311	36.5
	"Collier County, FL"	"12021"	54	365136	14.8
	"Columbia County, FL"	"12023"	12	69299	Unreliable
	"Duval County, FL"	"12031"	419	926255	45.2
	"Escambia County, FL"	"12033"	47	315187	14.9
	"Flagler County, FL"	"12035"	17	108310	Unreliable
	"Hernando County, FL"	"12053"	41	182835	22.4
	"Highlands County, FL"	"12055"	29	100917	28.7
	"Hillsborough County, FL"	"12057"	238	1376238	17.3
	"Indian River County, FL"	"12061"	35	151563	23.1
