"Statistics for community hospital stays 2014 California, by county or county equivalent",,,,,,
,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs | State: California | Community Level: County",,,,,,
,,,,,,
"2014 State Total, California",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,363437.9907,942.7692544,16494.00854,5994549321,155.5004413
Age group,<1,3554.571745,699.0088306,34818.76326,123765792.1,243.3862299
,17-Jan,4107.615632,46.70206447,14269.92788,58615378.81,6.664350918
,18-44,130279.1066,889.3777114,12801.4937,1667767163,113.8536317
,45-64,166963.8713,1706.01313,17619.58605,2941834296,300.5924515
,65-84,58520.82539,1216.38668,20540.57171,1202051211,249.8527783
,Missing,12,†,42956.68095,515480.1714,†
Sex,Male,232569.1679,1213.175265,17270.90422,4016679823,209.526338
,Female,130843.8228,675.1570506,15112.60503,1977391015,102.0338184
,Missing,25,†,19139.30679,478482.6698,†
Payer,Medicare,97869.4604,†,18387.3005,1799555178,†
,Medicaid,168052.3622,†,15367.82887,2582599945,†
,Private insurance,66392.49617,†,17187.56467,1141125322,†
,Uninsured,17463.937,†,12238.73482,213736493.8,†
,Other,13581.5492,†,18843.76715,255927550.7,†
,Missing,78.18566604,†,20525.91296,1604832.176,†
Type of stay,Neonatal/maternal,14784.7612,30.84837253,13963.73936,206450551.9,†
,Nonneonatal/nonmaternal,348653.2295,727.4642154,16601.30548,5788098769,†
Type of substance or substance-related condition,Alcohol,192774.3146,500.0624631,17260.2027,3327323745,86.31179478
,Cannabis,66108.83346,171.4883343,12465.80668,824099937.7,21.37740423
,Drug-induced mental disorders,20839.35155,54.05791477,20286.71638,422762014.5,10.96657585
,Hallucinogens,1570.446391,4.07378593,13245.99817,20802130.02,0.53961361
,Opioids,60287.98653,156.3888795,17222.43427,1038305885,26.93397197
,Other drug abuse,47775.64232,123.9314762,14565.43699,695873107.8,18.05116107
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",17069.78859,44.27955326,12686.65215,216558470.2,5.617592896
,Stimulants,85265.133,221.1803607,14328.38714,1221711835,31.69157836
