"Statistics for community hospital stays 2014 Illinois, by county or county equivalent",,,,,,
,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs | State: Illinois | Community Level: County",,,,,,
,,,,,,
"2014 State Total, Illinois",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,150462.7378,1166.890611,9564.774552,1439142165,111.6104562
Age group,<1,938.3340203,573.2384509,27349.37677,25662850.66,156.7771438
,17-Jan,2779.901647,96.55299339,9146.586423,25426610.66,8.831302985
,18-44,55942.96068,1190.860548,7076.111449,395858624.5,84.26661955
,45-64,72339.85816,2131.845758,10159.58564,734942983.9,216.5866955
,65-84,18436.40441,1047.221901,13943.27964,257063942.2,146.0170782
,Missing,25.27886875,†,7403.545339,187153.2509,†
Sex,Male,96447.88496,1523.413699,10057.11872,969987829,153.2115243
,Female,54012.85282,822.9534258,8685.894467,469149939.4,71.48086607
,Missing,*,†,*,*,†
Payer,Medicare,36824.53405,†,11287.76616,415666729.4,†
,Medicaid,58014.89002,†,8487.056521,492375650.7,†
,Private insurance,39417.8706,†,9864.440821,388835251.8,†
,Uninsured,12704.21594,†,9106.025954,115684920.1,†
,Other,3495.93309,†,7535.237748,26342686.98,†
,Missing,*,†,*,*,†
Type of stay,Neonatal/maternal,4281.575507,28.13956496,10058.72512,43067191.1,†
,Nonneonatal/nonmaternal,146181.1623,960.7384724,9550.306978,1396074974,†
Type of substance or substance-related condition,Alcohol,82854.52453,642.565516,10411.35663,862628003,66.89978743
,Cannabis,30161.25534,233.9109749,7294.956169,220025035.7,17.06370309
,Drug-induced mental disorders,21032.48306,163.1141861,7314.839327,153849234.2,11.93154063
,Hallucinogens,591.055617,4.583840891,8925.03842,5275194.09,0.409109561
,Opioids,35058.76945,271.8928919,7360.801346,258060637.4,20.01349565
,Other drug abuse,16568.55207,128.4948562,8465.217883,140256403.3,10.87736954
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",7799.886694,60.49082108,6964.583458,54322961.84,4.212933718
,Stimulants,23287.21693,180.6004276,8028.143313,186953114.9,14.49886116
