"Statistics for community hospital stays 2014 Kentucky, by county or county equivalent",,,,,,
,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs | State: Kentucky | Community Level: County",,,,,,
,,,,,,
"2014 State Total, Kentucky",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,51298.5554,1163.393999,9820.453589,503775082.5,114.2505678
Age group,<1,1907.956047,3418.234673,18005.80059,34354276.12,615.4805188
,17-Jan,662.4957906,68.82479647,8665.018078,5740538.002,5.963681056
,18-44,22839.65361,1471.525714,7374.671101,168434933.4,108.5201815
,45-64,20273.90917,1698.853112,11022.19371,223462954.2,187.2508809
,65-84,5613.540778,869.6516892,12785.47917,71771808.66,111.1891355
,Missing,*,†,*,*,†
Sex,Male,30590.55375,1409.165896,10712.58758,327703986.3,150.9581309
,Female,20706.00164,924.9692835,8503.216534,176067615.5,78.65214105
,Missing,*,†,*,*,†
Payer,Medicare,12834.38721,†,10731.24052,137728896.1,†
,Medicaid,24534.33969,†,9298.248815,228126395,†
,Private insurance,9270.807019,†,9973.980845,92466851.62,†
,Uninsured,2932.494507,†,6705.47004,19663754.06,†
,Other,1545.965425,†,15287.00864,23633186.81,†
,Missing,180.5615458,†,11940.52102,2155998.934,†
Type of stay,Neonatal/maternal,5023.345794,96.18108666,9540.361855,47924536.6,†
,Nonneonatal/nonmaternal,46275.2096,886.0230069,9850.858587,455850545.9,†
Type of substance or substance-related condition,Alcohol,24176.82591,548.3034361,10776.09747,260531832.6,59.08571271
,Cannabis,8307.036647,188.3943224,7878.230747,65444751.53,14.84213944
,Drug-induced mental disorders,5647.734153,128.084309,7586.444928,42846224.12,9.717045567
,Hallucinogens,216.6682517,4.913794198,9436.578048,2044606.868,0.463694025
,Opioids,13816.11665,313.3341101,8468.019388,116995143.7,26.53319319
,Other drug abuse,10013.99606,227.1062574,8344.071792,83557502.05,18.94990916
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",4974.142533,112.8080027,6314.188635,31407674.25,7.122910084
