"Statistics for community hospital stays 2014 North Carolina, by county or county equivalent",,,,,,,,,
,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs, Days | State: North Carolina | Community Level: County",,,,,,,,,
,,,,,,,,,
"2014 State Total, North Carolina",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,108012.2462,1091.657681,5.721542136,617996.6176,6245.965418,9551.567998,1031686314,104.2704257
Age group,<1,1781.294075,1412.940489,15.75989033,28072.99927,22267.78716,17948.81011,31972109.1,253.6060054
,17-Jan,1330.713702,60.86788106,6.793562269,9040.286397,413.5097402,8947.12433,11906060.94,5.445924995
,18-44,42345.15174,1193.237633,5.089854773,215530.6727,6073.406259,7269.933272,307846427.6,86.74757966
,45-64,47349.3317,1806.64717,5.739900963,271780.4746,10369.97583,10391.23191,492017886.3,187.7328972
,65-84,15204.75495,1076.496939,6.154073834,93571.18457,6624.841643,12360.66913,187940945.1,133.0622248
,Missing,*,†,*,*,†,*,*,†
Sex,Male,64647.37601,1340.715887,5.863214706,379041.4458,7860.905103,10206.14273,659800346.6,136.835377
,Female,43249.87015,852.637905,5.511373121,238366.1718,4699.205631,8570.444006,370670590.4,73.07485422
,Missing,115,†,5.12173913,589,†,10568.49445,1215376.861,†
Payer,Medicare,27969.15703,†,5.955281809,166564.2121,†,10671.66907,298477588.2,†
,Medicaid,27811.14783,†,6.422060546,178604.8752,†,10101.84942,280944027.7,†
,Private insurance,27320.07446,†,5.492275974,150049.3886,†,9204.773345,251475093.2,†
,Uninsured,17756.57206,†,4.800915418,85247.80056,†,8740.801351,155206669,†
,Other,7015.7048,†,5.215213259,36588.39669,†,6260.131452,43919234.28,†
,Missing,139.5899747,†,6.747937314,941.9443992,†,11918.48835,1663701.488,†
Type of stay,Neonatal/maternal,6041.062174,54.1498196,6.84095859,41326.65617,370.4366735,8596.231294,51930367.71,†
,Nonneonatal/nonmaternal,101971.184,914.031516,5.65522473,576669.9614,5169.053633,9608.164855,979755946.2,†
Type of substance or substance-related condition,Alcohol,56867.34158,574.7465906,5.731330321,325925.519,3294.062561,10050.42475,571540937.1,57.76447357
,Cannabis,22315.1594,225.5347521,5.194118297,115907.5777,1171.454182,7367.721289,164411875,16.61677194
,Drug-induced mental disorders,10388.82105,104.9976895,6.453196508,67041.10369,677.5707235,9614.841601,99886868.77,10.09536153
,Hallucinogens,427.5881499,4.321545979,5.360845709,2292.234099,23.16714122,8131.663323,3477002.876,0.351413569
,Opioids,20303.07289,205.1990052,6.191040453,125697.1456,1270.395342,8518.547585,172952692.5,17.47997491
,Other drug abuse,16986.31734,171.6772352,5.424067671,92134.93473,931.1889415,8764.800288,148881679.1,15.04716681
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",9993.660757,101.0038853,5.024333135,50211.48089,507.4771678,6422.686197,64186147,6.487162601
,Stimulants,17902.65762,180.9384991,5.508540152,98617.50834,996.7069872,7953.499412,142388776.9,14.39094246
,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,
,,,,,,,,,
"2014 Alamance, North Carolina",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,108012.2462,1091.657681,5.721542136,617996.6176,6245.965418,9551.567998,1031686314,104.2704257
"Alamance, North Carolina",,1912,1174.317336,5.42834728,10379,6374.602317,9500.232272,18164444.1,111.5628745
Age group,<1,23,1151.151151,28.08695652,646,32332.33233,40056.37441,921296.6114,461.1094151
,17-Jan,18,50.97561666,10.44444444,188,532.4119963,13492.4162,242863.4917,6.877842362
,18-44,693,1232.37245,4.881673882,3383,6016.040403,7114.386576,4930269.897,87.67574017
,45-64,945,2158.519872,5.245502646,4957,11322.5217,10112.16819,9555998.942,218.2731599
,65-84,233,913.8688422,5.17167382,1205,4726.231566,10789.76464,2514015.161,98.60429717
,Missing,*,†,*,*,†,*,*,†
Sex,Male,1145,1473.464766,5.496069869,6293,8098.265301,10069.05104,11529063.44,148.3639193
,Female,761,894.1369992,5.349540079,4071,4783.221713,8672.123778,6599486.195,77.54066732
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,387,†,5.291989664,2048,†,9957.061382,3853382.755,†
,Medicaid,644,†,6.170807453,3974,†,8954.163977,5766481.601,†
,Private insurance,501,†,5.047904192,2529,†,10084.43133,5052300.097,†
,Uninsured,339,†,4.663716814,1581,†,9179.115192,3111720.05,†
,Other,40,†,6.125,245,†,9358.945315,374357.8126,†
,Missing,*,†,*,*,†,*,*,†
Type of stay,Neonatal/maternal,106,59.71830986,8.396226415,890,501.4084507,12377.29539,1311993.311,†
,Nonneonatal/nonmaternal,1806,1017.464789,5.254152824,9489,5345.915493,9331.368102,16852450.79,†
Type of substance or substance-related condition,Alcohol,1163,714.2944883,5.215821152,6066,3725.632301,9769.096246,11361458.93,69.78011604
,Cannabis,344,211.2788512,4.889534884,1682,1033.055313,7491.543406,2577090.932,15.82804685
,Drug-induced mental disorders,152,93.35577147,5.677631579,863,530.0396762,7939.809221,1206851.002,7.412270152
,Hallucinogens,*,*,*,*,*,*,*,*
,Opioids,271,166.4435136,6.52398524,1768,1085.875026,9447.486974,2560268.97,15.72472927
,Other drug abuse,259,159.0733211,5.123552124,1327,815.0204523,7777.744777,2014435.897,12.37231693
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",193,118.5372625,4.984455959,962,590.8437642,6668.503339,1287021.145,7.904661306
,Stimulants,361,221.7199573,5.072022161,1831,1124.568537,7568.527594,2732238.461,16.78093615
,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,
,,,,,,,,,
"2014 Alexander, North Carolina",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,108012.2462,1091.657681,5.721542136,617996.6176,6245.965418,9551.567998,1031686314,104.2704257
"Alexander, North Carolina",,382,1057.966599,5.510471204,2105,5829.89448,8971.193317,3426995.847,94.91222885
Age group,<1,13,3217.821782,13.46153846,175,43316.83168,2964.039849,38532.51803,95.37751988
,17-Jan,*,*,*,*,*,*,*,*
,18-44,180,1522.971487,5.016666667,903,7640.240291,6830.805276,1229544.95,104.0312167
,45-64,157,1510.050976,5.229299363,821,7896.508608,10730.88553,1684749.028,162.0418416
,65-84,29,483.5751209,6.344827586,184,3068.200767,14466.54294,419529.7453,69.95660252
,Missing,*,†,*,*,†,*,*,†
Sex,Male,206,1123.718089,5.213592233,1074,5858.607899,9745.150077,2007500.916,109.5080142
,Female,176,990.1547117,5.857954546,1031,5800.281294,8065.312108,1419494.931,79.85906785
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,83,†,5.421686747,450,†,9644.116907,800461.7033,†
,Medicaid,99,†,5.919191919,586,†,8180.362113,809855.8492,†
,Private insurance,116,†,5.060344828,587,†,9889.788609,1147215.479,†
,Uninsured,46,†,6.043478261,278,†,10412.98585,478997.349,†
,Other,37,†,5.378378378,199,†,4963.562458,183651.811,†
,Missing,*,†,*,*,†,*,*,†
Type of stay,Neonatal/maternal,28,87.77429467,7.857142857,220,689.6551724,3586.482551,100421.5114,†
,Nonneonatal/nonmaternal,354,1109.717868,5.324858757,1885,5909.090909,9397.102643,3326574.335,†
Type of substance or substance-related condition,Alcohol,179,495.7487468,5.396648045,966,2675.381505,10281.40797,1840372.026,50.96995114
