"Statistics for community hospital stays 2014 New Mexico, by county or county equivalent",,,,,,,,,
,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs, Days | State: New Mexico | Community Level: County",,,,,,,,,
,,,,,,,,,
"2014 State Total, New Mexico",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,23786.94824,1133.639246,5.567427471,132432.1091,6311.454279,11649.57971,277107949.5,132.0642075
Age group,<1,501,1729.494615,15.35528942,7693,26556.89036,23974.36588,12011157.31,414.6353668
,17-Jan,504,102.8109828,8.861111111,4466,911.0195422,14838.85274,7478781.78,15.25597034
,18-44,10364.78,1421.121619,4.700931054,48724.11615,6680.594752,9495.60814,98419889.3,134.9441402
,45-64,9446.997973,1734.087759,5.709643673,53938.9922,9901.023199,12628.55744,119301956.6,218.9902687
,65-84,2966.170267,972.5977515,5.9311315,17592.7459,5768.605161,13431.30903,39839549.49,130.6326096
,Missing,*,†,*,*,†,*,*,†
Sex,Male,14734.22206,1419.492834,5.749734383,84717.86319,8161.706756,12531.11835,184636280.4,177.878327
,Female,9049.726175,853.5142438,5.271788887,47708.24588,4499.546905,10216.81918,92459415.95,87.20200695
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,5740.997206,†,5.690060548,32666.62171,†,12240.31503,70271614.41,†
,Medicaid,10146.12006,†,5.920741555,60072.55466,†,11905.03797,120789944.6,†
,Private insurance,3567.384833,†,5.433295182,19382.65482,†,12991.59288,46346011.39,†
,Uninsured,2229.067204,†,4.270459435,9519.141069,†,9739.713301,21710475.49,†
,Other,1084.378935,†,5.292556523,5739.136804,†,12102.64229,13123850.35,†
,Missing,1019,†,4.957801766,5052,†,4775.322222,4866053.344,†
Type of stay,Neonatal/maternal,1662.079982,69.54309547,6.370238282,10587.84553,443.006089,9323.695399,15496727.48,†
,Nonneonatal/nonmaternal,22124.86826,925.7267052,5.50711815,121844.2635,5098.086341,11824.30643,261611222.1,†
Type of substance or substance-related condition,Alcohol,14136.331,673.7097777,5.469220357,77314.70927,3684.667231,12077.49218,170731427.1,81.36724571
,Cannabis,3631.091293,173.0506811,5.031513227,18269.88387,870.7067911,9171.219918,33301536.79,15.87085854
,Drug-induced mental disorders,1422.42499,67.78998197,7.177643195,10209.65905,486.5723028,16669.87012,23711639.83,11.30050195
,Hallucinogens,128,6.100228663,5.4140625,693,33.02701925,8589.667542,1099477.445,0.523989362
,Opioids,4682.475929,223.1576084,6.437432982,30143.12498,1436.562148,11714.7599,54854081.26,26.14237803
,Other drug abuse,2963.280435,141.2241269,4.840760359,14344.53046,683.6321553,8665.209351,25677445.34,12.23736625
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",1339.995198,63.86153995,4.767923091,6388.994045,304.486911,9928.794179,13304536.52,6.340680862
,Stimulants,3487.741327,166.2189032,5.112311019,17830.41842,849.7627307,9484.010609,33077775.75,15.76421842
,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,
,,,,,,,,,
"2014 Bernalillo, New Mexico",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,23786.94824,1133.639246,5.567427471,132432.1091,6311.454279,11649.57971,277107949.5,132.0642075
"Bernalillo, New Mexico",,8199,1213.264672,5.935235652,48662.99711,7201.011736,12355.50097,101302752.4,149.9049283
Age group,<1,176,1943.248316,18.72727273,3296,36391.74119,27827.98491,4897725.344,540.7668482
,17-Jan,248,163.5279844,9.004032258,2233,1472.411247,12975.90146,3218023.561,21.21923011
,18-44,3460,1390.619348,4.863294798,16827,6762.991841,10249.05501,35461730.35,142.525342
,45-64,3314,1898.726925,6.132770066,20324,11644.45565,13350.96701,44245104.67,253.4984053
,65-84,1000,1090.286636,5.977,5977,6516.643226,13456.45482,13456454.82,146.7139286
,Missing,*,†,*,*,†,*,*,†
Sex,Male,4930,1488.018882,6.096754564,30057,9072.085913,13263.40896,65388606.19,197.3620298
,Female,3269,949.0023718,5.691647938,18605.99711,5401.387392,10986.27906,35914146.26,104.2600489
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,2036,†,5.770627264,11748.99711,†,12364.11864,25173345.56,†
,Medicaid,3672,†,6.391339869,23469,†,12471.00626,45793534.97,†
,Private insurance,1241,†,5.486704271,6809,†,12695.29844,15754865.36,†
,Uninsured,883,†,4.733861835,4180,†,11342.84834,10015735.09,†
,Other,340,†,6.75,2295,†,12901.93831,4386659.025,†
,Missing,27,†,5.962962963,161,†,6615.275491,178612.4383,†
Type of stay,Neonatal/maternal,631,83.60938121,7.453248811,4703,623.1615211,10650.50396,6720467.996,†
,Nonneonatal/nonmaternal,7568,1002.782563,5.808667694,43959.99711,5824.830676,12497.65915,94582284.45,†
Type of substance or substance-related condition,Alcohol,4758,704.0752908,5.694199243,27093,4009.144988,12487.93102,59417575.81,87.92443666
,Cannabis,1213,179.4962858,5.589447651,6780,1003.285093,9830.639386,11924565.58,17.64563257
,Drug-induced mental disorders,526,77.83598212,7.44296578,3915,579.3305514,17487.51238,9198431.513,13.61157701
,Hallucinogens,25,3.699428808,6.36,159,23.52836722,8032.193383,200804.8346,0.297145276
,Opioids,2016,298.3219391,6.723212851,13553.99711,2005.681895,12590.40987,25382266.3,37.55995487
,Other drug abuse,1074,158.9274616,4.955307263,5322,787.5344047,8877.111585,9534017.842,14.10816811
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",447,66.14578709,5.178970917,2315,342.5671076,11842.06711,5293403.996,7.833028495
,Stimulants,1148,169.8777709,5.467770035,6277,928.8525852,10708.29985,12293128.23,18.19102108
,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,
,,,,,,,,,
"2014 Catron, New Mexico",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,23786.94824,1133.639246,5.567427471,132432.1091,6311.454279,11649.57971,277107949.5,132.0642075
"Catron, New Mexico",,21,584.6325167,5.523809524,116,3229.398664,17450.84046,366467.6496,102.0232877
Age group,<1,*,*,*,*,*,*,*,*
,17-Jan,*,*,*,*,*,*,*,*
,18-44,*,*,*,*,*,*,*,*
,45-64,13,998.4639017,6.076923077,79,6067.588326,18760.09654,243881.255,187.3127919
,65-84,*,*,*,*,*,*,*,*
,Missing,*,†,*,*,†,*,*,†
Sex,Male,14,751.4761138,3.857142857,54,2898.550725,14370.67804,201189.4926,107.9922129
,Female,*,*,*,*,*,*,*,*
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,*,†,*,*,†,*,*,†
,Medicaid,*,†,*,*,†,*,*,†
,Private insurance,*,†,*,*,†,*,*,†
,Uninsured,*,†,*,*,†,*,*,†
,Other,*,†,*,*,†,*,*,†
,Missing,*,†,*,*,†,*,*,†
Type of stay,Neonatal/maternal,*,*,*,*,*,*,*,†
,Nonneonatal/nonmaternal,21,750,5.523809524,116,4142.857143,17450.84046,366467.6496,†
Type of substance or substance-related condition,Alcohol,16,445.4342984,4.4375,71,1976.614699,14036.46742,224583.4788,62.5232402
,Cannabis,*,*,*,*,*,*,*,*
,Drug-induced mental disorders,*,*,*,*,*,*,*,*
,Hallucinogens,*,*,*,*,*,*,*,*
,Opioids,*,*,*,*,*,*,*,*
,Other drug abuse,*,*,*,*,*,*,*,*
