"Statistics for community hospital stays 2014 Pennsylvania, by county or county equivalent",,,,,,,,,
,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs, Days | State: Pennsylvania | Community Level: County",,,,,,,,,
,,,,,,,,,
"2014 State Total, Pennsylvania",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,144066.249,1126.283971,5.607563894,807860.6961,6315.709331,9484.571289,1366406609,106.8232062
Age group,<1,2860.339116,1996.035698,14.69383691,42029.35646,29329.42301,16613.93743,47521495.09,331.6201219
,17-Jan,1322.508673,51.41117096,6.038434865,7985.882483,310.4430072,11260.53658,14892157.29,5.789173712
,18-44,55962.79478,1283.028005,4.948371782,276924.7145,6348.899577,7036.491086,393781706.6,90.28015122
,45-64,63833.61483,1776.356864,5.625826543,359116.8446,9993.475595,10353.28811,660887805.2,183.9113439
,65-84,20075.99157,946.8529988,6.062758968,121715.8979,5740.541509,12408.17421,249106401,117.4871696
,Missing,11,†,8,88,†,19731.23457,217043.5802,†
Sex,Male,89445.17072,1432.821026,5.732966588,512786.1752,8214.315066,10010.38546,895380636.2,143.4309076
,Female,54572.07825,833.3271476,5.402625855,294832.5209,4502.154793,8621.344443,470484683.6,71.84400373
,Missing,49,†,4.93877551,242,†,11046.71451,541289.0109,†
Payer,Medicare,40506.44328,†,5.943397414,240745.8903,†,10837.62423,438993611.4,†
,Medicaid,48827.2509,†,5.572634481,272096.422,†,9700.403939,473644057,†
,Private insurance,42132.8637,†,5.635832477,237453.7616,†,8587.245859,361805259.4,†
,Uninsured,9395.935525,†,4.255802618,39987.247,†,6906.962064,64897370.23,†
,Other,2056.755556,†,5.574981993,11466.37519,†,9550.854238,19643772.52,†
,Missing,1147,†,5.327811683,6111,†,6471.262675,7422538.288,†
Type of stay,Neonatal/maternal,8141.095653,60.42750531,7.175168695,58413.73467,433.5775444,8915.41531,72581248.83,†
,Nonneonatal/nonmaternal,135925.1533,1008.908171,5.513673835,749446.9614,5562.790584,9518.660295,1293825360,†
Type of substance or substance-related condition,Alcohol,78235.64493,611.6321726,5.585060863,436950.8386,3416.002909,9985.489608,781221219.4,61.07446703
,Cannabis,20847.04514,162.9784419,5.3868455,112299.8113,877.9396863,7014.086811,146222984.4,11.4314494
,Drug-induced mental disorders,12023.57602,93.99815043,6.201803029,74567.85015,582.958014,10094.16125,121367915.2,9.48832488
,Hallucinogens,670.1695578,5.239264826,5.836595572,3911.508673,30.57946988,7491.482892,5020563.777,0.392498628
,Opioids,36083.36033,282.0932082,5.89807223,212822.2655,1663.806118,8470.756867,305653372.3,23.8954298
,Other drug abuse,19949.79937,155.9639362,5.072757118,101200.4868,791.1671674,7613.620341,151890198.3,11.87450197
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",11336.37441,88.6257321,4.49530373,50960.44615,398.399584,6588.240384,74686759.68,5.838876273
,Stimulants,17879.32317,139.7773264,5.385727729,96293.16656,752.8026224,8301.457833,148424447.4,11.60355581
,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,
,,,,,,,,,
"2014 Adams, Pennsylvania",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,144066.249,1126.283971,5.607563894,807860.6961,6315.709331,9484.571289,1366406609,106.8232062
"Adams, Pennsylvania",,689,750.3975255,5.004354136,3448,3755.254961,10407.87249,7171024.148,78.10041765
Age group,<1,*,*,*,*,*,*,*,*
,17-Jan,*,*,*,*,*,*,*,*
,18-44,218,729.7803964,3.95412844,862,2885.64542,6848.76533,1493030.842,49.98094677
,45-64,333,1241.425589,5.153153153,1716,6397.256188,12219.70067,4069160.323,151.698491
,65-84,121,757.4809065,5.760330579,697,4363.340428,11437.43337,1383929.438,86.63637396
,Missing,*,†,*,*,†,*,*,†
Sex,Male,404,893.4692704,5.329207921,2153,4761.483513,11748.51167,4746398.713,104.9693415
,Female,285,611.5748589,4.543859649,1295,2778.910324,8507.457664,2424625.434,52.02947221
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,269,†,5.486988848,1476,†,10514.35402,2828361.233,†
,Medicaid,136,†,5.698529412,775,†,9117.060963,1239920.291,†
,Private insurance,202,†,4.351485149,879,†,12148.10971,2453918.161,†
,Uninsured,59,†,3.542372881,209,†,7043.23887,415551.0933,†
,Other,22,†,4.863636364,107,†,10405.81985,228928.0366,†
,Missing,*,†,*,*,†,*,*,†
Type of stay,Neonatal/maternal,33,38.32752613,6.03030303,199,231.126597,8012.670128,264418.1142,†
,Nonneonatal/nonmaternal,656,761.9047619,4.952743902,3249,3773.519164,10528.36286,6906606.034,†
Type of substance or substance-related condition,Alcohol,351,382.2779847,5.17948718,1818,1980.003921,11912.2262,4181191.397,45.53781826
,Cannabis,58,63.16844192,3.862068966,224,243.9608791,6148.475794,356611.5961,3.883896361
,Drug-induced mental disorders,68,74.05955259,5.191176471,353,384.4562068,9383.748714,638094.9126,6.949562314
,Hallucinogens,*,*,*,*,*,*,*,*
,Opioids,162,176.4359929,5.450617284,883,961.6850726,9184.55684,1487898.208,16.20486406
,Other drug abuse,143,155.7428827,4.111888112,588,640.3973077,7545.729384,1079039.302,11.75193646
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",33,35.94066523,3.606060606,119,129.604217,6865.828528,226572.3414,2.467624447
,Stimulants,32,34.85155416,3.5,112,121.9804396,5733.327439,183466.4781,1.998153718
,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,
,,,,,,,,,
"2014 Allegheny, Pennsylvania",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,144066.249,1126.283971,5.607563894,807860.6961,6315.709331,9484.571289,1366406609,106.8232062
"Allegheny, Pennsylvania",,19538,1606.312781,6.475483673,126518,10401.65219,7366.918232,143934848.4,118.3357491
Age group,<1,332,2673.538412,13.37349398,4440,35754.54985,13660.7216,4535359.571,365.2246393
,17-Jan,149,67.76392685,11.59060403,1727,785.4248434,9549.387568,1422858.748,6.471040007
,18-44,7507,1773.807105,6.096043693,45763,10813.20561,5264.904322,39523636.75,93.38924692
,45-64,9044,2632.030802,6.46948253,58510,17027.87729,8039.929921,72713126.21,211.613432
,65-84,2506,1153.775322,6.415802075,16078,7402.394107,10271.29575,25739867.14,118.5076756
,Missing,*,†,*,*,†,*,*,†
Sex,Male,12284,2105.31728,6.596059915,81026,13886.79892,7702.716075,94620164.26,162.1666126
,Female,7254,1146.241374,6.271298594,45492,7188.421919,6798.274628,49314684.15,77.92463652
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,4787,†,6.660747859,31885,†,9153.431841,43817478.22,†
,Medicaid,5533,†,5.972166998,33044,†,7760.186016,42937109.23,†
,Private insurance,7226,†,7.057293108,50996,†,6178.054517,44642621.94,†
,Uninsured,1709,†,5.051492101,8633,†,6283.096741,10737812.33,†
,Other,231,†,7.017316017,1621,†,5999.794991,1385952.643,†
,Missing,52,†,6.519230769,339,†,7959.116258,413874.0454,†
Type of stay,Neonatal/maternal,919,71.80248457,6.922742111,6362,497.0700836,6730.76836,6185576.123,†
,Nonneonatal/nonmaternal,18619,1454.723025,6.453407809,120156,9387.920931,7398.317433,137749272.3,†
