"Statistics for community hospital stays 2014 Tennessee, by county or county equivalent",,,,,,,,,
,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs, Days | State: Tennessee | Community Level: County",,,,,,,,,
,,,,,,,,,
"2014 State Total, Tennessee",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,82399.22835,1263.030153,5.908788104,486879.5802,7462.977545,7824.066226,644604052.3,98.80606547
Age group,<1,2176.09498,2683.621473,15.86911699,34532.70582,42586.70311,18960.86505,41260643.24,508.8378459
,17-Jan,2709.348222,191.3642341,7.813928464,21170.65319,1495.306436,5930.538425,16067893.74,11.34892943
,18-44,33635.26531,1462.32273,5.291626603,177985.2647,7738.065858,6081.87479,204545438,88.92792742
,45-64,33793.46889,1921.756261,5.694981759,192453.1889,10944.36685,8428.254259,284755993.3,161.9341343
,65-84,10083.75688,1041.233906,6.022557263,60730.0032,6270.890822,9716.290205,97966991.86,101.1592751
,Missing,*,†,*,*,†,*,*,†
Sex,Male,46197.02903,1451.993871,6.076217246,280703.1845,8822.630198,8484.285915,391892907,123.1737432
,Female,36198.37911,1083.036381,5.693675811,206101.8355,6166.458045,6978.8396,252585735.1,75.57231764
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,25553.25122,†,5.986783399,152981.7802,†,8337.21056,213007035.3,†
,Medicaid,23462.15331,†,6.666405908,156408.2374,†,7730.946926,181374657.6,†
,Private insurance,16312.86353,†,5.290154973,86297.57611,†,7125.258895,116226250.7,†
,Uninsured,14095.55602,†,4.76662321,67188.20446,†,7729.07332,108912396.7,†
,Other,2246.814054,†,8.924257787,20051.14782,†,7834.703309,17595286.8,†
,Missing,728.5902293,†,5.425044291,3952.634264,†,10277.96551,7488425.249,†
Type of stay,Neonatal/maternal,5668.887534,88.07543865,8.024519235,45490.09705,706.7630516,9363.553663,53071569.08,†
,Nonneonatal/nonmaternal,76730.34082,1192.131328,5.752476511,441389.4832,6857.707464,7710.331826,591532483.2,†
Type of substance or substance-related condition,Alcohol,38914.68629,596.4912922,5.757334872,224044.8804,3434.200117,8019.905925,312036928.3,47.82958013
,Cannabis,12928.06663,198.1637244,5.674106376,73355.2253,1124.402052,6307.369755,81542096.46,12.49891882
,Drug-induced mental disorders,7476.975699,114.6084248,6.195892552,46326.53805,710.1014855,7368.435968,55086248.24,8.443718948
,Hallucinogens,382.3176862,5.860234076,5.662102641,2164.721981,33.18124684,6867.088516,2625409.392,0.402427461
,Opioids,24327.10509,372.8902308,6.624454988,161153.8127,2470.194549,7273.638126,176939285.5,27.12157108
,Other drug abuse,15588.10889,238.9373294,5.293097569,82509.3813,1264.718598,6968.335577,108609237.1,16.6478187
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",10683.06342,163.7519125,5.078717515,54256.26131,831.6497063,5770.405975,61634072.19,9.447381148
,Stimulants,8154.950975,125.0005514,5.873970425,47901.94084,734.2495421,7342.907179,59873705.15,9.17754893
,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,
,,,,,,,,,
"2014 Bledsoe, Tennessee",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,82399.22835,1263.030153,5.908788104,486879.5802,7462.977545,7824.066226,644604052.3,98.80606547
"Bledsoe, Tennessee",,108,1113.057817,5.481481482,592,6101.205813,10022.99256,1082483.196,111.5617022
Age group,<1,*,*,*,*,*,*,*,*
,17-Jan,*,*,*,*,*,*,*,*
,18-44,37,1139.864449,4.72972973,175,5391.25077,9100.430231,336715.9185,103.7325689
,45-64,48,1696.113074,5.479166667,263,9293.286219,10562.4334,506996.803,179.1508138
,65-84,18,1073.98568,5.777777778,104,6205.250597,8881.623056,159869.215,95.38735979
,Missing,*,†,*,*,†,*,*,†
Sex,Male,71,1353.928299,5.746478873,408,7780.320366,10336.14678,733866.4211,139.9440162
,Female,37,829.7824624,4.972972973,184,4126.485759,9422.07501,348616.7754,78.18272603
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,36,†,4.666666667,168,†,8680.032528,312481.171,†
,Medicaid,32,†,6.125,196,†,8498.318277,271946.1849,†
,Private insurance,30,†,6.133333333,184,†,12920.00029,387600.0087,†
,Uninsured,*,†,*,*,†,*,*,†
,Other,*,†,*,*,†,*,*,†
,Missing,*,†,*,*,†,*,*,†
Type of stay,Neonatal/maternal,*,*,*,*,*,*,*,†
,Nonneonatal/nonmaternal,103,1144.444444,5.349514563,551,6122.222222,10155.65927,1046032.905,†
Type of substance or substance-related condition,Alcohol,38,391.6314542,6.684210526,254,2617.747089,11055.03422,420091.3002,43.29499126
,Cannabis,17,175.2035453,3.823529412,65,669.8959085,8309.728902,141265.3913,14.55893964
,Drug-induced mental disorders,*,*,*,*,*,*,*,*
,Hallucinogens,*,*,*,*,*,*,*,*
,Opioids,18,185.5096362,6.388888889,115,1185.200453,11453.48387,206162.7096,21.24731626
,Other drug abuse,36,371.0192724,5.166666667,186,1916.932907,10136.16461,364901.9258,37.60712417
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",*,*,*,*,*,*,*,*
,Stimulants,*,*,*,*,*,*,*,*
,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,
,,,,,,,,,
"2014 Cannon, Tennessee",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,82399.22835,1263.030153,5.908788104,486879.5802,7462.977545,7824.066226,644604052.3,98.80606547
"Cannon, Tennessee",,164,1407.967033,5.079268293,833,7151.442308,8563.923997,1404483.536,120.5772266
Age group,<1,*,*,*,*,*,*,*,*
,17-Jan,*,*,*,*,*,*,*,*
,18-44,63,1706.392199,3.80952381,240,6500.541712,6616.945232,416867.5496,112.9110373
,45-64,63,1880.03581,5.53968254,349,10414.80155,10273.53621,647232.781,193.1461597
,65-84,32,1496.725912,4.0625,130,6080.449018,7104.842817,227354.9701,106.3400235
,Missing,*,†,*,*,†,*,*,†
Sex,Male,86,1500.8726,4.976744186,428,7469.458988,9775.113795,840659.7864,146.7120046
,Female,78,1318.012842,5.192307692,405,6843.528219,7228.509605,563823.7492,95.27268489
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,67,†,5.731343284,384,†,9167.761726,614240.0357,†
,Medicaid,47,†,5.85106383,275,†,6863.312642,322575.6942,†
,Private insurance,20,†,4,80,†,8420.045971,168400.9194,†
,Uninsured,28,†,2.892857143,81,†,10033.69265,280943.3941,†
,Other,*,†,*,*,†,*,*,†
,Missing,*,†,*,*,†,*,*,†
Type of stay,Neonatal/maternal,17,142.8571429,10.70588235,182,1529.411765,10612.57629,180413.7969,†
,Nonneonatal/nonmaternal,147,1235.294118,4.428571429,651,5470.588235,8327.005025,1224069.739,†
Type of substance or substance-related condition,Alcohol,71,609.5467033,3.985915493,283,2429.601648,9430.610921,669573.3754,57.48397797
,Cannabis,11,94.43681319,3.454545455,38,326.2362637,6862.850117,75491.35128,6.481056944
,Drug-induced mental disorders,37,317.6510989,5.567567568,206,1768.543956,9635.89012,356527.9345,30.60851086
,Hallucinogens,*,*,*,*,*,*,*,*
,Opioids,63,540.8653846,5.968253968,376,3228.021978,7245.38085,456458.9935,39.187757
,Other drug abuse,32,274.7252747,4.71875,151,1296.35989,6078.882555,194524.2418,16.7002268
