"Statistics for community hospital stays 2014 Texas, by county or county equivalent",,,,,,,,,
,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs, Days | State: Texas | Community Level: County",,,,,,,,,
,,,,,,,,,
"2014 State Total, Texas",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,181551.6308,680.7691066,5.586096626,1014164.952,3802.842009,11824.58894,2146773406,80.49814848
Age group,<1,2462.847463,621.9248956,20.3864989,50208.8371,12678.8712,44591.28964,109821544.6,277.3243315
,17-Jan,3768.02064,56.03669611,5.407007337,20373.71525,302.990827,13564.18492,51110128.75,7.600921084
,18-44,67426.38229,670.614273,4.689653477,316206.3682,3144.948557,8871.64895,598183193.7,59.49454411
,45-64,81753.46207,1264.447727,5.698579754,465878.6237,7205.556216,12494.10715,1021436515,157.9814539
,65-84,26122.91833,862.5889019,6.175550751,161323.4079,5326.961541,13999.22642,365700648.5,120.7557734
,Missing,18,†,9.666666667,174,†,28965.28485,521375.1273,†
Sex,Male,117618.9773,888.5170169,5.69333042,669643.7011,5058.620961,12400.41446,1458524066,110.1797926
,Female,63910.65355,475.8467155,5.389371442,344438.2511,2564.5147,10766.68201,688105683.5,51.2329027
,Missing,22,†,3.772727273,83,†,6529.827428,143656.2034,†
Payer,Medicare,47534.04255,†,5.874998582,279262.4326,†,12325.53885,585882688.3,†
,Medicaid,29988.96371,†,6.586069882,197509.4107,†,12798.40039,383810764.8,†
,Private insurance,47185.50567,†,5.33137988,251563.8555,†,12171.46432,574316698.6,†
,Uninsured,49924.29543,†,4.93584297,246418.4826,†,10523.1369,525360195.6,†
,Other,6654.429884,†,5.682068034,37810.92333,†,11132.64605,74081412.57,†
,Missing,264.393562,†,6.051007695,1599.847478,†,12563.26254,3321645.734,†
Type of stay,Neonatal/maternal,7388.233682,20.2715603,8.726535733,64473.68522,176.9004953,15885.14659,117363175,†
,Nonneonatal/nonmaternal,174163.3971,477.8630399,5.452875189,949691.267,2605.727514,11652.3349,2029410231,†
Type of substance or substance-related condition,Alcohol,103598.0345,388.4643783,5.532455126,573151.477,2149.161741,12125.66926,1256195503,47.10390572
,Cannabis,31461.13559,117.970679,4.761833183,149812.6794,561.756694,8734.570036,274799492.2,10.30423158
,Drug-induced mental disorders,11650.25726,43.6852877,7.316064154,85234.0295,319.6043674,17760.94422,206919569.2,7.758919579
,Hallucinogens,1325.682174,4.97094664,4.267081471,5656.793841,21.2114343,9446.76357,12523406.06,0.469593576
,Opioids,21663.5741,81.23249523,6.609713047,143190.0083,536.9234835,12186.08177,263994085.5,9.899058296
,Other drug abuse,25780.58521,96.67016421,5.222335625,134634.8686,504.8440424,9988.472146,257508657.3,9.655872425
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",12203.69671,45.76053474,4.383770828,53498.20965,200.6036973,9725.89071,118691820.5,4.450619597
,Stimulants,32530.69981,121.9812532,5.142829156,167299.8314,627.3287454,9662.025533,314312452.1,11.78585983
,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,
,,,,,,,,,
"2014 Anderson, Texas",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,181551.6308,680.7691066,5.586096626,1014164.952,3802.842009,11824.58894,2146773406,80.49814848
"Anderson, Texas",,470,859.1379373,4.793617021,2253,4118.37824,8648.209078,4064658.267,74.30004509
Age group,<1,*,*,*,*,*,*,*,*
,17-Jan,*,*,*,*,*,*,*,*
,18-44,183,817.4021797,4.213114754,771,3443.809183,6353.82571,1162750.105,51.93630985
,45-64,217,1469.791384,5.046082949,1095,7416.689244,9044.356436,1962625.347,132.9331717
,65-84,61,859.7603946,5.31147541,324,4566.596195,11901.98971,726021.3725,102.3285937
,Missing,*,†,*,*,†,*,*,†
Sex,Male,286,844.0063743,5.006993007,1432,4225.934014,8975.602881,2567022.424,75.75466045
,Female,184,883.76561,4.461956522,821,3943.323727,8139.325232,1497635.843,71.93255728
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,154,†,4.597402597,708,†,9174.319079,1412845.138,†
,Medicaid,58,†,5.051724138,293,†,6385.728697,370372.2644,†
,Private insurance,108,†,5.064814815,547,†,9083.591166,981027.8459,†
,Uninsured,109,†,4.550458716,496,†,8387.20661,914205.5204,†
,Other,39,†,5.051282051,197,†,9429.895165,367765.9114,†
,Missing,*,†,*,*,†,*,*,†
Type of stay,Neonatal/maternal,12,23.39181287,4.416666667,53,103.3138402,17026.24426,204314.9311,†
,Nonneonatal/nonmaternal,458,892.7875244,4.80349345,2200,4288.499025,8428.697239,3860343.336,†
Type of substance or substance-related condition,Alcohol,260,475.2677951,5.3,1378,2518.919314,9246.074955,2403979.488,43.94361657
,Cannabis,78,142.5803385,4.346153846,339,619.6760867,7246.260273,565208.3013,10.33174243
,Drug-induced mental disorders,25,45.69882645,5.48,137,250.429569,10520.92292,263023.073,4.807938307
,Hallucinogens,*,*,*,*,*,*,*,*
,Opioids,31,56.6665448,4.322580645,134,244.9457098,10413.42128,322816.0598,5.900926037
,Other drug abuse,85,155.3760099,5.105882353,434,793.3316272,8566.158993,728123.5144,13.30975605
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",46,84.08584068,2.934782609,135,246.7736629,5877.213982,270351.8432,4.941904785
,Stimulants,83,151.7201038,3.710843374,308,563.0095419,6003.293953,498273.3981,9.108203818
,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,
,,,,,,,,,
"2014 Angelina, Texas",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,181551.6308,680.7691066,5.586096626,1014164.952,3802.842009,11824.58894,2146773406,80.49814848
"Angelina, Texas",,548,622.1475443,5.505474453,3017,3425.217411,11718.51795,6421747.837,72.90647166
Age group,<1,*,*,*,*,*,*,*,*
,17-Jan,*,*,*,*,*,*,*,*
,18-44,156,516.949995,3.673076923,573,1898.797097,7875.843371,1228631.566,40.71417192
,45-64,278,1270.160369,6.165467626,1714,7831.132636,13618.92112,3786060.071,172.9821388
,65-84,107,836.4602877,5.700934579,610,4768.605378,11110.57061,1188831.056,92.93551093
,Missing,*,†,*,*,†,*,*,†
Sex,Male,347,803.4825295,5.331412104,1850,4283.696483,10871.10059,3772271.906,87.34739403
,Female,200,445.4839069,5.8,1160,2583.80666,13211.25241,2642250.481,58.85400337
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,202,†,6.02970297,1218,†,13613.97824,2750023.604,†
,Medicaid,77,†,7.441558442,573,†,13084.79961,1007529.57,†
,Private insurance,221,†,4.457013575,985,†,9355.265944,2067513.774,†
,Uninsured,41,†,5,205,†,12872.74778,527782.6589,†
,Other,*,†,*,*,†,*,*,†
,Missing,*,†,*,*,†,*,*,†
Type of stay,Neonatal/maternal,33,28.39931153,5.090909091,168,144.5783133,9690.783963,319795.8708,†
,Nonneonatal/nonmaternal,515,443.2013769,5.532038835,2849,2451.807229,11848.45042,6101951.966,†
Type of substance or substance-related condition,Alcohol,322,365.5684476,6.040372671,1945,2208.16966,13019.57928,4192304.529,47.59547386
,Cannabis,93,105.5834336,3.150537634,293,332.6445812,7128.287351,662930.7237,7.526290544
,Drug-induced mental disorders,26,29.51794918,5.769230769,150,170.2958607,11990.4894,311752.7243,3.539346567
