"Statistics for community hospital stays 2014 Wisconsin, by county or county equivalent",,,,,,,,,
,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs, Days | State: Wisconsin | Community Level: County",,,,,,,,,
,,,,,,,,,
"2014 State Total, Wisconsin",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,59386.17678,1033.035912,4.993868214,296566.7406,5158.845204,12057.95187,716075661.4,124.5629731
Age group,<1,859.2358973,1217.185938,13.90837868,11950.57824,16929.08295,19179.44412,16479666.88,233.4494968
,17-Jan,1175.665013,94.55335042,4.725692186,5555.830963,446.8300292,6559.996001,7712357.782,6.202696006
,18-44,21505.02233,1082.045279,3.985988857,85718.77937,4313.020424,8472.775155,182207218.9,91.67926355
,45-64,26232.02394,1643.950437,5.221855904,136979.8491,8584.472297,13507.39624,354326341.6,222.0548996
,65-84,9614.229598,1128.944824,5.862321295,56361.70291,6618.237285,16158.3489,155350076.3,182.4188437
,Missing,*,†,*,*,†,*,*,†
Sex,Male,35020.83943,1226.541535,5.183487382,181530.0793,6357.762568,13074.17033,457868420,160.3601295
,Female,24365.33735,842.0851264,4.721324381,115036.6613,3975.757038,10597.31855,258207241.4,89.23844329
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,18794.52881,†,5.498325584,103338.4386,†,14166.1303,266245744.2,†
,Medicaid,20191.56749,†,4.999758712,100952.9655,†,10800.7775,218084627.9,†
,Private insurance,14408.29035,†,4.686161869,67519.58085,†,12109.54784,174477881.3,†
,Uninsured,4191.974339,†,3.788810471,15882.59627,†,9535.909307,39974287.11,†
,Other,1675.677949,†,4.971581758,8330.769923,†,9411.86985,15771262.76,†
,Missing,124.1378378,†,4.369251759,542.3894661,†,12259.42199,1521858.138,†
Type of stay,Neonatal/maternal,2682.394203,41.86139086,6.512603361,17469.3695,272.6266348,10276.76107,27566324.31,†
,Nonneonatal/nonmaternal,56703.78258,884.9181088,4.922023865,279097.3711,4355.58805,12142.21179,688509337.1,†
Type of substance or substance-related condition,Alcohol,38314.44294,666.4883588,4.938777438,189226.5064,3291.637669,12470.43285,477797687.9,83.11398324
,Cannabis,8909.681588,154.9859166,4.329723335,38576.45628,671.0461398,8817.479638,78560935.98,13.66585164
,Drug-induced mental disorders,4903.630819,85.29976181,6.081376073,29820.82314,518.7399306,14333.34841,70285449.01,12.22631205
,Hallucinogens,264.5399485,4.601731947,3.908469168,1033.946232,17.98572743,8310.533294,2198468.05,0.382428466
,Opioids,9901.019509,172.2304629,5.342459619,52895.79692,920.1342931,10844.21047,107368739.4,18.67703388
,Other drug abuse,6517.054542,113.3656306,4.656172807,30344.53214,527.8499665,10190.84775,66414310.59,11.55291881
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",4020.280122,69.93367762,3.836414154,15423.45956,268.2945506,7819.112017,31435020.62,5.46819259
,Stimulants,5911.894804,102.8387408,4.626215481,27349.69927,475.7541746,9978.115313,58989568.07,10.26136814
,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,
,,,,,,,,,
"2014 Adams, Wisconsin",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,59386.17678,1033.035912,4.993868214,296566.7406,5158.845204,12057.95187,716075661.4,124.5629731
"Adams, Wisconsin",,125,1022.07686,6.272,784,6410.466067,14788.7706,1848596.325,151.1526022
Age group,<1,*,*,*,*,*,*,*,*
,17-Jan,*,*,*,*,*,*,*,*
,18-44,37,1044.312729,4.297297297,159,4487.722269,7822.798342,289443.5386,81.69447887
,45-64,57,1504.354711,7.280701754,415,10952.75798,18706.07025,1066246.004,281.405649
,65-84,30,1030.927835,6.466666667,194,6666.666667,15532.97939,465989.3816,160.1338081
,Missing,*,†,*,*,†,*,*,†
Sex,Male,92,1372.72456,6.326086957,582,8683.974933,15822.37794,1455658.771,217.197668
,Female,33,596.9609262,6.121212121,202,3654.124457,11907.19862,392937.5546,71.08132319
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,59,†,7.576271186,447,†,16940.9871,999518.2387,†
,Medicaid,38,†,5.342105263,203,†,13699.08957,520565.4038,†
,Private insurance,18,†,5.277777778,95,†,11742.54848,211365.8726,†
,Uninsured,*,†,*,*,†,*,*,†
,Other,*,†,*,*,†,*,*,†
,Missing,*,†,*,*,†,*,*,†
Type of stay,Neonatal/maternal,*,*,*,*,*,*,*,†
,Nonneonatal/nonmaternal,122,1402.298851,6.213114754,758,8712.643678,14851.43115,1811874.6,†
Type of substance or substance-related condition,Alcohol,98,801.3082584,6.428571429,630,5151.267375,15749.61174,1543461.95,126.2029395
,Cannabis,11,89.9427637,4.909090909,54,441.5372036,14636.46662,161001.1328,13.16444259
,Drug-induced mental disorders,12,98.11937858,4.25,51,417.007359,8451.760261,101421.1231,8.292814647
,Hallucinogens,*,*,*,*,*,*,*,*
,Opioids,15,122.6492232,6.933333333,104,850.3679477,11135.0926,167026.389,13.65710458
,Other drug abuse,*,*,*,*,*,*,*,*
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",*,*,*,*,*,*,*,*
,Stimulants,*,*,*,*,*,*,*,*
,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,
,,,,,,,,,
"2014 Ashland, Wisconsin",,,,,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,,,,
,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,5.622767757,18909451.69,5961.377762,11215.25804,37717079769,118.906547
State Total,,59386.17678,1033.035912,4.993868214,296566.7406,5158.845204,12057.95187,716075661.4,124.5629731
"Ashland, Wisconsin",,337,1914.772727,4.694362018,1582,8988.636364,11981.79225,4037863.987,229.4240902
Age group,<1,*,*,*,*,*,*,*,*
,17-Jan,*,*,*,*,*,*,*,*
,18-44,172,3119.898422,4.139534884,712,12914.92835,8725.640815,1500810.22,272.2311301
,45-64,120,2347.41784,4.85,582,11384.97653,15513.45079,1861614.095,364.1655115
,65-84,26,841.4239482,5.884615385,153,4951.456311,19359.16581,503338.311,162.8926573
,Missing,*,†,*,*,†,*,*,†
Sex,Male,210,2381.222361,4.942857143,1038,11770.04195,13336.89295,2800747.519,317.5810771
,Female,127,1446.304521,4.283464567,544,6195.194169,9741.074553,1237116.468,140.8856017
,Missing,*,†,*,*,†,*,*,†
Payer,Medicare,84,†,5.571428571,468,†,16361.38722,1374356.527,†
,Medicaid,147,†,4.829931973,710,†,11776.20775,1731102.539,†
,Private insurance,54,†,3.722222222,201,†,9055.130404,488977.0418,†
,Uninsured,26,†,3.346153846,87,†,9271.112477,241048.9244,†
,Other,25,†,4.24,106,†,7316.79459,182919.8647,†
,Missing,*,†,*,*,†,*,*,†
Type of stay,Neonatal/maternal,29,163.8418079,4.586206897,133,751.4124294,7060.285576,204748.2817,†
,Nonneonatal/nonmaternal,308,1740.112994,4.704545455,1449,8186.440678,12445.18086,3833115.705,†
Type of substance or substance-related condition,Alcohol,225,1278.409091,4.555555556,1025,5823.863636,12408.14141,2791831.817,158.6268078
,Cannabis,44,250,3.590909091,158,897.7272727,7050.511208,310222.4932,17.62627802
,Drug-induced mental disorders,59,335.2272727,4.525423729,267,1517.045455,11226.51471,662364.3678,37.63433908
,Hallucinogens,*,*,*,*,*,*,*,*
,Opioids,84,477.2727273,3.761904762,316,1795.454545,7191.485524,604084.784,34.32299909
,Other drug abuse,55,312.5,5.218181818,287,1630.681818,9377.090446,515739.9745,29.30340764
