Series ID,Year,Period,Label,Value
CUUR0000SAM2,2007,M01,2007 Jan,359.757
CUUR0000SAM2,2007,M02,2007 Feb,363.908
CUUR0000SAM2,2007,M03,2007 Mar,365.164
CUUR0000SAM2,2007,M04,2007 Apr,366.070
CUUR0000SAM2,2007,M05,2007 May,367.127
CUUR0000SAM2,2007,M06,2007 Jun,367.758
CUUR0000SAM2,2007,M07,2007 Jul,370.008
CUUR0000SAM2,2007,M08,2007 Aug,371.461
CUUR0000SAM2,2007,M09,2007 Sep,372.432
CUUR0000SAM2,2007,M10,2007 Oct,374.750
CUUR0000SAM2,2007,M11,2007 Nov,376.250
CUUR0000SAM2,2007,M12,2007 Dec,376.940
CUUR0000SAM2,2008,M01,2008 Jan,380.135
CUUR0000SAM2,2008,M02,2008 Feb,382.196
CUUR0000SAM2,2008,M03,2008 Mar,382.872
CUUR0000SAM2,2008,M04,2008 Apr,383.292
CUUR0000SAM2,2008,M05,2008 May,384.505
CUUR0000SAM2,2008,M06,2008 Jun,384.685
CUUR0000SAM2,2008,M07,2008 Jul,385.361
CUUR0000SAM2,2008,M08,2008 Aug,385.990
CUUR0000SAM2,2008,M09,2008 Sep,386.579
CUUR0000SAM2,2008,M10,2008 Oct,387.440
CUUR0000SAM2,2008,M11,2008 Nov,387.992
CUUR0000SAM2,2008,M12,2008 Dec,388.267
CUUR0000SAM2,2009,M01,2009 Jan,391.365
CUUR0000SAM2,2009,M02,2009 Feb,394.047
CUUR0000SAM2,2009,M03,2009 Mar,394.837
CUUR0000SAM2,2009,M04,2009 Apr,395.753
CUUR0000SAM2,2009,M05,2009 May,396.648
CUUR0000SAM2,2009,M06,2009 Jun,396.750
CUUR0000SAM2,2009,M07,2009 Jul,397.868
CUUR0000SAM2,2009,M08,2009 Aug,398.303
CUUR0000SAM2,2009,M09,2009 Sep,399.160
CUUR0000SAM2,2009,M10,2009 Oct,400.015
CUUR0000SAM2,2009,M11,2009 Nov,401.392
CUUR0000SAM2,2009,M12,2009 Dec,401.452
CUUR0000SAM2,2010,M01,2010 Jan,404.937
CUUR0000SAM2,2010,M02,2010 Feb,408.447
CUUR0000SAM2,2010,M03,2010 Mar,409.687
CUUR0000SAM2,2010,M04,2010 Apr,410.256
CUUR0000SAM2,2010,M05,2010 May,410.173
CUUR0000SAM2,2010,M06,2010 Jun,410.802
CUUR0000SAM2,2010,M07,2010 Jul,410.710
CUUR0000SAM2,2010,M08,2010 Aug,411.182
CUUR0000SAM2,2010,M09,2010 Sep,413.807
CUUR0000SAM2,2010,M10,2010 Oct,414.564
CUUR0000SAM2,2010,M11,2010 Nov,414.850
CUUR0000SAM2,2010,M12,2010 Dec,415.079
CUUR0000SAM2,2011,M01,2011 Jan,417.025
CUUR0000SAM2,2011,M02,2011 Feb,420.567
CUUR0000SAM2,2011,M03,2011 Mar,420.852
CUUR0000SAM2,2011,M04,2011 Apr,421.716
CUUR0000SAM2,2011,M05,2011 May,422.438
CUUR0000SAM2,2011,M06,2011 Jun,422.813
CUUR0000SAM2,2011,M07,2011 Jul,423.847
CUUR0000SAM2,2011,M08,2011 Aug,424.546
CUUR0000SAM2,2011,M09,2011 Sep,425.258
CUUR0000SAM2,2011,M10,2011 Oct,427.467
CUUR0000SAM2,2011,M11,2011 Nov,429.191
CUUR0000SAM2,2011,M12,2011 Dec,430.005
CUUR0000SAM2,2012,M01,2012 Jan,432.583
CUUR0000SAM2,2012,M02,2012 Feb,434.832
CUUR0000SAM2,2012,M03,2012 Mar,435.721
CUUR0000SAM2,2012,M04,2012 Apr,437.151
CUUR0000SAM2,2012,M05,2012 May,438.766
CUUR0000SAM2,2012,M06,2012 Jun,441.041
CUUR0000SAM2,2012,M07,2012 Jul,442.305
CUUR0000SAM2,2012,M08,2012 Aug,442.410
CUUR0000SAM2,2012,M09,2012 Sep,443.812
CUUR0000SAM2,2012,M10,2012 Oct,444.242
CUUR0000SAM2,2012,M11,2012 Nov,445.278
CUUR0000SAM2,2012,M12,2012 Dec,445.955
CUUR0000SAM2,2013,M01,2013 Jan,448.226
CUUR0000SAM2,2013,M02,2013 Feb,451.625
CUUR0000SAM2,2013,M03,2013 Mar,452.596
