"Statistics for community hospital stays 2016 Alaska, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Alaska | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Alaska",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,17239.1277092747,2324.1939680171,6.4094649128,110480.765250505,14895.1114295062,23311.9886192202,401878348.963898,541.8158333127,
Age group,<1,349.310294698,3177.570223761,9.713706073,3393.0975309832,30865.9831800526,24895.1252388959,8696123.53374354,791.0600867592,
,1-17,591.7122080397,334.4783150598,9.9843286618,5907.8491582696,3339.5414278032,24286.1789601837,14370428.5773774,81.2320021784,
,18-44,6458.4974438558,2255.9678096498,5.28596313,34139.3793636032,11924.9626643391,18825.9976668151,121587657.809161,424.7084472088,
,45-64,6257.4201288248,3279.0719066938,6.6201815351,41425.2571944687,21708.0512890958,26293.2192159233,164527719.17332,862.1735646748,
,65-84,3581.1876338564,4668.3538870795,7.1558645769,25612.1820031806,33387.4517717966,25877.8955734153,92673599.617743,1208.0717438959,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,7638.9622432194,1966.2860313514,7.0309049095,53701.7862347706,13822.96034069,25115.200874223,191854071.209061,493.8366865357,
,Female,9590.0976857332,2714.9879640723,5.9152201039,56721.6234092912,16058.0767689116,21872.7623263957,209761927.366959,593.8428645718,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,4758.2417521868,†,6.8113895199,32403.4266142782,†,24956.0796031899,118747059.938795,†,
,Medicaid,7083.0932739642,†,6.7575874852,47857.8648770453,†,24138.9293799985,170978288.332164,†,
,Private insurance,3240.5271118628,†,5.8028472269,18804.2837648951,†,21256.9578980998,68883748.3845179,†,
,Uninsured,875.353226667,†,4.3741929494,3828.9639122876,†,23125.2470353405,20242759.6098577,†,
,Other,1255.2352516777,†,5.9358121177,7450.8406174178,†,18120.3839697822,22745344.7328064,†,
,Missing,26.6770929163,†,5.0749706876,135.3854645814,†,10538.9281597553,281147.965755827,†,
Type of stay,Maternal delivery hospitalization,1139.5170193192,131.1749763232,2.9542689449,3366.4397424103,387.5261589053,9049.1121454802,10311617.299503,†,
,Neonatal birth hospitalization,303.9199632015,34.2136624115,8.0604490239,2449.7313707452,275.7774817905,18370.4385779713,5583143.01661196,†,
,Nonmaternal/nonneonatal hospitalization,15795.690726754,356.2482403021,6.6269876971,104664.594137349,2360.553781938,24436.0057008472,385983588.647782,†,
Type of substance use disorder,Alcohol-related disorders,5082.8878821077,685.2792992157,6.7613593641,34367.2315784329,4633.4196067859,26251.7295975441,133434598.255724,179.8976686181,
,Cannabis-related disorders,2433.6406526218,328.105517897,5.2217628234,12707.8942853599,1713.289195505,18846.4613967579,45865514.6132171,61.8362797711,
,Neonatal abstinence syndrome,101.0542778289,13.6242243188,16.5332647525,1670.7571297148,225.2529077104,34956.6902985772,3532523.09341078,4.7625779007,
