"Statistics for community hospital stays 2016 Arkansas, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Arkansas | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Arkansas",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,90133.5433804187,3024.0827834163,5.477241976,493683.227248592,16563.6331602181,9418.9749724995,848946751.332917,284.8312801714,
Age group,<1,973.8738552588,2531.5808969788,11.9712599724,11658.4971016034,30306.2130588355,26320.3445096818,25632695.3793834,666.3208136261,
,1-17,1553.9987300971,232.9700451994,8.0704465651,12541.4637135137,1880.1723010554,19903.363253296,30929801.2202828,46.3688743674,
,18-44,26519.6127272147,2550.8825516138,4.561315895,120964.331061747,11635.3811289404,6742.5451778806,178802944.367963,171.9879229222,
,45-64,32115.0968366615,4273.4318603792,5.3222101331,170923.293808987,22744.1023503455,10095.5354308318,324219097.979112,431.425827577,
,65-84,28965.9612311867,5986.1003149881,6.1299067601,177558.64156274,36694.2367872541,9986.9182364624,289270699.538164,597.8063050633,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,37576.3424168677,2563.9772137859,5.7982986352,217878.854952203,14866.7055794247,10167.4656473199,382046003.209784,260.684564767,
,Female,52519.200963551,3466.6688425131,5.2478211252,275611.372296388,18192.4579858947,8883.3609945132,466538137.941615,307.9508440672,
,Missing,38,†,5.0789473684,193,†,9542.3731978439,362610.181518069,†,
Payer,Medicare,40615.6043831655,†,6.0411560752,245365.205167577,†,9855.5409569156,400278896.947212,†,
,Medicaid,19175.7234199431,†,5.3254480367,102119.318639431,†,7278.2693151593,139558801.094039,†,
,Private insurance,22927.0173826427,†,4.8520960292,111244.090004522,†,10711.8741620549,245591325.114115,†,
,Uninsured,2262.4806735273,†,4.3132489444,9758.6423767764,†,7004.4737869174,15847486.5711291,†,
,Other,4975.2313432002,†,4.8644112425,24201.5712798291,†,9183.7934029442,45691496.7878033,†,
,Missing,177.4861779399,†,5.6026885699,994.3997804558,†,11148.7262928636,1978744.81861839,†,
Type of stay,Maternal delivery hospitalization,2216.7669983713,60.8116478307,2.6580890975,5892.3641900715,161.6427780998,4442.9784263404,9849047.949987,†,
,Neonatal birth hospitalization,834.8281845382,22.419921166,7.5642056147,6314.8120407939,169.5888935652,8121.5585442457,6780105.97511294,†,
,Nonmaternal/nonneonatal hospitalization,87081.9481975092,286.9483853666,5.5289995342,481476.051017727,1586.5374890196,9558.0855826878,832317597.407817,†,
Type of substance use disorder,Alcohol-related disorders,12356.1084902188,414.5614779349,5.3745112264,66408.0437951813,2228.0653171901,9753.3515225533,120513469.555908,40.4336382201,
,Cannabis-related disorders,6217.2023274707,208.5942016078,4.9067291753,30506.1280491285,1023.5152548336,6659.7625476202,41405091.2114662,13.8918785152,
,Neonatal abstinence syndrome,161.5425273507,5.4199353252,24.4690664435,3952.7948351885,132.620757591,55182.2500167751,8914280.13260919,2.9908422619,
