"Statistics for community hospital stays 2016 California, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: California | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, California",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,899536.392838279,2285.6123129689,5.8717723265,5281872.89817704,13420.5951284736,20739.2423615091,18655703264.0708,474.0186770311,
Age group,<1,6496.317747027,1282.0709775958,10.9148049506,70906.0411060666,13993.5546533124,35237.6325203451,228914857.505134,451.7714597352,
,1-17,16173.0389189146,184.1883242093,6.2971948838,101844.777936118,1159.8697728716,25466.8359484498,411876128.935895,46.9069383626,
,18-44,245138.177080107,1646.4486614704,5.2551240895,1288231.53962907,8652.2920230136,16098.100503158,3946259011.79652,265.0469602564,
,45-64,341950.407024502,3438.5529659659,6.0568052513,2071127.02093849,20826.6456610178,21695.8138881107,7418892389.76733,746.0220519401,
,65-84,289695.991312933,5533.2453193184,6.0372586107,1748969.61802793,33405.6329489536,22944.0056540405,6646786462.63683,1269.5481189163,
,Missing,82.4607548016,†,9.6276166918,793.9005393497,†,36070.6548982261,2974413.42909467,†,
Sex,Male,432424.452491206,2210.3340691728,6.2663700774,2709731.64982538,13850.7712721142,21711.41103849,9388545031.13061,479.8947150819,
,Female,466295.395655488,2355.8942912752,5.5071458841,2567956.76895738,12974.2535495633,19833.9009032154,9248456669.05661,467.265739116,
,Missing,816.5446915879,†,5.1246177183,4184.47939427,†,22903.2949160612,18701563.8835813,†,
Payer,Medicare,367543.579316864,†,6.0194864075,2212423.57984434,†,22083.8742110474,8116786172.71179,†,
,Medicaid,313630.244936764,†,6.2212969716,1951186.8930349,†,17926.6242505554,5622331554.59104,†,
,Private insurance,178538.079670804,†,4.9452939426,882923.283924569,†,22652.9325893543,4044411083.4155,†,
,Uninsured,15973.168110369,†,4.7584697259,76007.836879124,†,16412.1043988175,262153302.60724,†,
,Other,23680.0314278881,†,6.6808481882,158202.69506122,†,25642.6248879527,607218163.240269,†,
,Missing,171.2893755947,†,6.5889050559,1128.6094328796,†,16364.0476545286,2802987.50494658,†,
Type of stay,Maternal delivery hospitalization,29110.746690326,62.1744185641,3.0431919229,88589.5891977833,189.2086883858,10480.0964166269,305083432.07462,†,
,Neonatal birth hospitalization,5436.7635041274,11.4418192887,9.0526646666,49217.1968746536,103.5789531967,22457.9682597197,122098662.211296,†,
,Nonmaternal/nonneonatal hospitalization,864988.882643826,316.8686101685,5.9469736725,5144066.1121046,1884.4092823199,21073.7057267946,18228521169.7848,†,
Type of substance use disorder,Alcohol-related disorders,185240.821850815,470.6743458714,5.7406039785,1063394.19889435,2701.9550224797,20680.8045504156,3830929231.45508,97.3392415386,
,Cannabis-related disorders,85542.6299367947,217.3533942861,5.0009745722,427796.517154479,1086.9787980099,15484.4028069225,1324576539.10483,33.6558750858,
,Neonatal abstinence syndrome,1407.7982803507,3.5770438076,18.6222448782,26216.3643157951,66.6125857258,46639.4605583355,65658952.3705108,1.6683139358,
