"Statistics for community hospital stays 2016 Colorado, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Colorado | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Colorado",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,133693.611502955,2441.1304581448,5.3358279838,713366.113508459,13025.4522105968,14556.8449806348,1946157177.54974,355.3515765672,
Age group,<1,1097.4335664336,1598.2430152677,13.1694003173,14452.5419580419,21047.9020724415,21959.8202719196,24099443.8792529,350.9712936613,
,1-17,4130.6784290022,342.765591738,7.0959008091,29310.884406513,2432.2306397472,12691.5048156386,52424525.1735356,43.5021115818,
,18-44,39613.2994409382,1934.5765867329,4.8663296278,192771.372723021,9414.2873612015,11681.7600724377,462753059.746672,225.9925952797,
,45-64,48146.4308096753,3382.7942342567,5.4355322947,261701.479542504,18387.2873067662,15958.9318055313,768365605.971339,539.8578249665,
,65-84,40696.6099240464,5559.4942657368,5.2846051947,215065.516212657,29379.7322768035,15682.4253831774,638221548.482138,871.8635399062,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,59961.1067406987,2181.6144791873,5.8470630698,350596.372847373,12756.0374537788,15749.0069689697,944327887.926406,343.5826163633,
,Female,73553.6807736126,2696.0170503499,4.922656055,362079.472030851,13271.5646574012,13589.652700315,999568976.543236,366.3793538838,
,Missing,178.8239886444,†,3.8600449272,690.2686302342,†,12639.8762114625,2260313.08010556,†,
Payer,Medicare,49298.1212541062,†,5.3914462987,265788.173367635,†,15444.6767884392,761393549.04696,†,
,Medicaid,39448.145095054,†,5.4313960863,214258.500880354,†,13955.2734422131,550509651.589577,†,
,Private insurance,37181.2106320669,†,4.9966134321,185780.136464708,†,14333.6897684504,532943938.415461,†,
,Uninsured,3485.5670540476,†,6.9449562986,24207.110866319,†,10475.425124366,36512796.6906327,†,
,Other,4075.3289337969,†,5.5267444169,22523.301431993,†,15367.2248872192,62626496.215049,†,
,Missing,205.238533884,†,3.9412213786,808.890497449,†,10576.6960569551,2170745.59206599,†,
Type of stay,Maternal delivery hospitalization,5420.8711000441,87.3699911362,2.9468807999,15974.660963257,257.4689493635,5645.819657548,30605260.617663,†,
,Neonatal birth hospitalization,969.4335664336,18.0406722948,11.7930122846,11432.5419580419,212.7538699948,16335.4022375687,15836087.2502931,†,
,Nonmaternal/nonneonatal hospitalization,127303.306836478,372.1024171019,5.3883824987,685958.91058716,2005.0301520441,14922.7532017058,1899715829.68179,†,
Type of substance use disorder,Alcohol-related disorders,29127.5351680058,531.8437617921,5.8553351733,170551.481180005,3114.1234851077,14557.4607445461,424022949.793633,77.4229468452,
,Cannabis-related disorders,15408.0549085355,281.3378419145,5.5411306528,85378.0453533907,1558.929739619,12483.1721128122,192341401.34691,35.1198870247,
,Neonatal abstinence syndrome,319.1083916084,5.826645009,20.7550430066,6623.1083916084,120.9322677471,31684.7816132122,10110879.6990553,1.8461597465,
