"Statistics for community hospital stays 2016 Florida, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Florida | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Florida",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,779765.904790376,3841.3460846034,5.5262434443,4309176.21940058,21228.2136171504,10483.9359065249,8174961880.81782,402.7216068277,
Age group,<1,5320.5702741761,2415.5094835704,12.5184056741,66605.0571094491,30238.3276248594,16623.7621019932,88447894.4848402,401.5485500998,
,1-17,21345.7922483667,546.7941109903,4.5825773467,97818.744004977,2505.7263063393,8140.3443388244,173762099.086713,44.510923459,
,18-44,193107.600121448,2846.228359662,4.8140378258,929627.291432587,13701.8509842549,7996.5496829602,1544194518.52836,227.6000648709,
,45-64,287928.450929495,5331.2076821332,5.700253473,1641265.15238324,30389.2351053062,11121.9244483867,3202318477.77886,592.9328905934,
,65-84,271997.491216889,6817.461565376,5.7844539942,1573356.97447033,39435.292781854,11635.9397168244,3164886602.56625,793.2607273412,
,Missing,66,†,7.6212121212,503,†,20489.2177694267,1352288.37278216,†,
Sex,Male,356900.868171198,3593.8316362064,5.8300209448,2080739.53663873,20952.1137110005,10996.1208363326,3924479549.41114,395.1774853502,
,Female,422587.028165949,4075.7368467464,5.2698187393,2226957.0400227,21478.3944115235,10049.9504644165,4246968650.02233,409.6085648676,
,Missing,278.0084532276,†,5.3222940597,1479.6427391538,†,12638.7573599116,3513681.38434745,†,
Payer,Medicare,376321.94582926,†,5.7778948291,2174348.6249024,†,11084.6820963063,4171352160.46649,†,
,Medicaid,139384.048341902,†,6.2190922579,866842.255917385,†,10102.2863949834,1408097575.24211,†,
,Private insurance,139597.280660985,†,4.9986778162,697801.830041945,†,11430.4968106224,1595666271.36696,†,
,Uninsured,93497.6964677654,†,4.3824141166,409745.62487312,†,7500.9554753976,701322058.256951,†,
,Other,30945.2677488771,†,5.1818944597,160355.111501139,†,9641.3920078972,298355457.156262,†,
,Missing,19.6657415849,†,4.2089521125,82.7721645885,†,8560.9956945073,168358.329037438,†,
Type of stay,Maternal delivery hospitalization,13027.6259951112,61.1703173412,3.1893236104,41549.3151732809,195.0919373502,5097.2951044532,66405654.2075272,†,
,Neonatal birth hospitalization,4559.5755215129,20.9243144883,10.850552774,49473.9148231643,227.0403786147,10177.2492351345,46403936.4888549,†,
,Nonmaternal/nonneonatal hospitalization,762178.703273752,339.591597958,5.5343359389,4218152.98940414,1879.4139851328,10577.8429983278,8062152290.12144,†,
Type of substance use disorder,Alcohol-related disorders,149844.486348622,738.1760697647,5.3506985715,801772.679049914,3949.7576419918,10302.1966328404,1543727362.71048,76.0483502037,
,Cannabis-related disorders,58146.4788376816,286.4459031158,4.6131591169,268238.958965356,1321.4205294558,7827.7189344125,455138090.113119,22.4213819772,
,Neonatal abstinence syndrome,2038.1584343908,10.0405414928,17.7635943733,36205.0196969615,178.3561063667,17539.9409736863,35749178.6342363,1.7611050513,
