"Statistics for community hospital stays 2016 Georgia, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Georgia | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Georgia",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,240621.997054642,2349.5350870366,5.8015323542,1395969.65208766,13630.8389015381,12107.0158321138,2912560549.04046,284.3947472323,
Age group,<1,1976.5139145947,1472.0114353553,12.1834030056,24080.6655676008,17934.1085457246,18282.9323803873,36118187.3170484,268.9906929692,
,1-17,4843.3765483598,204.1555705673,6.0334911802,29222.469687072,1231.770834413,14176.9512741344,68664313.3283826,28.9430357628,
,18-44,61749.6280718106,1635.6104895792,4.9586757457,306196.383026088,8110.4620640996,9513.5929711899,587365691.667857,155.580125178,
,45-64,96069.683851009,3648.7345169829,5.9285166223,569550.717611851,21631.5832343705,12951.7868537228,1244002080.81887,472.4730164119,
,65-84,75954.2259278151,5726.7454614818,6.1438840335,466653.955955564,35184.4600047775,12851.2376921342,975823083.891193,735.7445025105,
,Missing,28.568741053,†,9.6803194787,265.4602394914,†,20553.6539400482,587192.017106606,†,
Sex,Male,104084.371332746,2079.2285309942,6.1506535468,640179.858642048,12788.4735240514,12971.6917662862,1349852033.70544,269.6515168573,
,Female,136326.439671876,2603.9618705671,5.5351246732,754583.839831895,14413.2535977442,11444.8733157789,1559884040.56301,297.9523688808,
,Missing,211.1860500199,†,5.7103848176,1205.953613724,†,13374.3434840808,2824474.77201194,†,
Payer,Medicare,104595.783910535,†,6.0481838378,632607.598123727,†,12696.3431464468,1327577681.21907,†,
,Medicaid,45367.6417325995,†,6.3646722307,288750.169509052,†,11089.7884831142,503039922.272853,†,
,Private insurance,45765.0636496691,†,5.2515402105,240337.071991147,†,13441.7785559049,615110084.061525,†,
,Uninsured,24962.8729115124,†,4.9400137569,123316.935594912,†,10190.5122778346,254384462.894794,†,
,Other,19713.5483786989,†,5.5719590687,109843.084664123,†,10634.1133578398,209519132.897407,†,
,Missing,217.086471627,†,5.1352449388,1114.7922047045,†,13493.5432542574,2929265.69481334,†,
Type of stay,Maternal delivery hospitalization,6909.8005677474,55.6402889815,3.2425309014,22405.2418637148,180.4153563877,5274.9201190752,36448646.0336078,†,
,Neonatal birth hospitalization,1721.7499686077,14.0100409183,9.4642589184,16295.0874957121,132.5946547082,8764.4385372679,15090171.7764054,†,
,Nonmaternal/nonneonatal hospitalization,231990.446518287,293.1848727036,5.8505686258,1357269.32272824,1715.289743956,12335.3693400871,2861021731.23045,†,
Type of substance use disorder,Alcohol-related disorders,44180.4181050664,431.396313589,5.886009349,260046.354009693,2539.2027349144,12026.1980975598,531178145.787378,51.8664837908,
,Cannabis-related disorders,17363.352425974,169.543126783,4.7302409156,82127.4189017561,801.9269006134,8802.947149531,152795856.061632,14.9196345041,
,Neonatal abstinence syndrome,506.2869841491,4.943600535,19.1599798863,9700.4484329882,94.7192868162,23435.6687724115,11865174.0643021,1.1585658468,
