"Statistics for community hospital stays 2016 Iowa, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Iowa | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Iowa",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,78699.1889691093,2514.942458326,5.1282620746,403590.066094941,12897.2840289263,12465.0983441134,980980665.003572,313.486067332,
Age group,<1,487.9971822959,1239.987758343,11.5238453568,5623.6040633506,14289.4271715171,23620.0091647985,11502877.9090602,292.285044062,
,1-17,1404.813441884,204.7624064431,4.5662651714,6414.7506919985,934.9994449544,10623.3699361749,14923852.8844454,21.7526679267,
,18-44,17528.7599851878,1620.9875855922,4.0944247395,71770.1885363097,6637.0116728897,9556.217991003,167508651.530424,154.9051072863,
,45-64,28527.2977068399,3531.9175073468,5.2543930231,149893.634039033,18558.0827088069,13518.8682972274,385656780.574566,477.4752761849,
,65-84,30740.3206529016,5971.5916540207,5.5240441595,169810.888764249,32987.3359993957,13050.6405226534,401180874.392118,779.330960247,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,32547.3541522966,2095.4477864219,5.5866694652,181831.309614065,11706.5741642195,13393.0407642697,435894647.890067,280.6355535877,
,Female,46122.8416705395,2926.5335385676,4.8046861168,221605.777042056,14061.0750631213,11809.5715194506,544690997.388533,345.6110712779,
,Missing,28.9931462732,†,5.2764000629,152.9794388195,†,13624.5897995506,395019.724970324,†,
Payer,Medicare,40412.1090279937,†,5.4775245515,221358.319376849,†,12869.2948265977,520075345.645865,†,
,Medicaid,16845.1568952616,†,4.9893381537,84046.1840033703,†,11032.2607739048,185840163.645867,†,
,Private insurance,19438.0212753598,†,4.5820599274,89066.178353697,†,12956.4922455764,251835615.431304,†,
,Uninsured,1101.4002359075,†,3.6070661294,3972.8234858699,†,8022.2589938364,8835717.94832279,†,
,Other,899.5015345865,†,5.697111876,5124.5608751547,†,15966.1900554852,14361612.4564092,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,3088.4855169784,82.8612002516,2.8310057584,8743.5202834115,234.5805350632,5354.5410270464,16537422.4120994,†,
,Neonatal birth hospitalization,388.357792207,10.183228681,8.0043085422,3108.5355935738,81.509704318,10213.6139261117,3956322.94087284,†,
,Nonmaternal/nonneonatal hospitalization,75222.3456599239,300.5827881957,5.2077345738,391738.010217956,1565.3553783859,12768.6382447166,960486919.6506,†,
Type of substance use disorder,Alcohol-related disorders,13130.9971033929,419.6193451046,5.0046850674,65716.5051231051,2100.0626704268,11355.7815249066,149112734.310313,47.6510560663,
,Cannabis-related disorders,3296.0901818266,105.3311635524,4.2246138556,13924.7082514647,444.9834929704,9195.9261051436,30310601.7479669,9.686175966,
,Neonatal abstinence syndrome,122,3.8986803287,14.6967213115,1793,57.2978182729,23188.2750851473,2828969.56038798,0.9040367193,
,Opioid-related disorders,4350.0662555264,139.0124404821,5.6560731938,24604.2931392074,786.2645382175,14054.8354766918,61139465.534132,19.5379698019,
