"Statistics for community hospital stays 2016 Illinois, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Illinois | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Illinois",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,429395.778044103,3332.3100752315,5.2648929943,2260722.82359994,17544.2559698716,11538.9063407211,4954757665.952,384.5121385634,
Age group,<1,2179.5801832527,1380.7832596896,12.8431621551,27992.7017234974,17733.6233052039,24387.0537945536,53153539.1785268,336.7323563267,
,1-17,13248.6192169411,471.4619839957,6.726812155,89120.9727857416,3171.4362045718,8949.2680700731,118565444.930727,42.1923967963,
,18-44,116430.337013139,2489.426159599,4.6151224841,537340.266182417,11489.0066417094,8373.51792339,974931513.805858,208.4525456636,
,45-64,158678.989467148,4698.2976547194,5.171896942,820671.380388448,24299.111273157,12306.6407721003,1952805321.45208,578.2026147703,
,65-84,138844.25216362,7450.7365541034,5.6571697444,785465.502519844,42150.0814071525,13360.1467231516,1854979580.57224,995.4293355837,
,Missing,14,†,9.4285714286,132,†,23019.0008968143,322266.012555401,†,
Sex,Male,196297.42810555,3100.0269752555,5.4837320171,1076442.49137538,16999.7171780601,11860.5012439027,2328185890.22078,367.6787379615,
,Female,232909.681337552,3553.8605900499,5.0811529873,1183449.72310001,18057.7093535892,11265.3937926169,2623819278.38044,400.3563903097,
,Missing,188.6686009999,†,4.4024767245,830.6091245475,†,14589.058996482,2752497.35077082,†,
Payer,Medicare,181851.11865826,†,5.6357054336,1024859.33752123,†,12708.1196211801,2310985769.1546,†,
,Medicaid,107745.424901309,†,5.1563457767,555572.666651938,†,9570.8413782665,1031214370.96436,†,
,Private insurance,115093.672382513,†,4.9236053313,566675.818940367,†,11863.1928216454,1365378428.02504,†,
,Uninsured,13330.9257924991,†,4.4346007071,59117.3329459783,†,10205.9754344577,136055101.156825,†,
,Other,11362.5560005183,†,4.7922196773,54451.8644504152,†,9770.8863929814,111022243.814954,†,
,Missing,12.080309002,†,3.7915495384,45.8030900205,†,8423.0325722915,101752.836207609,†,
Type of stay,Maternal delivery hospitalization,10107.8849911446,69.1203601791,2.9689946309,30010.2562686824,205.217978259,5514.7287479181,55742243.9413161,†,
,Neonatal birth hospitalization,1884.5801832527,12.6742180804,9.6441943095,18175.2574791126,122.2326218887,12621.6270151249,23786468.1531114,†,
,Nonmaternal/nonneonatal hospitalization,417403.312869706,351.7914020552,5.3007181343,2212537.30985215,1864.7470643705,11679.8999996902,4875228953.85757,†,
Type of substance use disorder,Alcohol-related disorders,78325.2378452278,607.8401152555,5.0057594549,392077.299901028,3042.7014040077,11027.0935640323,863699726.144418,67.0270982289,
,Cannabis-related disorders,35855.9641780188,278.2588856178,4.7225975985,169333.290320607,1314.1047449924,8060.9455372195,289032974.423504,22.4302972221,
,Neonatal abstinence syndrome,501.199761069,3.8895422333,17.8975387825,8970.2421615014,69.613232967,21207.8463042564,10629367.500482,0.8248881388,
