"Statistics for community hospital stays 2016 Indiana, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Indiana | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Indiana",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,229063.4143015,3450.7256690107,5.4481794496,1247978.58645815,18800.1726761941,12105.7987758386,2772970365.66382,417.7341043039,
Age group,<1,2148.9598962047,2547.6400946103,13.1445886749,28247.1939144651,33487.6811353335,19962.101674609,42897755.9426966,508.5625059892,
,1-17,7099.2973512334,476.4782591139,6.0382233368,42867.1429413426,2877.082143676,7170.1269142813,50902863.0105648,34.1640958974,
,18-44,59699.3185437191,2547.8286040223,4.6310378283,276469.802500948,11799.0906453057,9042.844896748,539842635.187508,230.39232962,
,45-64,82160.1192741129,4742.7275651078,5.4861257066,450740.742405501,26019.1996142499,13589.7093321921,1116532139.63342,644.5228905159,
,65-84,77920.5860201935,7884.0177854691,5.7674769616,449405.184704563,45470.8909424085,13119.1131052193,1022234753.28657,1034.2988146608,
,Missing,35.1332160363,†,7.0736476581,248.5199913353,†,15945.5542717072,560218.60304583,†,
Sex,Male,95438.5296786112,2917.4924364925,5.7203361676,545940.473104039,16689.0375031956,12731.707460842,1215095440.36097,371.4466022064,
,Female,133435.974523812,3963.2042488058,5.2538856162,701057.347233414,20822.2217968379,11656.0496996259,1555312053.50172,461.9458403668,
,Missing,188.9100990769,†,5.1917082543,980.7661207029,†,13566.6214439625,2562871.80111718,†,
Payer,Medicare,105459.612268647,†,5.6532823491,596192.964580338,†,12991.6149211523,1370090672.3283,†,
,Medicaid,43535.6645519894,†,5.6384482551,245473.591829867,†,10356.3202130857,450869282.789888,†,
,Private insurance,48581.67233014,†,4.8994846763,238025.159132608,†,12994.0086223193,631257675.135911,†,
,Uninsured,8273.7644630886,†,4.3431585391,35934.2707786632,†,8745.8888687311,72361424.5202294,†,
,Other,23202.4525589212,†,5.7027575786,132317.962173544,†,10701.7627171563,248295535.46858,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,6924.5423880276,90.0776916216,3.0406479354,21055.0955154612,273.8945470511,5763.8308568147,39911891.0854344,†,
,Neonatal birth hospitalization,1846.8429659462,23.7487200826,10.9719338639,20263.4388793406,260.5693860986,15297.0938590426,28251330.1929916,†,
,Nonmaternal/nonneonatal hospitalization,220292.028947526,375.5551768097,5.4775474983,1206660.05206335,2057.1213192187,12278.3958723646,2704807144.38539,†,
Type of substance use disorder,Alcohol-related disorders,35455.7585352961,534.1232534452,5.4005307502,191479.914240748,2884.549054616,11855.6008426966,420349320.769505,63.3235209365,
,Cannabis-related disorders,15980.0923938264,240.7320923976,4.7224427874,75465.0720672131,1136.8435334388,8488.2268987434,135642650.101682,20.4338862208,
,Neonatal abstinence syndrome,850.7803227858,12.8165796685,18.3863856773,15642.7751413849,235.6505768481,24951.506818979,21228251.0254439,3.1979297499,
