"Statistics for community hospital stays 2016 Kentucky, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Kentucky | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Kentucky",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,180329.274887181,4057.4839512889,5.3548598639,965637.996373587,21727.2579590408,11947.1367584912,2154418508.63672,484.7531566143,
Age group,<1,2710.4330416903,4940.7263014096,11.5976395172,31434.6253530575,57300.762596944,16339.8956918357,44288193.1809244,807.3095240694,
,1-17,3936.2281501928,411.130821033,5.8061471528,22854.3198670688,2387.0860459747,12752.2422797226,50195735.0395234,52.4283983847,
,18-44,49016.2006382782,3152.6396327088,4.5703820611,224022.764102679,14408.7676225878,8924.6985929192,437454816.866689,281.3635849402,
,45-64,68650.3995091505,5777.2039933712,5.3401628803,366604.315178353,30851.2103174753,13067.3245268258,897077049.282318,754.9259943906,
,65-84,55999.0135478699,8127.3068602746,5.7256003554,320627.971872428,46533.7110477339,12949.7777181143,725174777.878587,1052.4681728746,
,Missing,17,†,5.5294117647,94,†,13408.022863661,227936.388682238,†,
Sex,Male,74022.7766153279,3382.3335953985,5.6656458948,419386.840450775,19163.1044495426,12776.682817682,945765538.098177,432.15003532,
,Female,106122.831553663,4704.3390098483,5.1392075975,545387.262191243,24176.5747807364,11368.3239299461,1206438725.46515,534.8044974024,
,Missing,183.6667181907,†,4.7035943152,863.8937315684,†,12055.7774168596,2214245.07339174,†,
Payer,Medicare,82000.4104484919,†,5.6385102329,462360.15341256,†,12577.5042006217,1031360506.86861,†,
,Medicaid,57859.5442599316,†,5.350361296,309569.46621161,†,10967.4438278009,634571301.572965,†,
,Private insurance,33452.7595333492,†,4.7771740235,159809.653856512,†,12213.5807784645,408577980.82311,†,
,Uninsured,3464.2981429965,†,4.3341281593,15014.7121339425,†,8155.3379873174,28252522.2449722,†,
,Other,3478.6308746532,†,5.2745601676,18348.2478493789,†,14481.1609386756,50374613.5420999,†,
,Missing,73.6316277593,†,7.2762605675,535.7629095827,†,17405.3409378951,1281583.58496277,†,
Type of stay,Maternal delivery hospitalization,5124.007514278,98.0577459435,3.2263842266,16532.0170212717,316.3719648124,4536.7993081798,23246593.7458841,†,
,Neonatal birth hospitalization,2298.5365406107,43.5584631244,10.1572494147,23346.8089318618,442.4341740769,11314.8886606508,26007685.0394472,†,
,Nonmaternal/nonneonatal hospitalization,172906.730832293,366.216868263,5.3540956212,925759.170420453,1960.7601307664,12175.1433256421,2105164229.85139,†,
Type of substance use disorder,Alcohol-related disorders,24138.1145666347,543.1176525817,5.4328609075,131139.019008742,2950.6826628601,11961.1078532914,288718591.706623,64.9628881956,
,Cannabis-related disorders,10291.3301103824,231.5592229072,4.4841439443,46147.8055932752,1038.3448871463,8468.7293854626,87154489.7212919,19.6101239551,
,Neonatal abstinence syndrome,1518.8815995214,34.1754699442,14.7961967988,22473.6710605348,505.6669789845,16984.5501066878,25797520.6331974,5.8045498169,
