"Statistics for community hospital stays 2016 Louisiana, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Louisiana | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Louisiana",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,153261.504231927,3271.025335192,6.1002203855,934922.852206452,19953.8452355879,11035.9880781196,1691036991.83541,360.9141689403,
Age group,<1,1528.5035799211,2471.3073240438,11.8971593265,18184.8506213868,29401.5369787984,18665.3740721083,28505620.9931905,460.8831203426,
,1-17,3857.6206518864,365.2617494981,6.5733989434,25357.6795173328,2401.0111982325,9204.1730851773,35497004.0038321,33.6106085964,
,18-44,42883.2089527714,2513.2824747868,5.6205140091,241025.676673518,14125.9393583239,8339.7925348016,357603706.722519,209.5829931977,
,45-64,56086.9825370365,4699.6575858462,6.1153519746,342985.52405656,28739.5478782163,12070.5708562017,676885914.725004,567.1783148236,
,65-84,48902.1885103123,7323.2961010528,6.2834198474,307272.981868506,46015.3440699689,12118.809346276,592439239.203685,887.2011872549,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,67804.8715647857,2954.6614743654,6.5102428788,441419.672012649,19235.2801328826,11721.8998640615,794731583.378785,346.311811774,
,Female,85347.0469463,3570.1352743787,5.7713715794,492569.521134428,20604.5772572811,10489.9656013079,895029830.776514,374.3981408621,
,Missing,109.5857208422,†,8.5198970468,933.6590593742,†,11813.4144028272,1275577.68011223,†,
Payer,Medicare,66293.3058961203,†,6.323606121,419212.754946046,†,11818.0868369095,783237046.311363,†,
,Medicaid,38398.5259472604,†,6.594942416,253236.067480141,†,10361.0013998684,397795376.085448,†,
,Private insurance,30531.2810284519,†,5.4214717234,165524.476774751,†,11843.1690682224,361527907.244028,†,
,Uninsured,13034.2889712847,†,5.4154729772,70586.8397003697,†,7170.5965947257,93447056.9436543,†,
,Other,4124.788343636,†,5.5618609643,22935.9374134099,†,11902.1632172179,49082001.9392165,†,
,Missing,879.3140451744,†,3.8971012809,3426.7758917335,†,6763.9125569972,5947603.31169936,†,
Type of stay,Maternal delivery hospitalization,4444.915960508,74.3483475873,2.8694483756,12754.4568824201,213.3387452107,4661.8832574333,20721679.2969902,†,
,Neonatal birth hospitalization,1352.6553574765,22.8438916704,9.5269351655,12886.6598919614,217.6322748714,11507.8890410122,15551121.0507799,†,
,Nonmaternal/nonneonatal hospitalization,147463.932913942,347.9753099247,6.1661715081,909281.73543207,2145.6608910631,11223.833727331,1654764191.48764,†,
Type of substance use disorder,Alcohol-related disorders,25278.8752749222,539.5212704183,6.1318530492,155006.348435038,3308.2651471261,10769.8443559602,272228012.515933,58.1010039247,
,Cannabis-related disorders,13371.0870726893,285.3760622605,5.9276883671,79259.6372959636,1691.6203645039,8035.1659661085,107422833.444415,22.9270103759,
,Neonatal abstinence syndrome,349.9681346025,7.4692900904,17.1445591187,6000.0493733428,128.0576855288,21331.2257434349,7465249.28221467,1.5932911306,
