"Statistics for community hospital stays 2016 Maryland, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Maryland | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
Age group,<1,2284,3117.2376143033,12.5551663748,28676,39137.4368773031,19507.4227728924,44554953.6132862,608.0927202578,
,1-17,4020.2102652833,314.7206620753,7.4452762724,29931.5760981963,2343.1822777849,18812.4897534915,75630164.4225232,59.206792305,
,18-44,57228.8758417184,2656.0131286444,4.738810581,271196.802374796,12586.3431171707,10194.5163553003,583420710.763854,270.7676927986,
,45-64,73267.5769236853,4406.8787911078,5.6009188682,410365.754020093,24682.5705710421,14357.782148982,1051959908.05406,632.730056397,
,65-84,59971.1613761293,6867.94395996,5.8781339728,352518.521073071,40370.6947143017,14362.5775962089,861340458.799426,986.4137805134,
,Missing,35,†,10.5142857143,368,†,24881.2840689489,870844.942413212,†,
Sex,Male,87274.7831800919,2977.6818541644,5.8591749459,511358.223021232,17446.7589169035,13907.1278180247,1213741564.97593,414.1100214728,
,Female,109356.973446402,3516.1159812281,5.3092553071,580604.091643314,18667.9574338624,12814.8723336972,1401395653.51516,450.5857740991,
,Missing,175.0677803222,†,6.2509440606,1094.3389016109,†,15078.8574550913,2639822.10445733,†,
Payer,Medicare,82942.1678069982,†,5.8982070035,489210.075047656,†,14019.3649094287,1162796516.86537,†,
,Medicaid,60116.2296462174,†,5.6194403716,337819.567863187,†,12208.6939404715,733940648.605773,†,
,Private insurance,45728.9938683028,†,4.9774733179,227614.8468332,†,13818.3695621423,631900136.977148,†,
,Uninsured,3939.1501509446,†,3.8252202558,15068.1169481828,†,6752.1055206155,26597557.4807268,†,
,Other,3927.682767428,†,5.7704073344,22664.3294485436,†,15451.7711821795,60689655.398488,†,
,Missing,152.6001669252,†,4.4542377579,679.7174253872,†,12139.7329070795,1852525.2680479,†,
