"Statistics for community hospital stays 2016 Michigan, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Michigan | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Michigan",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,391363.24769807,3942.7556415268,5.4018300708,2114077.76001213,21298.0959861228,11638.5304738508,4554893084.67923,458.8788168486,
Age group,<1,2815.3831627559,2469.8293398215,11.1693532993,31446.0092176618,27586.3964853907,15818.5197560498,44535194.1809038,390.6904420604,
,1-17,5025.922409142,241.3158981974,5.7850054463,29074.9885093855,1396.013785342,15231.4046370045,76551857.887831,36.7558009079,
,18-44,95197.9657957276,2809.6582826402,4.7129799614,448666.105156718,13241.8631843292,9106.2725589253,866898623.591142,255.8551411916,
,45-64,150491.009785938,5487.1578173859,5.4412886566,818865.024461111,29857.2095884462,12450.7413850235,1873724643.61577,683.1918292308,
,65-84,137790.424905354,8619.5244485188,5.7023021666,785722.638477041,49151.1329380071,12282.8204366264,1692455046.99893,1058.7207105027,
,Missing,42.5416391503,†,7.1222970309,302.9941902111,†,17106.0264527468,727718.404648406,†,
Sex,Male,166328.339391535,3410.844666527,5.7058296079,949041.163533843,19461.6984862335,12481.2885832551,2075992003.51936,425.7173659558,
,Female,224666.526374524,4449.124912188,5.1780208656,1163327.96136762,23037.6616289397,11015.1085451564,2474726174.47863,490.0759383871,
,Missing,368.3819320096,†,4.6382163787,1708.6351106594,†,11333.0929626762,4174906.68123497,†,
Payer,Medicare,200218.933572282,†,5.6963451293,1140516.14703829,†,11965.8556436544,2395790856.25237,†,
,Medicaid,90255.1950186497,†,5.0979405366,460115.617321596,†,10769.8891422559,972038444.863546,†,
,Private insurance,85341.5702112722,†,4.9548513355,422854.793135704,†,12435.8249878909,1061292831.33918,†,
,Uninsured,3698.4772108727,†,3.9052677988,14443.5439560555,†,8576.8957184906,31721453.3548693,†,
,Other,11740.7419864031,†,6.4311480724,75506.4501944381,†,7919.1982391503,92977263.2650422,†,
,Missing,108.329698589,†,5.9190450485,641.2083660349,†,9897.8915123698,1072235.60420127,†,
Type of stay,Maternal delivery hospitalization,11670.6791519898,107.0439354654,2.8544977145,33313.9269663629,305.5566691403,5232.8760658864,61071217.6070871,†,
,Neonatal birth hospitalization,2414.8819677902,21.6127764851,9.2244921069,22276.0596509492,199.3668860951,11367.5297508465,27451242.6136386,†,
,Nonmaternal/nonneonatal hospitalization,377277.68657829,367.4180239068,5.4561609303,2058487.77339482,2004.6918671401,11838.417121792,4466370624.4585,†,
Type of substance use disorder,Alcohol-related disorders,65533.5426000783,660.2120825485,5.3421026935,350086.914435543,3526.9207444342,11376.5231336434,745543863.419399,75.1091803022,
,Cannabis-related disorders,37996.343917558,382.7909243382,4.8242778254,183304.919407331,1846.689768045,9410.1823800612,357552526.039751,36.0213241145,
,Neonatal abstinence syndrome,1062.5655106235,10.7047255616,15.5670430312,16541.0030273645,166.6409234547,17966.3561774953,19090430.425784,1.9232491222,
