"Statistics for community hospital stays 2016 Minnesota, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Minnesota | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Minnesota",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,188419.174925284,3418.2600128641,5.4563684607,1028084.44345232,18651.2861246432,14114.3032600846,2659405374.91041,482.4635844338,
Age group,<1,1461.7891434999,2085.2912175462,11.9946883185,17533.7051636177,25012.4182077286,35032.4060833493,51209990.8833204,730.5276873512,
,1-17,8570.3616702872,704.4061474133,6.0412213886,51775.4522305971,4255.4734840165,12064.3253810597,103395631.823706,84.9818496281,
,18-44,54959.0153774091,2845.4574831752,5.5664845078,305928.507659691,15839.1949975635,11318.8162111057,622070994.200227,322.0721028858,
,45-64,64212.1529618833,4361.1572512171,5.3639371029,344429.949727215,23392.9731912409,15234.7785244969,978257928.955413,664.412648328,
,65-84,59211.8557722058,7207.5274089509,5.2069441947,308312.828671204,37529.1930002634,15272.3240633534,904302649.745673,1100.75694285,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,80553.0809867257,2941.1332509407,5.9551333047,479704.335382542,17514.8405763211,15208.4603809543,1225088340.75042,447.3010852204,
,Female,107813.029284974,3887.5469761199,5.0840851403,548130.620123675,19764.619813697,13296.8987878151,1433578938.41005,516.9231867434,
,Missing,53.0646535856,†,4.7015843739,249.487946107,†,13909.3671597442,738095.749926519,†,
Payer,Medicare,78687.3567530518,†,5.5979232725,440485.785622308,†,15179.3837516852,1194425584.56033,†,
,Medicaid,44384.8992695692,†,5.9990430824,266266.922924995,†,13293.4089334355,590026616.459729,†,
,Private insurance,57200.8003116963,†,4.9784611734,284771.963438782,†,13557.3433916591,775490892.103393,†,
,Uninsured,2640.9785477583,†,4.220816473,11147.0857593399,†,9788.3416236687,25850800.2462387,†,
,Other,5374.6219150433,†,4.6256219615,24860.9691648612,†,13466.6279692633,72378033.8053376,†,
,Missing,130.5181281664,†,4.2271257624,551.7165420372,†,9450.394000451,1233447.73537347,†,
Type of stay,Maternal delivery hospitalization,7123.6001035703,108.2976086772,2.8740183923,20473.3577171478,311.2493191819,6651.889862731,47385403.3150888,†,
,Neonatal birth hospitalization,1151.5566084633,17.2919379603,7.7716974417,8949.5495480143,134.3877100085,13108.8565327786,15095590.3697184,†,
,Nonmaternal/nonneonatal hospitalization,180144.018213251,406.1670406727,5.5436841372,998661.536187162,2251.6617804464,14415.8235559695,2596924381.2256,†,
Type of substance use disorder,Alcohol-related disorders,36508.4041109759,662.3275892993,5.6764871499,207239.486798929,3759.6940496749,13417.8603718945,489864668.761776,88.8701911367,
,Cannabis-related disorders,14474.6650998798,262.5962507804,6.5779380859,95213.4508407384,1727.3418792156,11140.7856703667,161259141.528099,29.2552854779,
,Neonatal abstinence syndrome,482.6212559941,8.7556106823,14.0735635215,6792.2009030626,123.2226431067,25906.6291085133,12503089.8789242,2.2682835856,
