"Statistics for community hospital stays 2016 Mississippi, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Mississippi | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Mississippi",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,91577.5625426136,3051.9170482536,5.7586140486,527359.838192253,17574.8123891618,10253.7827308575,938801099.896134,312.8651824904,
Age group,<1,710.6329168963,1807.7202739596,10.4420221018,7420.4446244695,18876.2550544873,10684.5895190059,7592821.01573043,193.1474909244,
,1-17,2143.4184561535,310.7430362719,6.7495732294,14467.1598310678,2097.3828788452,7753.6750073849,16619370.1138447,24.0940051406,
,18-44,23539.4423746858,2196.6447066687,4.6379199425,109174.049224117,10187.8622915744,7658.242115313,180194166.543649,168.1529051582,
,45-64,34107.6375357024,4520.6515087381,5.5774019232,190232.003187466,25213.4904189568,11061.0852450219,377178997.606754,499.9158334583,
,65-84,31072.4312591756,6975.0451780497,6.6306746198,206031.181325131,46249.2550339254,11496.1182478514,357177855.648974,801.7820230964,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,39010.244909803,2669.0333801411,5.8975749244,230065.842176569,15740.8243352307,10671.7187361721,416178300.881774,284.7441177855,
,Female,52521.0410270597,3412.5180158836,5.6553037982,297022.442804182,19298.8260965506,9943.8708123625,522172952.066562,339.2782343016,
,Missing,46.2766057509,†,5.8680451406,271.5532115018,†,9720.8284941831,449846.947797363,†,
Payer,Medicare,44647.123317968,†,6.2524564624,279154.194715209,†,11067.426092441,494006995.874696,†,
,Medicaid,14687.3365567807,†,6.1984501418,91038.7233624024,†,9827.770534817,144265151.283393,†,
,Private insurance,16779.1178162426,†,5.0630372502,84953.2985299134,†,10380.6118183319,174167128.092654,†,
,Uninsured,12649.6190226438,†,4.4802719214,56673.7329237622,†,7525.3703760098,95185542.8904387,†,
,Other,2763.9811078955,†,5.4779985937,15141.0846219602,†,10945.1792886437,30252268.7763399,†,
,Missing,50.3847210828,†,7.9151780626,398.8040390054,†,18339.150416122,924012.978611878,†,
Type of stay,Maternal delivery hospitalization,1779.3147968271,51.0344126438,3.0592540942,5443.3760769756,156.1272358232,5288.1329800461,9409253.25898561,†,
,Neonatal birth hospitalization,622.2353654164,17.7219494009,7.8182311182,4864.7798967468,138.5542962817,6680.7860412858,4157021.34366843,†,
,Nonmaternal/nonneonatal hospitalization,89176.01238037,300.2347052241,5.7981027455,517051.68221853,1740.7916686649,10377.8217353172,925234825.29348,†,
Type of substance use disorder,Alcohol-related disorders,15048.0462098061,501.4917136416,5.5069634627,82869.0406617956,2761.6965438501,10408.551755444,156607550.68957,52.1910870485,
,Cannabis-related disorders,7968.4675866413,265.5574291444,4.7375105345,37750.6991355756,1258.0811180877,7463.1574888868,59455002.229216,19.8139948115,
,Neonatal abstinence syndrome,125.3601250966,4.177755908,19.3834651469,2429.9136156154,80.979386035,20107.600827601,2520691.35513972,0.8400464815,
