"Statistics for community hospital stays 2016 North Carolina, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: North Carolina | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, North Carolina",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,331606.29896659,3286.6758350222,5.7007169182,1890393.63870084,18736.4085373533,11092.248921483,3678248519.82023,364.565165468,
Age group,<1,3450.4258649728,2794.8175614158,10.7218133283,36994.8220275084,29965.5121802624,11542.3522328343,39826030.6867979,322.5876872037,
,1-17,7419.543719045,339.6903462969,7.2961191597,54133.8750847499,2478.4212439818,10175.4796664963,75497416.2478224,34.5651221165,
,18-44,90749.9457163308,2530.5999412268,5.2381288533,475359.909095297,13255.6085683877,8301.8142819805,753380893.622509,210.0833923451,
,45-64,124039.374574329,4673.5056998418,5.7783530459,716743.297886215,27005.1658958287,12204.3310066967,1513817585.16875,570.3701052255,
,65-84,105935.009091911,6871.9979223398,5.7304826781,607058.734607066,39379.8650580045,12228.5510844223,1295431670.30918,840.3457764538,
,Missing,12,†,8.5833333333,103,†,24576.9820963963,294923.785156756,†,
Sex,Male,139590.552221804,2838.4576904291,6.107109612,852494.803217775,17334.7722444666,11767.2885928622,1642590545.54239,334.0071152389,
,Female,191712.205409186,3707.0321114349,5.405599412,1036319.3848336,20038.7306018468,10599.5960633474,2032071937.75087,392.9304297507,
,Missing,303.5413355993,†,5.2034120702,1579.4506494609,†,11813.9973255451,3586036.52696272,†,
Payer,Medicare,124009.016083284,†,5.8537897844,725922.711519055,†,11771.6466716607,1459790321.43271,†,
,Medicaid,63793.9125277791,†,6.2334663844,397657.209268351,†,10091.1830160899,643756046.630252,†,
,Private insurance,103501.876464524,†,5.4217992572,561166.39693635,†,11695.2490392069,1210480221.27784,†,
,Uninsured,25550.5930300687,†,4.8751574347,124563.163570627,†,9030.7972141627,230733193.558936,†,
,Other,13994.1196508591,†,5.4961657973,76914.0017881256,†,8737.6522326008,122275750.810612,†,
,Missing,756.7812100742,†,5.5103847226,4170.1556183264,†,14816.6814405608,11212986.1098719,†,
Type of stay,Maternal delivery hospitalization,11830.9960497011,107.4187712772,2.9447786157,34839.66416932,316.3245005794,5123.7158368627,60618661.8257142,†,
,Neonatal birth hospitalization,3028.61620068,26.7557418674,9.4630208346,28659.8582070469,253.1901427364,8981.3492959546,27201059.9816939,†,
,Nonmaternal/nonneonatal hospitalization,316746.686716209,375.5655022922,5.767681851,1826894.11632447,2166.142331417,11335.3676106399,3590428798.01282,†,
Type of substance use disorder,Alcohol-related disorders,54768.3669555631,542.8300631123,5.7860465662,316892.321557243,3140.8400226777,10417.5929069834,570544133.530433,56.5487936246,
,Cannabis-related disorders,27663.5298426731,274.183739358,5.2587283398,145474.988361479,1441.8578004635,7825.0140677338,216467510.18209,21.4549161762,
,Neonatal abstinence syndrome,1299.7595218899,12.8824097288,15.5410696032,20199.6531971337,200.2064262523,14576.6760902943,18946173.5458649,1.8778271388,
