"Statistics for community hospital stays 2016 North Dakota, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: North Dakota | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, North Dakota",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,24950.0183578897,3260.7796273813,5.3156176984,132624.759159398,17333.0578979942,13255.7630835193,330713326.789814,432.2174288736,
Age group,<1,273.7382977434,2661.7881927595,7.7694648661,2126.8000868315,20680.6698447245,12529.6548584422,3429846.3922621,333.5128736155,
,1-17,1054.617610906,641.0932389719,5.2818422651,5570.3238708419,3386.153365496,6412.6197049485,6762861.67288156,41.1108713694,
,18-44,7300.9599132037,2521.6505013984,4.357923612,31817.0255959073,10989.160261218,9899.9294483224,72278988.0457466,249.6416205717,
,45-64,7899.2104954992,4227.2737221918,5.4959730393,43413.8479150812,23232.9824069404,15414.4720241578,121762159.195806,651.6119252918,
,65-84,8420.4920405375,7388.0815278375,5.9015270665,49693.7616907359,43600.9631062663,15021.3886619353,126466853.260078,1109.6114312043,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,10467.608892085,2674.463360702,5.8679862342,61423.7848832851,15693.714184354,14540.2266424516,152201405.695457,388.8730341154,
,Female,14471.9276117924,3871.9426193514,4.91732749,71163.2074780678,19039.6098816546,12325.5796781552,178357968.899584,477.1940820935,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,10522.1243303466,†,5.920265531,62293.7699863095,†,14781.3422895602,155531121.340163,†,
,Medicaid,4615.4980978354,†,5.4905623791,25341.6802167356,†,11241.4115644084,51869274.7151337,†,
,Private insurance,7862.7059281556,†,4.6434230233,36509.8697324507,†,13091.2551579146,102932689.537132,†,
,Uninsured,486.4477804617,†,3.9841541791,1938.0829574644,†,9582.6405675269,4661454.23503576,†,
,Other,855.5837738463,†,4.6555903961,3983.2476005407,†,11968.9511352987,10240440.3813208,†,
,Missing,607.6584472442,†,4.2097804737,2558.1086658969,†,9015.5030443056,5478346.58102783,†,
Type of stay,Maternal delivery hospitalization,1077.8418418656,112.5213322753,2.6790476025,2887.5896022923,301.4500054591,4616.1345301479,4975462.94427383,†,
,Neonatal birth hospitalization,244.3310225855,22.9850444577,6.7317867573,1644.7843422382,154.7304178964,11044.4882505364,2698511.10818731,†,
,Nonmaternal/nonneonatal hospitalization,23627.8454934386,427.7926834704,5.4212469457,128092.385214867,2319.1697786585,13672.7714356778,323039352.737353,†,
Type of substance use disorder,Alcohol-related disorders,5231.2710076099,683.6877505355,5.1911572464,27156.3503988309,3549.1306204404,12257.2096644576,64120785.5518739,83.8010410334,
,Cannabis-related disorders,1716.1911064277,224.2932616826,4.8654883946,8350.1079112046,1091.2962616992,9592.8760085684,16463208.4909684,21.5161744888,
,Neonatal abstinence syndrome,67.0146787533,8.7583141655,11.5733645856,775.5853097983,101.3631629929,11572.48786491,775526.556643581,1.013554844,
