"Statistics for community hospital stays 2016 Nebraska, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Nebraska | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Nebraska",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,56225.2050221693,2957.7455575939,5.1768383116,291068.795439058,15311.77051866,12844.9519812981,722210058.648409,379.9209966019,
Age group,<1,279.1577331228,1057.8564292802,14.9449014207,4171.984802344,15809.56005284,38327.2570551591,10699350.1963316,405.4473529248,
,1-17,3373.5952374119,758.8104180058,4.6704730963,15756.2857940384,3544.0036424657,7236.8530789631,24414213.0810394,54.9139950989,
,18-44,15813.1250078646,2351.8067122357,4.4737688178,70744.2655728878,10521.4395348013,8822.714984996,139514694.966502,207.4932032186,
,45-64,18683.0125380156,3949.5879895263,5.4612834254,102033.226709502,21569.8194241682,14534.6626092095,271551283.763689,574.0592887315,
,65-84,18068.0221048392,6349.6826936705,5.4402939675,98295.3516611601,34544.140453755,15272.1933443962,275938326.935931,969.735817733,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,23055.0556248684,2436.0639751722,5.5517848175,127996.70778528,13524.5029918745,13778.5601394582,317665470.445804,335.6545398548,
,Female,33109.6388493577,3468.6413850158,4.9175586877,162818.592170114,17057.2475773841,12197.8986957181,403868020.53628,423.101362262,
,Missing,60.5105479431,†,4.1892776099,253.4954836635,†,11180.9872712013,676567.666325669,†,
Payer,Medicare,25475.0619996655,†,5.5063097149,140273.581376008,†,14373.8851624126,366175615.688536,†,
,Medicaid,9608.1436656172,†,5.6011096818,53816.2665098509,†,10373.5546137233,99670603.0517801,†,
,Private insurance,17914.6700194409,†,4.573388109,81930.7388441512,†,12478.2791472823,223544253.334035,†,
,Uninsured,1807.9111339431,†,4.2755539611,7729.8216100845,†,8303.9305306465,15012768.4618456,†,
,Other,1417.4182035025,†,5.1533041419,7304.3870989633,†,12544.2507339305,17780449.3395721,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,2017.2295114862,83.2499488872,2.8865513341,5822.8365375882,240.3052510251,5417.3395475375,10928017.2090339,†,
,Neonatal birth hospitalization,219.1482214146,8.7704895111,9.4858015054,2078.7965286101,83.1951226082,10595.7135832239,2322031.78638256,†,
,Nonmaternal/nonneonatal hospitalization,53988.8272892684,369.8067516663,5.2449215253,283167.16237286,1939.607392,13131.6060238618,708960009.652992,†,
Type of substance use disorder,Alcohol-related disorders,9312.4246409077,489.8831867525,5.2088350398,48506.8837746923,2551.7207085461,11912.0020218899,110929621.151189,58.3548951109,
,Cannabis-related disorders,4374.3979828567,230.1166566816,4.8446016523,21192.2156955331,1114.82353518,8334.0254176559,36456343.9760705,19.1779806581,
,Neonatal abstinence syndrome,60.9688260043,3.2072853126,15.5361289309,947.219541566,49.8287981347,21349.1039861344,1301629.80627819,0.6847266765,
