"Statistics for community hospital stays 2016 New Jersey, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: New Jersey | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
Age group,<1,1225.5627579076,1157.9719360031,17.3655068753,21282.518498568,20108.7696160775,28076.5474392446,34409570.9121635,325.118539945,
,1-17,6609.753312221,349.2628119623,6.763950625,44708.0450471335,2362.3964152532,12066.775873973,79758411.8008213,42.1447607306,
,18-44,70693.8800247247,2280.7707292976,5.4418641504,384706.491355722,12411.6444669333,10118.0661478144,715285354.335825,230.7698910703,
,45-64,94462.0956895371,3761.796498315,5.9952936718,566328.004509552,22553.0747408317,14055.7188273566,1327732656.85498,528.7475386605,
,65-84,84636.9550674219,6150.1369782602,6.1474640796,520302.641081292,37807.7461582999,14905.1280872783,1261524656.19714,916.6857941528,
,Missing,26.09970979,†,5.1264048297,133.7976783201,†,15095.322961915,393983.548492464,†,
Sex,Male,117620.399699555,2679.9730613622,6.252602244,735433.575103312,16756.8055773716,13874.3071197929,1631901548.98443,371.8276932611,
,Female,139838.700489674,3042.4255321068,5.7285257135,801069.591495615,17428.6128920415,12759.9357756295,1784332837.19573,388.2115439182,
,Missing,195.2463723751,†,4.9083194735,958.3315716657,†,14700.6442903443,2870247.46926691,†,
Payer,Medicare,111219.008095131,†,6.2056725329,690188.74367031,†,14261.3231999348,1586130220.42083,†,
,Medicaid,59914.1840529641,†,6.3320358921,379378.763868105,†,11145.1882438885,667754859.749267,†,
,Private insurance,70222.8990177778,†,5.3666324439,376860.488171947,†,13756.6588462678,966032464.983489,†,
,Uninsured,12173.300972308,†,5.6100247361,68292.5195749891,†,11323.8502597263,137848637.376996,†,
,Other,4065.8228383699,†,5.5227821809,22454.6539226072,†,14914.953321512,60641557.8478245,†,
,Missing,59.131585052,†,4.8422338481,286.3289626299,†,11785.4657609865,696893.271022896,†,
Type of stay,Maternal delivery hospitalization,5503.6218768595,55.4711122889,3.3327456617,18342.1719334992,184.8711088282,6103.9652284691,33593916.5669922,†,
,Neonatal birth hospitalization,1100.7679816874,10.8505636551,16.8343799313,18530.7464199502,182.6625110396,22837.1852272227,25138442.289991,†,
,Nonmaternal/nonneonatal hospitalization,251049.956703063,307.5669152069,5.9772509007,1500588.57981715,1838.4046209375,13385.2732696028,3360372274.79245,†,
Type of substance use disorder,Alcohol-related disorders,48880.7665971636,544.0169546008,5.877628611,287302.992278917,3197.5296172288,12817.6726755023,626537666.370071,69.73031254,
,Cannabis-related disorders,16791.2143526362,186.8772920738,5.5304898647,92863.6407938014,1033.5229697629,9321.3345602756,156516526.654223,17.4194576114,
,Neonatal abstinence syndrome,727.8228414475,8.1002814247,21.2020126346,15431.309080135,171.7422691109,29087.4117138675,21170482.6439411,2.356162208,
,Opioid-related disorders,33032.0682861944,367.6293651717,5.8304970915,192593.37806988,2143.4619443947,12276.9985918997,405534655.837145,45.1338519855,
,Sedative-related disorders,4847.1786224145,53.9465220401,6.3203989006,30636.1024363073,340.9635385957,10064.6989735069,48785393.70542,5.42955505,
,Stimulant-related disorders,14579.809728771,162.2655338586,5.7271017263,83500.0534663558,929.3112190759,10215.8877836193,148945700.095646,16.5768648505,
,Miscellaneous substances and addictive disorders,9842.391923308,109.5405913789,5.7851107591,56939.3274109913,633.7044537461,10271.3928436711,101095073.965672,11.2513444638,
Type of mental disorder,Anxiety disorders,104089.33833819,1158.4590175483,5.4994318951,572432.22719479,6370.8664702478,13216.640360103,1375711350.13694,153.1093620685,
,Bipolar disorders,29599.6244264057,329.4280891805,6.2787194674,185847.738113466,2068.3865566422,10698.2944585603,316665497.976482,35.2431870097,
,Depressive disorders,103946.579007034,1156.8701820618,5.7553206804,598245.895817036,6658.1588833697,12670.0022120729,1317003385.95654,146.575477658,
,"Disruptive, impulse-control, and conduct disorders",3195.8579965579,35.5682010667,7.2682445171,23228.2773610166,258.5183823876,9347.6813121627,29873862.0707498,3.3248020842,
,Eating disorders,1476.185967781,16.4291653041,10.3848606574,15329.9855797469,170.6145923999,14906.6883209105,22005044.1254125,2.4490444656,
,Obsessive-compulsive disorders,1680.5793161052,18.7039546464,7.1289890085,11980.8314724572,133.3402870897,11838.9950153106,19896370.1462033,2.2143602582,
,Personality disorders,6948.4491913398,77.3325467545,6.7393564184,46828.0756553336,521.1715953184,9145.8626686797,63549562.0642924,7.0727285244,
,Schizophrenia and related disorders,25903.220036936,288.2890727754,8.3621534951,216606.701966877,2410.7174775157,12242.5486018146,317121430.245688,35.2939298483,
,Somatic symptom disorders,1378.3380995978,15.3401705324,6.2930818966,8673.9945419352,96.5369494676,13414.9273138356,18490305.4199954,2.0578727267,
,Suicidal ideation or attempt,17977.843069672,200.083839062,6.5193525503,117203.897065378,1304.4170864652,8939.9674854488,160721332.501368,17.8874301558,
