"Statistics for community hospital stays 2016 New Mexico, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: New Mexico | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, New Mexico",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,62101.1049555963,2973.3207837935,5.8040085251,360435.342579676,17257.179176959,12446.7913764617,772959497.63006,370.0830349117,
Age group,<1,974,3513.3282833748,11.6242299795,11322,40839.7359593117,16710.3976680847,16275927.3287145,587.0911275372,
,1-17,2330.0677803222,488.3773307963,9.8945400298,23054.9489245104,4832.2690492032,11604.2917966969,27038786.4289406,56.6727305345,
,18-44,20577.9113952231,2815.7868918827,5.2271899143,107564.650903109,14718.6528421547,9913.7559646151,204004391.833715,279.1502409449,
,45-64,21270.7707246548,4040.8689975047,5.7349214435,121986.199148161,23174.0662640815,13767.8147520421,292852030.970208,556.3393579491,
,65-84,16943.3550553961,5187.9906963502,5.6942998177,96480.543603895,29541.9744766785,13731.8598996077,232663777.850011,712.4076140275,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,29112.1806774409,2812.5292296064,6.1974394964,180420.978358094,17430.4797324766,13454.5955689844,391692617.146171,378.414433103,
,Female,32910.9311318822,3123.8959539414,5.4590793576,179663.384782762,17053.5959175757,11554.6278005605,380273559.79878,360.9545503547,
,Missing,77.9931462732,†,4.500131814,350.9794388195,†,12735.9996688677,993320.685109055,†,
Payer,Medicare,23885.1032515921,†,5.6498825188,134948.027321932,†,13077.3701525335,312354336.352552,†,
,Medicaid,24547.6280059076,†,6.1645016125,151323.892424835,†,11566.1960999953,283922679.306065,†,
,Private insurance,10099.1303957126,†,5.3179743036,53706.9159329405,†,13201.4231240837,133322893.539098,†,
,Uninsured,1459.3186836473,†,5.1341899215,7492.4192779033,†,10388.7193346044,15160452.2241558,†,
,Other,1602.4401110512,†,6.1296349336,9822.3728836454,†,13791.9774098337,22100817.81223,†,
,Missing,507.4845076854,†,6.1907598968,3141.7147384198,†,12016.757760297,6098318.39595859,†,
Type of stay,Maternal delivery hospitalization,2413,104.5720476706,3.0273518442,7305,316.5763813651,4929.5282698027,11894951.7150338,†,
,Neonatal birth hospitalization,849,36.2913567581,10.8233215548,9189,392.7930238523,14210.8656847727,12065024.966372,†,
,Nonmaternal/nonneonatal hospitalization,58839.1049555963,368.7400039832,5.8454550395,343941.342579676,2155.4531145322,12729.6212529727,748999520.948654,†,
Type of substance use disorder,Alcohol-related disorders,15158.4937546862,725.769123819,5.9171722883,89695.419177768,4294.5009471734,13009.3841174518,197202667.896708,94.4180931235,
,Cannabis-related disorders,6739.142656408,322.6614556951,5.3849010016,36289.6160401281,1737.4999959364,9797.948750286,66029774.3683512,31.6142040659,
,Neonatal abstinence syndrome,331,15.8478529511,17.3897280967,5756,275.5898537353,22180.0163695212,7341585.41831154,3.5150563788,
,Opioid-related disorders,7001.7706449846,335.2357449513,6.1185344671,42840.5750220782,2051.1514600889,13582.4726818095,95101358.509799,45.5333034777,
