"Statistics for community hospital stays 2016 Oklahoma, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Oklahoma | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Oklahoma",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,123475.426267899,3148.5644601904,5.6822355696,701616.459105745,17890.8849687387,9717.7424535167,1199902391.80964,305.9693852243,
Age group,<1,1508.8196676499,2817.3799672292,10.1452770017,15307.3934738864,28583.1001865154,13740.3356840151,20731688.7201541,387.1174649915,
,1-17,3857.5363655411,425.5206708482,18.8518268867,72721.6077722016,8021.8420235291,10305.5749413208,39754130.1039541,43.8523516251,
,18-44,31684.8552729973,2260.2930135688,4.6318011974,146757.950593889,10469.2278867922,7377.5847429898,233757704.845905,166.7550325159,
,45-64,45144.313130704,4667.5503006844,5.1880577656,234211.304312524,24215.5205840109,10552.3973991538,476380732.467027,492.5384565336,
,65-84,41274.9018310075,6965.6991166928,5.6352072256,232592.625032329,39253.1579934569,10399.1438909869,429223643.227007,724.3730741581,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,50267.0305937014,2588.3835932873,6.2813672146,315745.677945257,16258.5878416156,10511.3289659197,528373294.71035,272.0735143903,
,Female,73196.0276688497,3697.4824268546,5.2707076717,385794.864573979,19488.3489932896,9172.4530165787,671387124.79272,339.1498383995,
,Missing,12.3680053487,†,6.1381430852,75.9165865084,†,11478.9978312655,141972.30657488,†,
Payer,Medicare,56277.0832225053,†,5.5499760386,312336.463407138,†,10106.6782878514,568774375.108501,†,
,Medicaid,23822.4585668808,†,7.6994298894,183419.349529235,†,9109.705182079,217015574.256576,†,
,Private insurance,25095.0537496892,†,4.7401593197,118954.55291029,†,10004.402006192,251061006.078887,†,
,Uninsured,11663.1092903425,†,4.5653972235,53246.7267714173,†,8404.9842876144,98028250.3300578,†,
,Other,6604.5503385383,†,5.0901047709,33617.8531878336,†,9829.1013875519,64916794.8966832,†,
,Missing,13.1710999436,†,3.1518476064,41.5132998309,†,8077.6198945601,106391.138937993,†,
Type of stay,Maternal delivery hospitalization,3745.5005075737,78.117515331,3.0139419755,11288.7211991993,235.4416584812,3866.6581894301,14482570.2111245,†,
,Neonatal birth hospitalization,1298.733972893,26.4972043272,8.3415036362,10833.394157394,221.0265262454,8486.6924510032,11021955.8036124,†,
,Nonmaternal/nonneonatal hospitalization,118431.191787433,318.1547366443,5.7374609973,679494.343749152,1825.4003926165,9916.2885053355,1174397865.7949,†,
Type of substance use disorder,Alcohol-related disorders,18407.261752021,469.3763926442,5.2901344735,97376.8899562846,2483.0642357534,9866.6995929714,181618922.036383,46.3119586225,
,Cannabis-related disorders,7696.9952289575,196.2697061322,4.788859154,36859.8260603963,939.9079788618,7174.9760292085,55225756.2647028,14.0823043676,
,Neonatal abstinence syndrome,397.8154214632,10.1441034511,15.9803548809,6357.2316120573,162.1063730972,17665.2145678311,7027494.77853982,1.7919776406,
