"Statistics for community hospital stays 2016 Oregon, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Oregon | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Oregon",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,113408.340134077,2817.7875319357,5.2275045572,592842.614879662,14729.9971645218,15327.2845275701,1738241897.03445,431.8903124022,
Age group,<1,1348.7806629931,2900.6035763293,6.8601628317,9252.8549724486,19898.6128439755,14743.1374505816,19885258.7051946,427.6399721547,
,1-17,2306.4590357422,281.1873639289,7.3600327444,16975.6140267787,2069.5482058402,16220.1221959529,37411047.3996989,45.6089340288,
,18-44,30674.3989343107,2148.0114965026,4.942418821,151605.726615604,10616.3724480251,12542.3086594839,384727779.37827,269.4102319326,
,45-64,41205.8775802471,3877.9338059829,5.4041608813,222683.191699884,20956.9781746651,16793.354106207,691984893.462107,651.235156043,
,65-84,37864.823920784,5673.7973068306,5.0778851624,192273.227564945,28810.8911589263,15954.1912008472,604102640.618602,905.2084706803,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,49103.7660056783,2465.3356217028,5.7018435211,279981.990059614,14056.9579418694,16682.851049876,819190814.260699,411.2882696482,
,Female,64238.4522752083,3159.8452049378,4.866378908,312608.649237576,15377.0040579989,14293.0651877496,918164385.929696,451.6387349737,
,Missing,66.1218531907,†,3.8107761702,251.9755824717,†,13410.0422367782,886696.844061237,†,
Payer,Medicare,49710.5723719642,†,5.3184827407,264384.8211916,†,15901.9824284772,790496648.368518,†,
,Medicaid,35732.2946995109,†,5.427572672,193939.626218199,†,14309.321364933,511304887.961794,†,
,Private insurance,21033.1247338614,†,4.6911297662,98669.1175156272,†,15288.4264124774,321563379.7181,†,
,Uninsured,1814.1911882695,†,4.1278053142,7488.6280278736,†,11405.4946631011,20691747.9156531,†,
,Other,5109.578211007,†,5.5424296438,28319.477743863,†,18415.556979942,94095728.6882692,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,6128.1461569264,146.5677969177,2.8979024665,17758.7698634765,424.7391802032,7349.1063437601,45036397.7973569,†,
,Neonatal birth hospitalization,1242.5854972449,29.4332969478,6.0846388395,7560.6839779589,179.0909817836,9398.4149890946,11678334.1625376,†,
,Nonmaternal/nonneonatal hospitalization,106037.608479906,376.0132213255,5.3520931788,567523.161038226,2012.4577969831,15857.8375085968,1681527165.07456,†,
Type of substance use disorder,Alcohol-related disorders,21480.7258960568,533.7184331882,5.3885515644,115749.999131436,2875.9692981004,15912.478843674,341811596.367765,84.9278327659,
,Cannabis-related disorders,11748.677836787,291.9121987509,5.1433411458,60427.4581272244,1501.4040228096,12915.4218687893,151739130.6626,37.7016919551,
,Neonatal abstinence syndrome,304.1951657483,7.5581508759,13.2918542863,4043.3178177209,100.4618401165,19490.7437224273,5928990.01720118,1.4731398174,
