"Statistics for community hospital stays 2016 Pennsylvania, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Pennsylvania | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Pennsylvania",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,487534.609370949,3807.0311097161,5.5756875225,2718340.6382408,21226.8158560905,10737.5570054442,5234930660.24756,408.7821356208,
Age group,<1,4090.1099123498,2883.4659262091,13.0121777656,53221.2372605315,37520.1712130193,17860.6263870396,73051925.0264078,515.0050760778,
,1-17,8276.098819943,326.3925971739,7.591453385,62827.618401096,2477.7941866487,10387.8833645219,85971149.2548254,33.9052823049,
,18-44,126163.020435884,2893.2418056984,5.2362971517,660627.06455954,15149.8738263867,8392.4264534178,1058813870.1492,242.8131906628,
,45-64,180797.347956554,5106.3349973382,5.5600719553,1005246.26396268,28391.5900129773,11556.3954074064,2089365641.59639,590.1082631192,
,65-84,168167.900661167,7549.8624271545,5.5660830885,936036.50790591,42023.1615766111,11454.3925127819,1926261142.22353,864.7908765813,
,Missing,40.131585052,†,9.5173452668,381.9461510416,†,36553.0540421605,1466931.99720234,†,
Sex,Male,207592.595197828,3314.5189121576,5.9640322631,1238088.93534108,19767.8977287723,11363.1893314542,2358913963.04085,376.6350594153,
,Female,279714.35227227,4274.9946320357,5.2886962528,1479324.24671049,22609.1480910919,10272.9512628209,2873491908.40457,439.1681150372,
,Missing,227.6619008522,†,4.0738313514,927.4561892196,†,11090.0804776129,2524788.80213773,†,
Payer,Medicare,227085.011032159,†,5.6753517095,1288787.30555809,†,11245.0894739943,2553591267.25962,†,
,Medicaid,108951.208769146,†,5.4401273257,592708.447994368,†,10751.084199796,1171343619.14665,†,
,Private insurance,135197.012773988,†,5.5923115839,756063.820642328,†,10030.4833600374,1356091386.95626,†,
,Uninsured,6973.9231167151,†,4.2727454207,29797.7980610143,†,8061.9691499816,56223553.0213013,†,
,Other,6372.9533309785,†,5.1401642978,32758.027183316,†,11388.5461155925,72578672.9023675,†,
,Missing,2954.5003479625,†,6.1686365393,18225.2388016834,†,8496.2457285442,25102160.9613586,†,
Type of stay,Maternal delivery hospitalization,14876.8346752673,113.2273986047,2.9924433474,44518.084954971,338.8265757025,4992.961762158,74279466.6755564,†,
,Neonatal birth hospitalization,3473.7151571939,25.8769007538,11.9454867009,41495.2182128661,309.1121738146,14032.7652196118,48745829.2407091,†,
,Nonmaternal/nonneonatal hospitalization,469184.059538488,350.6997861036,5.6104364195,2632327.33507296,1967.5788522585,10895.3091231607,5111905364.33129,†,
Type of substance use disorder,Alcohol-related disorders,74494.2082367957,581.7059195389,5.5285412884,411844.305984435,3215.9851938823,10745.6152814734,800486102.410576,62.5078801832,
,Cannabis-related disorders,27680.1138549779,216.1468181764,5.2833164233,146242.800127842,1141.9720343076,8058.2480814574,223053224.366399,17.4176468288,
