"Statistics for community hospital stays 2016 South Carolina, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: South Carolina | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, South Carolina",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,140958.433108451,2868.3628052976,5.4447993842,767490.389790312,15617.66003602,11226.7823116946,1582509643.50616,322.0248480604,
Age group,<1,1121.7080584229,1888.4291964897,11.3431227055,12723.6721464015,21420.6840963678,14991.1570180789,16815701.6322625,283.097386021,
,1-17,3459.2988367375,332.1620969186,6.1798537139,21377.9607636921,2052.7131682581,8489.4870649653,29367672.7283324,28.1988582526,
,18-44,35495.8562739904,2066.087373335,5.0542761965,179405.861439527,10442.5762309076,9051.599105929,321294260.913837,187.0139462125,
,45-64,54678.5478208318,4236.4303810666,5.5977046533,306074.361573431,23714.2860575614,12271.8767698514,671008400.811676,519.889515805,
,65-84,46197.022118469,5740.8928432385,5.3657470222,247881.53386726,30804.1786784483,11774.6988683101,543956024.057634,675.9728446437,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,59516.1610478007,2489.0464040453,5.8857050287,350294.568370528,14649.7929370646,11921.5259709065,709523459.620011,296.7323134862,
,Female,81394.2418213472,3225.9311005463,5.1231731121,416996.79118048,16527.0034758688,10719.4278704548,872499704.27429,345.8013574736,
,Missing,48.0302393038,†,4.1438527517,199.0302393038,†,10128.6110356737,486479.611858958,†,
Payer,Medicare,67711.1862429739,†,5.3974745586,365469.405080913,†,11602.3669316312,785610028.167006,†,
,Medicaid,22902.8441924129,†,6.3151098347,144633.97660223,†,10330.7440576979,236603421.545152,†,
,Private insurance,29044.8801308388,†,4.7710261879,138573.883729463,†,11654.5205436055,338504152.171421,†,
,Uninsured,13693.1131769527,†,5.581677873,76430.5468319748,†,10048.130140906,137590183.236176,†,
,Other,7562.3449231112,†,5.5471312409,41949.3197770824,†,10987.4795651646,83091110.3074108,†,
,Missing,44.0644421621,†,9.8323670377,433.2577686483,†,25207.3559653404,1110748.07899382,†,
Type of stay,Maternal delivery hospitalization,4524.6630275361,81.9284594046,3.0061733026,13601.9211965096,246.2911473828,4887.6871064294,22115137.1406258,†,
,Neonatal birth hospitalization,980.6778191191,17.4082759811,9.7714475848,9582.6419070977,170.104056291,11165.3962789245,10949656.472416,†,
,Nonmaternal/nonneonatal hospitalization,135453.092261796,298.877535297,5.4949341817,744305.826686705,1642.3123848464,11438.9773169477,1549444849.89311,†,
Type of substance use disorder,Alcohol-related disorders,25853.9872145558,526.1027216287,5.888291007,152235.800409674,3097.8459245063,11570.4429585637,299142084.317454,60.8724153095,
,Cannabis-related disorders,9950.6066039421,202.4848690744,5.1914327272,51657.9047792799,1051.1865760773,8213.5858149926,81730161.2527106,16.6312684838,
,Neonatal abstinence syndrome,287.1895382413,5.8440192005,20.5310514108,5896.3031742842,119.9838586519,23989.2784462602,6889469.79972321,1.4019380385,
