"Statistics for community hospital stays 2016 Tennessee, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Tennessee | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Tennessee",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,230247.130785019,3480.2603038153,5.5238973516,1271855.99206344,19224.5171796775,8947.8111380044,2059756741.77554,311.3389339305,
Age group,<1,3833.3934464799,4790.1849979755,11.2566220358,43151.0611415687,53921.3020038096,14355.3965729958,55029883.1445423,687.6500530395,
,1-17,6537.3921805299,461.9980255154,6.6750257381,43637.2610651799,3083.8487112731,7362.3426127968,48130521.02728,34.0138775028,
,18-44,57271.3921268441,2465.5953890072,4.7958635644,274665.782785015,11824.6590907532,7014.6346932662,401709835.605841,172.9404300484,
,45-64,85814.8946161977,4885.4534181249,5.4134443376,464548.741899976,26446.8219549908,9640.4037659808,827012293.185071,470.8192036642,
,65-84,76773.9912580908,7372.2683126181,5.8067182408,445804.935455605,42808.6848867815,9481.141994501,727738398.412187,698.8151386391,
,Missing,16.0671568981,†,3.0005131845,48.2097161104,†,8452.6715885594,135810.40062179,†,
Sex,Male,94296.2196501974,2921.7856404807,5.8267674933,549442.147395331,17024.5655922347,9679.062683607,912513774.362096,282.744064668,
,Female,135809.77026241,4008.0169405452,5.3138831856,721671.940754227,21297.9770046752,8441.5429629746,1146179995.88277,338.2605560363,
,Missing,141.1408724306,†,5.2564781633,741.9039138872,†,7531.2807152962,1062971.53067666,†,
Payer,Medicare,114059.881512007,†,5.6690323822,646609.161799828,†,9201.7739375978,1049317491.95612,†,
,Medicaid,43170.9501231117,†,5.7658816584,248912.823607978,†,8143.1438767282,351465978.272929,†,
,Private insurance,47015.6476600486,†,5.1856167961,243805.13218462,†,9170.5542687349,431042048.473942,†,
,Uninsured,18783.0811646257,†,4.9768629479,93480.8206949422,†,8710.0569927083,163584287.328571,†,
,Other,6321.583330782,†,5.4505863546,34456.33584207,†,8475.8830913013,53581001.2636271,†,
,Missing,895.9869944648,†,5.1247595806,4591.7179340167,†,12015.7262849386,10765934.4803534,†,
Type of stay,Maternal delivery hospitalization,7381.4588645849,114.6171466994,3.0194555116,22287.9866526796,346.0813753308,3807.6946423815,28106341.3716397,†,
,Neonatal birth hospitalization,3038.7610066398,47.9996368017,9.3072593196,28282.5366991684,446.745066961,9568.3272835636,29075859.8480607,†,
,Nonmaternal/nonneonatal hospitalization,219826.910913797,421.0049850115,5.5556938836,1221285.4687116,2338.9641801014,9111.868527194,2002574540.55584,†,
Type of substance use disorder,Alcohol-related disorders,33694.5714523965,509.3044116556,5.4384973576,183247.837809073,2769.850696999,8959.5005171287,301762724.135771,45.6124176836,
,Cannabis-related disorders,11819.1321500131,178.6500283717,4.7766083201,56455.3649641046,853.341211906,6560.4082086845,77538331.5764732,11.7201711261,
,Neonatal abstinence syndrome,2040.4385059071,30.8418919718,14.221269609,29017.6261130526,438.6108609818,16953.6024487649,34592783.2503015,5.2288117526,
