"Statistics for community hospital stays 2016 Texas, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Texas | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Texas",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,599852.854051097,2172.4767538709,5.6793738278,3406788.59983042,12338.3076174434,13146.9717046194,7886248499.14501,285.6149041208,
Age group,<1,4227.7574956236,1059.0389185619,15.7301124679,66503.1008932179,16658.8012968755,31216.0777700021,131974006.776096,330.5904124329,
,1-17,17815.8516918586,260.3543703227,6.2587088931,111504.229422262,1629.4822128999,14027.6323548716,249914217.622311,36.5215538887,
,18-44,155165.420765124,1491.6520561952,4.9122623407,762213.252997044,7327.3862210143,10376.1761950389,1610023745.23628,154.7764455677,
,45-64,225687.580595815,3396.8119172772,5.7678809057,1301739.08677812,19592.4065980061,14300.8106316239,3227515352.01013,485.7716398023,
,65-84,196882.07211316,5924.8469635226,5.9127211645,1164108.79469492,35031.9680376684,13530.842601025,2663980328.72684,801.6817169859,
,Missing,74.1713895139,†,9.7090677359,720.1350448538,†,38301.1399943364,2840848.77334463,†,
Sex,Male,261285.602577461,1904.2206762641,5.9975339165,1567069.26335236,11420.6280904013,14024.2527721151,3664335336.26074,267.0527209782,
,Female,338107.515622615,2434.1651832168,5.4343727472,1837402.26851734,13228.1609338155,12468.2141247599,4215596901.97339,303.4969271938,
,Missing,459.7358510204,†,5.0399984156,2317.0679607257,†,13738.8913587207,6316260.91087813,†,
Payer,Medicare,254180.550172584,†,5.8799274201,1494563.18661185,†,13189.6637496422,3352555988.47546,†,
,Medicaid,74536.6970735686,†,6.3790254185,475471.485242722,†,13243.2486005299,987108009.207661,†,
,Private insurance,167440.936413442,†,5.2420295432,877730.335428698,†,13756.5709696482,2303413124.99589,†,
,Uninsured,86822.8046967836,†,5.331971468,462936.717417521,†,11640.1463030807,1010630149.11437,†,
,Other,16668.3192583976,†,5.7096690113,95170.5859393447,†,13821.310939965,230378023.316921,†,
,Missing,203.5464363197,†,4.5016223661,916.2891902811,†,10627.5701693143,2163204.03470108,†,
Type of stay,Maternal delivery hospitalization,13439.7883241596,37.0117710416,3.1597827329,42466.8110807308,116.9491550518,4950.7839748479,66537488.6605976,†,
,Neonatal birth hospitalization,3557.2440508818,9.6112118182,13.1511526306,46781.8594573951,126.3985135861,16742.5154810216,59557213.5916602,†,
,Nonmaternal/nonneonatal hospitalization,582855.821676055,286.4385804249,5.6918706238,3317539.9292923,1630.3713414353,13314.0195367316,7760153796.89275,†,
Type of substance use disorder,Alcohol-related disorders,107643.071072687,389.8490572169,5.6417101169,607291.003080889,2199.4153701497,13213.9387813824,1422388951.3945,51.5144157604,
,Cannabis-related disorders,40180.1719181057,145.5198368552,4.8818273538,196152.662349959,710.4027200792,9783.0832741599,393085967.844892,14.23632682,
,Neonatal abstinence syndrome,1017.7685126849,3.6860346995,24.3640674071,24796.980647901,89.8067978837,31056.9037377474,31608738.7257667,1.1447682484,
