"Statistics for community hospital stays 2016 Utah, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Utah | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Utah",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,63246.8860299173,2103.8164287352,4.3850348277,277339.797986105,9225.3083111362,11027.0844011248,697428750.360224,231.9896132414,
Age group,<1,590,1123.72390675,14.4118644068,8503,16194.9565747371,28454.2685020157,16788018.4161892,319.747417648,
,1-17,2735.9931462732,317.2485973974,4.5471454834,12440.958877639,1442.5755267649,9264.7434809193,25348274.6657743,29.3922687457,
,18-44,24754.1000552713,2095.4237646261,4.0734299549,100834.092672538,8535.5619311053,8473.6789260135,209758295.970783,177.5594819538,
,45-64,19853.6342129131,3321.3386999654,4.4650097827,88646.6709826957,14829.8097869873,12671.079422937,251566975.945763,420.8494645774,
,65-84,15307.1586154596,4901.8200673956,4.3699864314,66892.0754532313,21420.8871838063,12669.1031666871,193927971.688102,621.0166413837,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,25725.1774091073,1702.5052238991,4.6973868694,120841.11057565,7997.3256839027,11693.569694998,300819154.949586,199.0836349176,
,Female,37461.70862081,2505.3407349295,4.1687550611,156168.687410454,10444.1518685173,10563.2978148884,395719184.816188,264.6466031083,
,Missing,60,†,5.5,330,†,14840.1765741747,890410.594450486,†,
Payer,Medicare,21425.1895447973,†,4.4982876634,96376.6658163201,†,12448.0498578981,266701827.668555,†,
,Medicaid,9503.8984014371,†,4.9400875279,46950.0899592951,†,11095.5264635801,105450756.220322,†,
,Private insurance,23494.4230094816,†,4.0534877679,95234.3562830022,†,10582.8018150463,248636822.468208,†,
,Uninsured,5723.6606544159,†,4.2533023482,24344.4593014547,†,7891.0511135326,45165698.7805107,†,
,Other,2291.7144197854,†,4.8239983702,11055.2266260327,†,11443.7433712374,26225791.7001885,†,
,Missing,808,†,4.1819306931,3379,†,6494.8682208414,5247853.52243983,†,
Type of stay,Maternal delivery hospitalization,3444.0327148481,72.013229793,2.6767898503,9218.9518151228,192.7642825954,4815.7968804415,16585762.0043039,†,
,Neonatal birth hospitalization,499,10.1749520819,12.4849699399,6230,127.0339708821,15769.4951098046,7868978.05979251,†,
,Nonmaternal/nonneonatal hospitalization,59303.8533150692,357.2779557261,4.4160848163,261890.846170982,1577.7697554702,11347.8968511667,672974010.296128,†,
Type of substance use disorder,Alcohol-related disorders,9897.7410507781,329.2340783409,4.3486725039,43042.0343582978,1431.73118383,9816.908613035,97165219.3709735,32.3206085937,
,Cannabis-related disorders,3696.6553326649,122.963907133,4.535058269,16764.5473340908,557.6484838334,7674.929971331,28371570.8063501,9.4373937625,
,Neonatal abstinence syndrome,297,9.8792765708,16.1212121212,4788,159.2659132027,21369.1808375555,6346646.70875399,2.1111204759,
,Opioid-related disorders,9266.9097292281,308.2503844179,4.6118392815,42737.4983074911,1421.6012314,11223.8852851703,104010731.748885,34.5976695382,
