"Statistics for community hospital stays 2016 Washington, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Washington | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Washington",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,191911.056576523,2670.8535449888,5.7504282711,1103570.76527098,15358.5517330249,16602.3964942718,3186183452.91808,443.4256953204,
Age group,<1,1890.1750857545,2095.3054935755,11.2088331229,21186.6571093131,23485.9296190146,20551.0713176894,38845122.9902605,430.6077263082,
,1-17,4679.7601574517,304.6389620296,6.8654456836,32128.6391733281,2091.482246927,22326.8563867588,104484332.959898,68.0163035505,
,18-44,51827.2473777765,1985.6977486354,5.1439128245,266594.842445488,10214.2561148022,13159.9967207265,682046405.535822,261.317758604,
,45-64,69074.7516351061,3650.9722289963,5.9093584984,408187.470601487,21574.9037689314,18140.697148007,1253064149.98626,662.3118150201,
,65-84,64429.9271546888,6095.4023939537,5.8260841924,375374.180112624,35512.3275336557,17176.2135689522,1106662189.04097,1046.9593330725,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,82130.4021741102,2288.9465901359,6.2665612301,514675.194075124,14343.8239594687,18015.5990879393,1479628398.49998,412.3674410159,
,Female,109639.974466887,3047.8813957678,5.364907636,588208.336223524,16351.6021736459,15541.4377126052,1703962833.98875,473.6845886773,
,Missing,140.6799355282,†,4.8850958721,687.234972333,†,18426.3691876612,2592220.42933972,†,
Payer,Medicare,79542.1836272875,†,5.9680005002,474707.791672646,†,17146.7888929127,1363893030.7384,†,
,Medicaid,49010.8267908761,†,6.1877675588,303267.604047429,†,15976.1880353793,783006184.580446,†,
,Private insurance,54775.7218495199,†,5.1069997018,279739.595152357,†,16442.187963643,900632714.494034,†,
,Uninsured,3615.1292030244,†,5.1334201218,18557.9769937366,†,13870.1334264586,50142324.3998361,†,
,Other,4956.6610857912,†,5.4976992939,27250.2321515798,†,17827.6440162453,88365589.3466616,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,9327.8685026448,115.2129209091,2.6806229504,25004.49838663,308.8423999732,6673.9304782661,62253545.8970595,†,
,Neonatal birth hospitalization,1644.6070597221,19.819557475,10.5342749338,17324.742925159,208.7846675082,15894.8279397141,26140746.2427222,†,
,Nonmaternal/nonneonatal hospitalization,180938.581014156,381.0235978187,5.8652030872,1061241.52395919,2234.7807822252,17120.6668219418,3097789160.7783,†,
Type of substance use disorder,Alcohol-related disorders,31968.8664128015,444.9152733097,6.1031317806,195110.204592557,2715.3765441947,16374.5717619179,523476497.223586,72.8529707078,
,Cannabis-related disorders,20052.5707052187,279.0744864292,5.3144967692,106569.322227268,1483.1404564971,14119.3662563869,283129590.169078,39.4035488671,
,Neonatal abstinence syndrome,906.516421148,12.6161183217,15.9351684234,14445.4918495331,201.0399703055,26219.4330723468,23768346.6332746,3.3078746997,
