"Statistics for community hospital stays 2016 Wisconsin, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Wisconsin | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Wisconsin",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,183979.985267436,3182.0174536635,4.9227424105,905686.076150695,15664.2522699539,13638.9080090077,2509286094.56116,433.9924333357,
Age group,<1,1428.234788585,2072.0977100193,12.4662162743,17804.683765032,25831.2181946582,21695.3170210058,30986006.5187805,449.5481671737,
,1-17,5210.0163514539,424.6817017744,5.7659333244,30040.6069015413,2448.6863765261,12854.2834880027,66971027.1587187,54.5897898678,
,18-44,47406.1116639859,2386.1748389658,4.0338072306,191227.116006843,9625.3693189982,9800.7201833644,464614035.400054,233.8623190529,
,45-64,67059.0765015577,4228.9702007721,4.9599464772,332609.430258766,20975.46584954,14922.7743831743,1000707468.97677,631.0796817929,
,65-84,62861.2375147804,6879.6444362852,5.3115502578,333890.622324366,36541.5771788066,15039.2454091491,945385577.707597,1034.6466100498,
,Missing,15.308447074,†,7.4218432215,113.616894148,†,40629.7775499828,621978.799251702,†,
Sex,Male,77531.9475710862,2699.3340987377,5.2248533099,405093.052887428,14103.6247002337,14685.0276805952,1138558796.21186,396.3979595914,
,Female,106384.657004257,3656.3276997233,4.7020101695,500221.73911071,17192.0900270521,12875.6897931684,1369775842.33945,470.7774124381,
,Missing,63.3806920928,†,5.8580009195,371.2841525569,†,15011.7642840993,951456.009860342,†,
Payer,Medicare,87950.2646726792,†,5.259845218,462604.779058488,†,14583.4568593275,1282618890.62045,†,
,Medicaid,43010.2114828176,†,4.8100427833,206880.957352954,†,11715.2831390063,503876805.389751,†,
,Private insurance,46068.2148891417,†,4.5018323401,207391.379640874,†,13929.2442726649,641695418.396477,†,
,Uninsured,3838.7567587235,†,3.6102387713,13858.828484066,†,10072.1780789712,38664641.6757174,†,
,Other,3048.180549322,†,4.8259403397,14710.3374758047,†,13699.5475024476,41758694.2314733,†,
,Missing,64.3569147529,†,3.7260042597,239.7941385079,†,10436.2406102998,671644.247298265,†,
Type of stay,Maternal delivery hospitalization,6620.6982207789,105.020434326,2.9416347981,19475.6762741271,308.9317641275,6237.631745348,41297477.3982995,†,
,Neonatal birth hospitalization,1254.1295173869,19.3888582377,10.748020161,13479.4093374139,208.3918392377,14098.2459977355,17681026.4491412,†,
,Nonmaternal/nonneonatal hospitalization,176105.15752927,386.670379258,4.9557378261,872730.990539154,1916.2370247215,13913.8888666929,2450307590.71372,†,
Type of substance use disorder,Alcohol-related disorders,36282.0423367589,627.5144103436,4.8273056418,175144.507667579,3029.2038533508,12763.830405232,463097835.141841,80.0948751047,
,Cannabis-related disorders,10969.0841709629,189.7152955631,4.2507735803,46627.0931942947,806.4367661633,9392.6598616649,103028876.611826,17.8193124178,
,Neonatal abstinence syndrome,573.566961136,9.9201012465,16.5012668623,9464.5814891228,163.6942379696,21782.9798682527,12493997.5675198,2.1608936574,
