"Statistics for community hospital stays 2016 West Virginia, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: West Virginia | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, West Virginia",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,87312.2356040224,4726.6114568278,5.5600512681,485460.506291902,26280.2020244115,11438.8529616409,998751824.826565,540.6701346146,
Age group,<1,1631.9596654178,8136.2033374107,11.4354126345,18662.1321768428,93040.8424411348,11647.7765029134,19008701.4445564,947.6867805642,
,1-17,1604.1603556628,451.1175166446,7.6523517044,12275.5992317594,3452.1098973724,10113.8315266904,16224207.5789696,45.6252656208,
,18-44,23017.3924039968,3760.7168725323,4.9121144918,113064.066790215,18473.0718489751,8895.9791539799,204762243.004931,334.5525890207,
,45-64,32475.9942365254,6256.9106616662,5.4188123259,175981.317864885,33905.0246155196,12656.7620552616,411040931.55975,791.9222944574,
,65-84,28576.7289424195,8392.5043075742,5.7895146278,165445.390228199,48588.5264529826,12163.2106450001,347584773.67172,1020.797977321,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,36051.9260553474,3951.3723358813,5.9453139062,214340.017323661,23492.1488972546,12201.2368580613,439878088.990606,482.1162978448,
,Female,51209.4997128748,5477.7837610498,5.2908957199,270944.122848907,28982.3826558586,10904.1719994954,558397192.877298,597.3069630653,
,Missing,50.8098358002,†,3.4711019344,176.3661193339,†,9378.95096799,476542.958661392,†,
Payer,Medicare,41119.6578462388,†,5.6608341184,232771.562074788,†,11927.3943365662,490450374.11677,†,
,Medicaid,27836.0461230861,†,5.9284335698,165024.15028683,†,10313.4901066946,287086786.299945,†,
,Private insurance,14732.6199501219,†,4.672697637,68841.0784273226,†,12340.3542066512,181805748.576481,†,
,Uninsured,1378.7093812804,†,4.9131728077,6773.8374417862,†,7883.7186986441,10869356.9291962,†,
,Other,2215.2023032952,†,5.3534063429,11858.8780611749,†,12809.6085029174,28375874.2599722,†,
,Missing,30,†,6.3666666667,191,†,5456.1548066897,163684.644200691,†,
Type of stay,Maternal delivery hospitalization,2710.6726303362,146.4199551848,3.0570199116,8286.5802047641,447.6087184554,5250.5864296161,14232620.9279749,†,
,Neonatal birth hospitalization,1463.6830596669,80.897753809,10.3508515858,15150.3661193338,837.3606433059,8319.3188000592,12176845.9956154,†,
,Nonmaternal/nonneonatal hospitalization,83137.8799140193,380.6296065141,5.5573170791,462023.559967804,2115.2794130985,11695.5394930513,972342357.902975,†,
Type of substance use disorder,Alcohol-related disorders,11635.3318762139,629.8738380669,5.8985996169,68632.1641471921,3715.3735798979,11956.0550453204,139112668.382585,75.3080627954,
,Cannabis-related disorders,5290.5111680392,286.39961543,5.1912031801,27464.1183998431,1486.7585943979,8314.8522499721,43989818.6890733,23.8137048675,
,Neonatal abstinence syndrome,961.0547475178,52.0262979047,14.674804618,14103.2906470093,763.4757567478,12057.6398855433,11588052.0558609,6.2731436471,
