"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2007"	"2007"	Suppressed	52405	Suppressed
	"Autauga County, AL"	"01001"	"2008"	"2008"	Suppressed	53277	Suppressed
	"Autauga County, AL"	"01001"	"2009"	"2009"	Suppressed	54135	Suppressed
	"Autauga County, AL"	"01001"	"2010"	"2010"	Suppressed	54571	Suppressed
	"Autauga County, AL"	"01001"	"2011"	"2011"	Suppressed	55267	Suppressed
	"Baldwin County, AL"	"01003"	"2007"	"2007"	12	172404	Unreliable
	"Baldwin County, AL"	"01003"	"2008"	"2008"	13	175827	Unreliable
	"Baldwin County, AL"	"01003"	"2009"	"2009"	Suppressed	179406	Suppressed
	"Baldwin County, AL"	"01003"	"2010"	"2010"	Suppressed	182265	Suppressed
	"Baldwin County, AL"	"01003"	"2011"	"2011"	10	186717	Unreliable
	"Barbour County, AL"	"01005"	"2007"	"2007"	Suppressed	27757	Suppressed
	"Barbour County, AL"	"01005"	"2008"	"2008"	Suppressed	27808	Suppressed
	"Barbour County, AL"	"01005"	"2009"	"2009"	Suppressed	27657	Suppressed
	"Barbour County, AL"	"01005"	"2010"	"2010"	Suppressed	27457	Suppressed
	"Barbour County, AL"	"01005"	"2011"	"2011"	Suppressed	27119	Suppressed
	"Bibb County, AL"	"01007"	"2007"	"2007"	Suppressed	22438	Suppressed
	"Bibb County, AL"	"01007"	"2008"	"2008"	Suppressed	22705	Suppressed
	"Bibb County, AL"	"01007"	"2009"	"2009"	Suppressed	22941	Suppressed
	"Bibb County, AL"	"01007"	"2010"	"2010"	Suppressed	22915	Suppressed
	"Bibb County, AL"	"01007"	"2011"	"2011"	Suppressed	22766	Suppressed
	"Blount County, AL"	"01009"	"2007"	"2007"	Suppressed	56240	Suppressed
	"Blount County, AL"	"01009"	"2008"	"2008"	Suppressed	57055	Suppressed
	"Blount County, AL"	"01009"	"2009"	"2009"	Suppressed	57341	Suppressed
	"Blount County, AL"	"01009"	"2010"	"2010"	Suppressed	57322	Suppressed
	"Blount County, AL"	"01009"	"2011"	"2011"	Suppressed	57677	Suppressed
	"Bullock County, AL"	"01011"	"2007"	"2007"	Suppressed	11011	Suppressed
	"Bullock County, AL"	"01011"	"2008"	"2008"	Suppressed	10953	Suppressed
	"Bullock County, AL"	"01011"	"2009"	"2009"	Suppressed	10987	Suppressed
	"Bullock County, AL"	"01011"	"2010"	"2010"	Suppressed	10914	Suppressed
	"Bullock County, AL"	"01011"	"2011"	"2011"	Suppressed	10542	Suppressed
	"Butler County, AL"	"01013"	"2007"	"2007"	Suppressed	20894	Suppressed
	"Butler County, AL"	"01013"	"2008"	"2008"	Suppressed	20949	Suppressed
	"Butler County, AL"	"01013"	"2009"	"2009"	Suppressed	20867	Suppressed
	"Butler County, AL"	"01013"	"2010"	"2010"	Suppressed	20947	Suppressed
	"Butler County, AL"	"01013"	"2011"	"2011"	Suppressed	20650	Suppressed
	"Calhoun County, AL"	"01015"	"2007"	"2007"	Suppressed	116211	Suppressed
	"Calhoun County, AL"	"01015"	"2008"	"2008"	Suppressed	117274	Suppressed
	"Calhoun County, AL"	"01015"	"2009"	"2009"	Suppressed	118363	Suppressed
	"Calhoun County, AL"	"01015"	"2010"	"2010"	Suppressed	118572	Suppressed
	"Calhoun County, AL"	"01015"	"2011"	"2011"	Suppressed	117797	Suppressed
	"Chambers County, AL"	"01017"	"2007"	"2007"	Suppressed	34847	Suppressed
	"Chambers County, AL"	"01017"	"2008"	"2008"	Suppressed	34563	Suppressed
	"Chambers County, AL"	"01017"	"2009"	"2009"	Suppressed	34384	Suppressed
	"Chambers County, AL"	"01017"	"2010"	"2010"	Suppressed	34215	Suppressed
	"Chambers County, AL"	"01017"	"2011"	"2011"	Suppressed	33939	Suppressed
	"Cherokee County, AL"	"01019"	"2007"	"2007"	Suppressed	25553	Suppressed
	"Cherokee County, AL"	"01019"	"2008"	"2008"	Suppressed	25636	Suppressed
	"Cherokee County, AL"	"01019"	"2009"	"2009"	Suppressed	25854	Suppressed
	"Cherokee County, AL"	"01019"	"2010"	"2010"	Suppressed	25989	Suppressed
	"Cherokee County, AL"	"01019"	"2011"	"2011"	Suppressed	26057	Suppressed
	"Chilton County, AL"	"01021"	"2007"	"2007"	Suppressed	42881	Suppressed
	"Chilton County, AL"	"01021"	"2008"	"2008"	Suppressed	43239	Suppressed
	"Chilton County, AL"	"01021"	"2009"	"2009"	Suppressed	43484	Suppressed
	"Chilton County, AL"	"01021"	"2010"	"2010"	Suppressed	43643	Suppressed
	"Chilton County, AL"	"01021"	"2011"	"2011"	Suppressed	43895	Suppressed
	"Choctaw County, AL"	"01023"	"2007"	"2007"	Suppressed	14216	Suppressed
	"Choctaw County, AL"	"01023"	"2008"	"2008"	Suppressed	14114	Suppressed
	"Choctaw County, AL"	"01023"	"2009"	"2009"	Suppressed	13976	Suppressed
	"Choctaw County, AL"	"01023"	"2010"	"2010"	Suppressed	13859	Suppressed
	"Choctaw County, AL"	"01023"	"2011"	"2011"	Suppressed	13609	Suppressed
	"Clarke County, AL"	"01025"	"2007"	"2007"	Suppressed	26436	Suppressed
	"Clarke County, AL"	"01025"	"2008"	"2008"	Suppressed	26283	Suppressed
	"Clarke County, AL"	"01025"	"2009"	"2009"	Suppressed	26038	Suppressed
	"Clarke County, AL"	"01025"	"2010"	"2010"	Suppressed	25833	Suppressed
	"Clarke County, AL"	"01025"	"2011"	"2011"	Suppressed	25695	Suppressed
	"Clay County, AL"	"01027"	"2007"	"2007"	Suppressed	14085	Suppressed
	"Clay County, AL"	"01027"	"2008"	"2008"	Suppressed	14161	Suppressed
	"Clay County, AL"	"01027"	"2009"	"2009"	Suppressed	14006	Suppressed
	"Clay County, AL"	"01027"	"2010"	"2010"	Suppressed	13932	Suppressed
	"Clay County, AL"	"01027"	"2011"	"2011"	Suppressed	13862	Suppressed
	"Cleburne County, AL"	"01029"	"2007"	"2007"	Suppressed	14799	Suppressed
	"Cleburne County, AL"	"01029"	"2008"	"2008"	Suppressed	14874	Suppressed
	"Cleburne County, AL"	"01029"	"2009"	"2009"	Suppressed	14918	Suppressed
	"Cleburne County, AL"	"01029"	"2010"	"2010"	Suppressed	14972	Suppressed
	"Cleburne County, AL"	"01029"	"2011"	"2011"	Suppressed	14835	Suppressed
	"Coffee County, AL"	"01031"	"2007"	"2007"	Suppressed	47458	Suppressed
	"Coffee County, AL"	"01031"	"2008"	"2008"	Suppressed	48516	Suppressed
	"Coffee County, AL"	"01031"	"2009"	"2009"	Suppressed	49440	Suppressed
	"Coffee County, AL"	"01031"	"2010"	"2010"	Suppressed	49948	Suppressed
	"Coffee County, AL"	"01031"	"2011"	"2011"	Suppressed	50526	Suppressed
	"Colbert County, AL"	"01033"	"2007"	"2007"	Suppressed	54486	Suppressed
	"Colbert County, AL"	"01033"	"2008"	"2008"	Suppressed	54473	Suppressed
	"Colbert County, AL"	"01033"	"2009"	"2009"	Suppressed	54426	Suppressed
	"Colbert County, AL"	"01033"	"2010"	"2010"	Suppressed	54428	Suppressed
	"Colbert County, AL"	"01033"	"2011"	"2011"	Suppressed	54512	Suppressed
	"Conecuh County, AL"	"01035"	"2007"	"2007"	Suppressed	13441	Suppressed
	"Conecuh County, AL"	"01035"	"2008"	"2008"	Suppressed	13388	Suppressed
	"Conecuh County, AL"	"01035"	"2009"	"2009"	Suppressed	13274	Suppressed
	"Conecuh County, AL"	"01035"	"2010"	"2010"	Suppressed	13228	Suppressed
	"Conecuh County, AL"	"01035"	"2011"	"2011"	Suppressed	13105	Suppressed
	"Coosa County, AL"	"01037"	"2007"	"2007"	Suppressed	11439	Suppressed
	"Coosa County, AL"	"01037"	"2008"	"2008"	Suppressed	11493	Suppressed
	"Coosa County, AL"	"01037"	"2009"	"2009"	Suppressed	11410	Suppressed
	"Coosa County, AL"	"01037"	"2010"	"2010"	Suppressed	11539	Suppressed
	"Coosa County, AL"	"01037"	"2011"	"2011"	Suppressed	10713	Suppressed
	"Covington County, AL"	"01039"	"2007"	"2007"	Suppressed	37631	Suppressed
	"Covington County, AL"	"01039"	"2008"	"2008"	Suppressed	37545	Suppressed
	"Covington County, AL"	"01039"	"2009"	"2009"	Suppressed	37648	Suppressed
