"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"County"	"County Code"	Deaths	Population	Crude Rate
"Total"	"< 1 year"	"1"			50	11887478	0.4
"Total"	"1-4 years"	"1-4"			110	47885700	0.2
"Total"	"5-14 years"	"5-14"			97	123240230	0.1
	"15-24 years"	"15-24"	"Jefferson County, AL"	"01073"	45	251856	17.9
	"15-24 years"	"15-24"	"Anchorage Borough, AK"	"02020"	15	130262	Unreliable
	"15-24 years"	"15-24"	"Maricopa County, AZ"	"04013"	215	1717991	12.5
	"15-24 years"	"15-24"	"Pima County, AZ"	"04019"	49	478731	10.2
	"15-24 years"	"15-24"	"Pinal County, AZ"	"04021"	11	147222	Unreliable
	"15-24 years"	"15-24"	"Pulaski County, AR"	"05119"	10	148176	Unreliable
	"15-24 years"	"15-24"	"Alameda County, CA"	"06001"	14	593353	Unreliable
	"15-24 years"	"15-24"	"Fresno County, CA"	"06019"	15	438585	Unreliable
	"15-24 years"	"15-24"	"Kern County, CA"	"06029"	16	404987	Unreliable
	"15-24 years"	"15-24"	"Los Angeles County, CA"	"06037"	143	4192167	3.4
	"15-24 years"	"15-24"	"Orange County, CA"	"06059"	95	1284206	7.4
	"15-24 years"	"15-24"	"Riverside County, CA"	"06065"	43	1045113	4.1
	"15-24 years"	"15-24"	"Sacramento County, CA"	"06067"	20	585158	3.4
	"15-24 years"	"15-24"	"San Bernardino County, CA"	"06071"	11	987720	Unreliable
	"15-24 years"	"15-24"	"San Diego County, CA"	"06073"	59	1417306	4.2
	"15-24 years"	"15-24"	"San Francisco County, CA"	"06075"	10	242138	Unreliable
	"15-24 years"	"15-24"	"San Joaquin County, CA"	"06077"	10	321482	Unreliable
	"15-24 years"	"15-24"	"San Mateo County, CA"	"06081"	11	247945	Unreliable
	"15-24 years"	"15-24"	"Santa Barbara County, CA"	"06083"	17	261467	Unreliable
	"15-24 years"	"15-24"	"Santa Clara County, CA"	"06085"	29	705500	4.1
	"15-24 years"	"15-24"	"Sonoma County, CA"	"06097"	12	180456	Unreliable
	"15-24 years"	"15-24"	"Ventura County, CA"	"06111"	17	351595	Unreliable
	"15-24 years"	"15-24"	"Adams County, CO"	"08001"	14	196489	Unreliable
	"15-24 years"	"15-24"	"Arapahoe County, CO"	"08005"	17	239053	Unreliable
	"15-24 years"	"15-24"	"Denver County, CO"	"08031"	24	230448	10.4
	"15-24 years"	"15-24"	"El Paso County, CO"	"08041"	38	316226	12.0
	"15-24 years"	"15-24"	"Jefferson County, CO"	"08059"	15	199854	Unreliable
	"15-24 years"	"15-24"	"Larimer County, CO"	"08069"	10	184159	Unreliable
	"15-24 years"	"15-24"	"Fairfield County, CT"	"09001"	48	383102	12.5
	"15-24 years"	"15-24"	"Hartford County, CT"	"09003"	60	352712	17.0
	"15-24 years"	"15-24"	"Litchfield County, CT"	"09005"	15	63133	Unreliable
	"15-24 years"	"15-24"	"Middlesex County, CT"	"09007"	11	61556	Unreliable
	"15-24 years"	"15-24"	"New Haven County, CT"	"09009"	43	360394	11.9
	"15-24 years"	"15-24"	"New London County, CT"	"09011"	21	113594	18.5
	"15-24 years"	"15-24"	"New Castle County, DE"	"10003"	27	225089	12.0
	"15-24 years"	"15-24"	"Sussex County, DE"	"10005"	12	64226	Unreliable
	"15-24 years"	"15-24"	"District of Columbia, DC"	"11001"	10	283325	Unreliable
	"15-24 years"	"15-24"	"Brevard County, FL"	"12009"	11	188313	Unreliable
	"15-24 years"	"15-24"	"Broward County, FL"	"12011"	42	678127	6.2
	"15-24 years"	"15-24"	"Clay County, FL"	"12019"	12	80476	Unreliable
	"15-24 years"	"15-24"	"Collier County, FL"	"12021"	16	106902	Unreliable
	"15-24 years"	"15-24"	"Duval County, FL"	"12031"	40	353693	11.3
	"15-24 years"	"15-24"	"Escambia County, FL"	"12033"	11	145130	Unreliable
	"15-24 years"	"15-24"	"Hillsborough County, FL"	"12057"	25	537813	4.6
	"15-24 years"	"15-24"	"Lake County, FL"	"12069"	10	103511	Unreliable
	"15-24 years"	"15-24"	"Lee County, FL"	"12071"	32	219217	14.6
	"15-24 years"	"15-24"	"Manatee County, FL"	"12081"	37	113886	32.5
	"15-24 years"	"15-24"	"Miami-Dade County, FL"	"12086"	72	989519	7.3
	"15-24 years"	"15-24"	"Okaloosa County, FL"	"12091"	12	76241	Unreliable
	"15-24 years"	"15-24"	"Orange County, FL"	"12095"	42	580011	7.2
	"15-24 years"	"15-24"	"Osceola County, FL"	"12097"	15	140924	Unreliable
	"15-24 years"	"15-24"	"Palm Beach County, FL"	"12099"	68	479382	14.2
	"15-24 years"	"15-24"	"Pinellas County, FL"	"12103"	19	283096	Unreliable
	"15-24 years"	"15-24"	"Sarasota County, FL"	"12115"	24	105710	22.7
	"15-24 years"	"15-24"	"Seminole County, FL"	"12117"	28	171209	16.4
	"15-24 years"	"15-24"	"Volusia County, FL"	"12127"	14	181269	Unreliable
	"15-24 years"	"15-24"	"Cherokee County, GA"	"13057"	13	91163	Unreliable
	"15-24 years"	"15-24"	"Cobb County, GA"	"13067"	38	298451	12.7
	"15-24 years"	"15-24"	"DeKalb County, GA"	"13089"	17	273890	Unreliable
	"15-24 years"	"15-24"	"Forsyth County, GA"	"13117"	12	80913	Unreliable
	"15-24 years"	"15-24"	"Fulton County, GA"	"13121"	28	433070	6.5
	"15-24 years"	"15-24"	"Gwinnett County, GA"	"13135"	37	382316	9.7
	"15-24 years"	"15-24"	"Honolulu County, HI"	"15003"	12	389157	Unreliable
	"15-24 years"	"15-24"	"Cook County, IL"	"17031"	178	2010214	8.9
	"15-24 years"	"15-24"	"DuPage County, IL"	"17043"	57	364363	15.6
	"15-24 years"	"15-24"	"Kane County, IL"	"17089"	22	219912	10.0
	"15-24 years"	"15-24"	"Lake County, IL"	"17097"	25	318730	7.8
	"15-24 years"	"15-24"	"McHenry County, IL"	"17111"	26	123478	21.1
	"15-24 years"	"15-24"	"Madison County, IL"	"17119"	15	96341	Unreliable
	"15-24 years"	"15-24"	"St. Clair County, IL"	"17163"	11	100377	Unreliable
	"15-24 years"	"15-24"	"Sangamon County, IL"	"17167"	10	72526	Unreliable
	"15-24 years"	"15-24"	"Tazewell County, IL"	"17179"	14	45094	Unreliable
	"15-24 years"	"15-24"	"Will County, IL"	"17197"	41	292996	14.0
	"15-24 years"	"15-24"	"Winnebago County, IL"	"17201"	15	108277	Unreliable
	"15-24 years"	"15-24"	"Hamilton County, IN"	"18057"	16	117237	Unreliable
	"15-24 years"	"15-24"	"Lake County, IN"	"18089"	23	192623	11.9
	"15-24 years"	"15-24"	"Marion County, IN"	"18097"	40	376263	10.6
	"15-24 years"	"15-24"	"Porter County, IN"	"18127"	14	67925	Unreliable
	"15-24 years"	"15-24"	"Wayne County, IN"	"18177"	12	25727	Unreliable
	"15-24 years"	"15-24"	"Polk County, IA"	"19153"	19	181295	Unreliable
	"15-24 years"	"15-24"	"Johnson County, KS"	"20091"	13	214345	Unreliable
	"15-24 years"	"15-24"	"Fayette County, KY"	"21067"	22	166871	13.2
	"15-24 years"	"15-24"	"Jefferson County, KY"	"21111"	58	284227	20.4
	"15-24 years"	"15-24"	"Kenton County, KY"	"21117"	10	59563	Unreliable
	"15-24 years"	"15-24"	"East Baton Rouge Parish, LA"	"22033"	12	241628	Unreliable
	"15-24 years"	"15-24"	"Jefferson Parish, LA"	"22051"	16	150885	Unreliable
	"15-24 years"	"15-24"	"St. Tammany Parish, LA"	"22103"	14	91895	Unreliable
	"15-24 years"	"15-24"	"Cumberland County, ME"	"23005"	16	108108	Unreliable
	"15-24 years"	"15-24"	"York County, ME"	"23031"	14	68285	Unreliable
	"15-24 years"	"15-24"	"Anne Arundel County, MD"	"24003"	43	214505	20.0
	"15-24 years"	"15-24"	"Baltimore County, MD"	"24005"	71	316008	22.5
	"15-24 years"	"15-24"	"Calvert County, MD"	"24009"	10	36040	Unreliable
	"15-24 years"	"15-24"	"Carroll County, MD"	"24013"	18	66405	Unreliable
	"15-24 years"	"15-24"	"Charles County, MD"	"24017"	13	64474	Unreliable
	"15-24 years"	"15-24"	"Frederick County, MD"	"24021"	28	97754	28.6
	"15-24 years"	"15-24"	"Harford County, MD"	"24025"	31	94748	32.7
	"15-24 years"	"15-24"	"Howard County, MD"	"24027"	18	120475	Unreliable
	"15-24 years"	"15-24"	"Montgomery County, MD"	"24031"	35	374897	9.3
	"15-24 years"	"15-24"	"Washington County, MD"	"24043"	14	54486	Unreliable
	"15-24 years"	"15-24"	"Baltimore city, MD"	"24510"	39	244306	16.0
	"15-24 years"	"15-24"	"Barnstable County, MA"	"25001"	27	65134	41.5
	"15-24 years"	"15-24"	"Berkshire County, MA"	"25003"	10	49994	Unreliable
	"15-24 years"	"15-24"	"Bristol County, MA"	"25005"	46	221156	20.8
	"15-24 years"	"15-24"	"Essex County, MA"	"25009"	51	310988	16.4
	"15-24 years"	"15-24"	"Hampden County, MA"	"25013"	22	208230	10.6
	"15-24 years"	"15-24"	"Hampshire County, MA"	"25015"	13	128634	Unreliable
	"15-24 years"	"15-24"	"Middlesex County, MA"	"25017"	98	642086	15.3
	"15-24 years"	"15-24"	"Norfolk County, MA"	"25021"	52	265946	19.6
	"15-24 years"	"15-24"	"Plymouth County, MA"	"25023"	45	198841	22.6
	"15-24 years"	"15-24"	"Suffolk County, MA"	"25025"	28	390706	7.2
	"15-24 years"	"15-24"	"Worcester County, MA"	"25027"	57	343073	16.6
	"15-24 years"	"15-24"	"Genesee County, MI"	"26049"	22	159859	13.8
