"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	"2007"	"2007"	11	91688	Unreliable
	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	"2008"	"2008"	13	92238	Unreliable
	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	"2009"	"2009"	14	93216	Unreliable
	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	"2010"	"2010"	12	93297	Unreliable
	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	"2011"	"2011"	10	94558	Unreliable
	"Jefferson County, AL"	"01073"	"35-44 years"	"35-44"	"2008"	"2008"	13	86025	Unreliable
	"Jefferson County, AL"	"01073"	"35-44 years"	"35-44"	"2009"	"2009"	12	84776	Unreliable
	"Jefferson County, AL"	"01073"	"35-44 years"	"35-44"	"2011"	"2011"	10	82074	Unreliable
	"Jefferson County, AL"	"01073"	"45-54 years"	"45-54"	"2009"	"2009"	20	96229	20.8
	"Jefferson County, AL"	"01073"	"45-54 years"	"45-54"	"2011"	"2011"	11	93013	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2010"	"2010"	10	45440	Unreliable
	"Anchorage Borough, AK"	"02020"	"45-54 years"	"45-54"	"2008"	"2008"	13	44516	Unreliable
	"Anchorage Borough, AK"	"02020"	"45-54 years"	"45-54"	"2009"	"2009"	15	45121	Unreliable
	"Maricopa County, AZ"	"04013"	"15-24 years"	"15-24"	"2007"	"2007"	32	527908	6.1
	"Maricopa County, AZ"	"04013"	"15-24 years"	"15-24"	"2008"	"2008"	30	538454	5.6
	"Maricopa County, AZ"	"04013"	"15-24 years"	"15-24"	"2009"	"2009"	52	542971	9.6
	"Maricopa County, AZ"	"04013"	"15-24 years"	"15-24"	"2010"	"2010"	44	543771	8.1
	"Maricopa County, AZ"	"04013"	"15-24 years"	"15-24"	"2011"	"2011"	49	549661	8.9
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"2007"	"2007"	48	551446	8.7
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"2008"	"2008"	53	552012	9.6
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"2009"	"2009"	62	548628	11.3
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"2010"	"2010"	67	541126	12.4
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"2011"	"2011"	65	551691	11.8
	"Maricopa County, AZ"	"04013"	"35-44 years"	"35-44"	"2007"	"2007"	67	531393	12.6
