"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2007"	"2007"	"< 1 year"	"1"	12	4147997	Unreliable
	"2007"	"2007"	"1-4 years"	"1-4"	33	15977965	0.2
	"2007"	"2007"	"5-14 years"	"5-14"	40	40555653	0.1
	"2007"	"2007"	"15-24 years"	"15-24"	2220	43145815	5.1
	"2007"	"2007"	"25-34 years"	"25-34"	3910	39713463	9.8
	"2007"	"2007"	"35-44 years"	"35-44"	4842	42796230	11.3
	"2007"	"2007"	"45-54 years"	"45-54"	5756	43939939	13.1
	"2007"	"2007"	"55-64 years"	"55-64"	1979	33128434	6.0
	"2007"	"2007"	"65-74 years"	"65-74"	309	19698727	1.6
	"2007"	"2007"	"75-84 years"	"75-84"	120	13087439	0.9
	"2007"	"2007"	"85+ years"	"85+"	63	5039545	1.3
	"2007"	"2007"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"2007"	"2007"			19286	301231207	6.4
	"2008"	"2008"	"< 1 year"	"1"	10	4132735	Unreliable
	"2008"	"2008"	"1-4 years"	"1-4"	38	16138392	0.2
	"2008"	"2008"	"5-14 years"	"5-14"	38	40636257	0.1
	"2008"	"2008"	"15-24 years"	"15-24"	2329	43391492	5.4
	"2008"	"2008"	"25-34 years"	"25-34"	4121	40207473	10.2
	"2008"	"2008"	"35-44 years"	"35-44"	4873	42192486	11.5
	"2008"	"2008"	"45-54 years"	"45-54"	6121	44460447	13.8
	"2008"	"2008"	"55-64 years"	"55-64"	2257	34157063	6.6
	"2008"	"2008"	"65-74 years"	"65-74"	388	20505679	1.9
	"2008"	"2008"	"75-84 years"	"75-84"	121	13076102	0.9
	"2008"	"2008"	"85+ years"	"85+"	45	5195840	0.9
	"2008"	"2008"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"2008"	"2008"			20343	304093966	6.7
	"2009"	"2009"	"< 1 year"	"1"	10	4003587	Unreliable
	"2009"	"2009"	"1-4 years"	"1-4"	27	16240931	0.2
