"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"2007"	"2007"	12	4147997	Unreliable
	"< 1 year"	"1"	"2008"	"2008"	10	4132735	Unreliable
	"< 1 year"	"1"	"2009"	"2009"	10	4003587	Unreliable
	"< 1 year"	"1"	"2010"	"2010"	14	3944153	Unreliable
	"< 1 year"	"1"	"2011"	"2011"	13	3996537	Unreliable
	"< 1 year"	"1"	"2012"	"2012"	19	3943077	Unreliable
	"< 1 year"	"1"	"2013"	"2013"	10	3941783	Unreliable
	"< 1 year"	"1"	"2014"	"2014"	9	3948350	Unreliable
	"< 1 year"	"1"	"2015"	"2015"	16	3978038	Unreliable
	"< 1 year"	"1"	"2016"	"2016"	15	3970145	Unreliable
	"< 1 year"	"1"	"2017"	"2017"	19	3939295	Unreliable
	"< 1 year"	"1"	"2018"	"2018"	16	3848208	Unreliable
"Total"	"< 1 year"	"1"			163	47793905	0.3
	"1-4 years"	"1-4"	"2007"	"2007"	33	15977965	0.2
	"1-4 years"	"1-4"	"2008"	"2008"	38	16138392	0.2
	"1-4 years"	"1-4"	"2009"	"2009"	27	16240931	0.2
	"1-4 years"	"1-4"	"2010"	"2010"	27	16257209	0.2
	"1-4 years"	"1-4"	"2011"	"2011"	32	16165521	0.2
	"1-4 years"	"1-4"	"2012"	"2012"	27	16056267	0.2
	"1-4 years"	"1-4"	"2013"	"2013"	31	15926305	0.2
	"1-4 years"	"1-4"	"2014"	"2014"	35	15928533	0.2
	"1-4 years"	"1-4"	"2015"	"2015"	44	15929243	0.3
	"1-4 years"	"1-4"	"2016"	"2016"	39	15956892	0.2
	"1-4 years"	"1-4"	"2017"	"2017"	27	15999565	0.2
	"1-4 years"	"1-4"	"2018"	"2018"	28	15962067	0.2
"Total"	"1-4 years"	"1-4"			388	192538890	0.2
	"5-14 years"	"5-14"	"2007"	"2007"	40	40555653	0.1
	"5-14 years"	"5-14"	"2008"	"2008"	38	40636257	0.1
	"5-14 years"	"5-14"	"2009"	"2009"	26	40843063	0.1
	"5-14 years"	"5-14"	"2010"	"2010"	43	41025851	0.1
	"5-14 years"	"5-14"	"2011"	"2011"	28	41039048	0.1
	"5-14 years"	"5-14"	"2012"	"2012"	23	41144754	0.1
	"5-14 years"	"5-14"	"2013"	"2013"	21	41221035	0.1
	"5-14 years"	"5-14"	"2014"	"2014"	23	41191072	0.1
	"5-14 years"	"5-14"	"2015"	"2015"	29	41109506	0.1
	"5-14 years"	"5-14"	"2016"	"2016"	34	41048032	0.1
	"5-14 years"	"5-14"	"2017"	"2017"	34	41082692	0.1
	"5-14 years"	"5-14"	"2018"	"2018"	23	41075169	0.1
"Total"	"5-14 years"	"5-14"			362	491972132	0.1
	"15-24 years"	"15-24"	"2007"	"2007"	2220	43145815	5.1
	"15-24 years"	"15-24"	"2008"	"2008"	2329	43391492	5.4
	"15-24 years"	"15-24"	"2009"	"2009"	2287	43576932	5.2
	"15-24 years"	"15-24"	"2010"	"2010"	2441	43626342	5.6
	"15-24 years"	"15-24"	"2011"	"2011"	2600	43797875	5.9
	"15-24 years"	"15-24"	"2012"	"2012"	2383	43943905	5.4
	"15-24 years"	"15-24"	"2013"	"2013"	2523	43954402	5.7
	"15-24 years"	"15-24"	"2014"	"2014"	2749	43979821	6.3
	"15-24 years"	"15-24"	"2015"	"2015"	3147	43848216	7.2
	"15-24 years"	"15-24"	"2016"	"2016"	4084	43511027	9.4
	"15-24 years"	"15-24"	"2017"	"2017"	4151	43250295	9.6
	"15-24 years"	"15-24"	"2018"	"2018"	3666	42970800	8.5
"Total"	"15-24 years"	"15-24"			34580	522996922	6.6
	"25-34 years"	"25-34"	"2007"	"2007"	3910	39713463	9.8
	"25-34 years"	"25-34"	"2008"	"2008"	4121	40207473	10.2
	"25-34 years"	"25-34"	"2009"	"2009"	4474	40723342	11.0
	"25-34 years"	"25-34"	"2010"	"2010"	4805	41063948	11.7
	"25-34 years"	"25-34"	"2011"	"2011"	5431	41790498	13.0
	"25-34 years"	"25-34"	"2012"	"2012"	5542	42309321	13.1
	"25-34 years"	"25-34"	"2013"	"2013"	6031	42844587	14.1
	"25-34 years"	"25-34"	"2014"	"2014"	7171	43516504	16.5
	"25-34 years"	"25-34"	"2015"	"2015"	8719	44137202	19.8
	"25-34 years"	"25-34"	"2016"	"2016"	11777	44677243	26.4
	"25-34 years"	"25-34"	"2017"	"2017"	13389	45342672	29.5
	"25-34 years"	"25-34"	"2018"	"2018"	13050	45697774	28.6
"Total"	"25-34 years"	"25-34"			88420	512024027	17.3
	"35-44 years"	"35-44"	"2007"	"2007"	4842	42796230	11.3
	"35-44 years"	"35-44"	"2008"	"2008"	4873	42192486	11.5
	"35-44 years"	"35-44"	"2009"	"2009"	4881	41487811	11.8
	"35-44 years"	"35-44"	"2010"	"2010"	4935	41070606	12.0
	"35-44 years"	"35-44"	"2011"	"2011"	5234	40627954	12.9
	"35-44 years"	"35-44"	"2012"	"2012"	5274	40516420	13.0
	"35-44 years"	"35-44"	"2013"	"2013"	5567	40452690	13.8
	"35-44 years"	"35-44"	"2014"	"2014"	6528	40513133	16.1
	"35-44 years"	"35-44"	"2015"	"2015"	7655	40589783	18.9
	"35-44 years"	"35-44"	"2016"	"2016"	9947	40470156	24.6
	"35-44 years"	"35-44"	"2017"	"2017"	11385	40875370	27.9
	"35-44 years"	"35-44"	"2018"	"2018"	11659	41277888	28.2
"Total"	"35-44 years"	"35-44"			82780	492870527	16.8
	"45-54 years"	"45-54"	"2007"	"2007"	5756	43939939	13.1
	"45-54 years"	"45-54"	"2008"	"2008"	6121	44460447	13.8
	"45-54 years"	"45-54"	"2009"	"2009"	6308	44867088	14.1
	"45-54 years"	"45-54"	"2010"	"2010"	6256	45006716	13.9
	"45-54 years"	"45-54"	"2011"	"2011"	6555	44718203	14.7
	"45-54 years"	"45-54"	"2012"	"2012"	6585	44268738	14.9
	"45-54 years"	"45-54"	"2013"	"2013"	6761	43767532	15.4
	"45-54 years"	"45-54"	"2014"	"2014"	7274	43458851	16.7
	"45-54 years"	"45-54"	"2015"	"2015"	7858	43188161	18.2
	"45-54 years"	"45-54"	"2016"	"2016"	9410	42786679	22.0
	"45-54 years"	"45-54"	"2017"	"2017"	10490	42374952	24.8
	"45-54 years"	"45-54"	"2018"	"2018"	9834	41631699	23.6
"Total"	"45-54 years"	"45-54"			89208	524469005	17.0
	"55-64 years"	"55-64"	"2007"	"2007"	1979	33128434	6.0
	"55-64 years"	"55-64"	"2008"	"2008"	2257	34157063	6.6
	"55-64 years"	"55-64"	"2009"	"2009"	2656	35405600	7.5
	"55-64 years"	"55-64"	"2010"	"2010"	2911	36482729	8.0
	"55-64 years"	"55-64"	"2011"	"2011"	3168	38062140	8.3
	"55-64 years"	"55-64"	"2012"	"2012"	3439	38586202	8.9
	"55-64 years"	"55-64"	"2013"	"2013"	4120	39316431	10.5
	"55-64 years"	"55-64"	"2014"	"2014"	4700	40077581	11.7
	"55-64 years"	"55-64"	"2015"	"2015"	5363	40877819	13.1
	"55-64 years"	"55-64"	"2016"	"2016"	6617	41463144	16.0
	"55-64 years"	"55-64"	"2017"	"2017"	7473	41995658	17.8
	"55-64 years"	"55-64"	"2018"	"2018"	7596	42272636	18.0
"Total"	"55-64 years"	"55-64"			52279	461825437	11.3
	"65-74 years"	"65-74"	"2007"	"2007"	309	19698727	1.6
	"65-74 years"	"65-74"	"2008"	"2008"	388	20505679	1.9
	"65-74 years"	"65-74"	"2009"	"2009"	450	21233099	2.1
	"65-74 years"	"65-74"	"2010"	"2010"	425	21713429	2.0
	"65-74 years"	"65-74"	"2011"	"2011"	515	22481738	2.3
	"65-74 years"	"65-74"	"2012"	"2012"	604	23985392	2.5
	"65-74 years"	"65-74"	"2013"	"2013"	744	25216766	3.0
	"65-74 years"	"65-74"	"2014"	"2014"	921	26398290	3.5
	"65-74 years"	"65-74"	"2015"	"2015"	1061	27550517	3.9
	"65-74 years"	"65-74"	"2016"	"2016"	1308	28630330	4.6
	"65-74 years"	"65-74"	"2017"	"2017"	1550	29683446	5.2
	"65-74 years"	"65-74"	"2018"	"2018"	1842	30492316	6.0
"Total"	"65-74 years"	"65-74"			10117	297589729	3.4
	"75-84 years"	"75-84"	"2007"	"2007"	120	13087439	0.9
	"75-84 years"	"75-84"	"2008"	"2008"	121	13076102	0.9
	"75-84 years"	"75-84"	"2009"	"2009"	142	13022775	1.1
	"75-84 years"	"75-84"	"2010"	"2010"	118	13061122	0.9
	"75-84 years"	"75-84"	"2011"	"2011"	123	13175230	0.9
	"75-84 years"	"75-84"	"2012"	"2012"	147	13272634	1.1
	"75-84 years"	"75-84"	"2013"	"2013"	135	13446519	1.0
	"75-84 years"	"75-84"	"2014"	"2014"	159	13682690	1.2
	"75-84 years"	"75-84"	"2015"	"2015"	194	13923174	1.4
	"75-84 years"	"75-84"	"2016"	"2016"	191	14233534	1.3
	"75-84 years"	"75-84"	"2017"	"2017"	242	14706551	1.6
	"75-84 years"	"75-84"	"2018"	"2018"	257	15394374	1.7
"Total"	"75-84 years"	"75-84"			1949	164082144	1.2
	"85+ years"	"85+"	"2007"	"2007"	63	5039545	1.3
	"85+ years"	"85+"	"2008"	"2008"	45	5195840	0.9
	"85+ years"	"85+"	"2009"	"2009"	48	5367301	0.9
	"85+ years"	"85+"	"2010"	"2010"	81	5493433	1.5
	"85+ years"	"85+"	"2011"	"2011"	54	5737173	0.9
	"85+ years"	"85+"	"2012"	"2012"	62	5887330	1.1
	"85+ years"	"85+"	"2013"	"2013"	77	6040789	1.3
	"85+ years"	"85+"	"2014"	"2014"	79	6162231	1.3
	"85+ years"	"85+"	"2015"	"2015"	74	6287161	1.2
	"85+ years"	"85+"	"2016"	"2016"	65	6380331	1.0
	"85+ years"	"85+"	"2017"	"2017"	88	6468682	1.4
