"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	Suppressed	174188	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	Suppressed	704904	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	Suppressed	1835743	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	92	1965462	4.7
	"Alabama"	"01"	"25-34 years"	"25-34"	304	1910515	15.9
	"Alabama"	"01"	"35-44 years"	"35-44"	277	1790004	15.5
	"Alabama"	"01"	"45-54 years"	"45-54"	233	1930092	12.1
	"Alabama"	"01"	"55-64 years"	"55-64"	140	1933634	7.2
	"Alabama"	"01"	"65-74 years"	"65-74"	23	1392274	1.7
	"Alabama"	"01"	"75-84 years"	"75-84"	Suppressed	699839	Suppressed
	"Alabama"	"01"	"85+ years"	"85+"	Suppressed	260371	Suppressed
	"Alabama"	"01"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"			1077	14597026	7.4
	"Alaska"	"02"	"< 1 year"	"1"	Suppressed	33420	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	Suppressed	130227	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	Suppressed	305570	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	33	317410	10.4
	"Alaska"	"02"	"25-34 years"	"25-34"	84	361154	23.3
	"Alaska"	"02"	"35-44 years"	"35-44"	65	275513	23.6
	"Alaska"	"02"	"45-54 years"	"45-54"	60	279892	21.4
	"Alaska"	"02"	"55-64 years"	"55-64"	45	284312	15.8
	"Alaska"	"02"	"65-74 years"	"65-74"	11	157446	Unreliable
	"Alaska"	"02"	"75-84 years"	"75-84"	Suppressed	56066	Suppressed
	"Alaska"	"02"	"85+ years"	"85+"	Suppressed	19111	Suppressed
	"Alaska"	"02"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"			302	2220121	13.6
	"Arizona"	"04"	"< 1 year"	"1"	Suppressed	259738	Suppressed
	"Arizona"	"04"	"1-4 years"	"1-4"	Suppressed	1046087	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	Suppressed	2748040	Suppressed
	"Arizona"	"04"	"15-24 years"	"15-24"	307	2851112	10.8
	"Arizona"	"04"	"25-34 years"	"25-34"	583	2802667	20.8
	"Arizona"	"04"	"35-44 years"	"35-44"	502	2545513	19.7
	"Arizona"	"04"	"45-54 years"	"45-54"	491	2538429	19.3
	"Arizona"	"04"	"55-64 years"	"55-64"	423	2491096	17.0
	"Arizona"	"04"	"65-74 years"	"65-74"	130	2037243	6.4
	"Arizona"	"04"	"75-84 years"	"75-84"	26	1051131	2.5
	"Arizona"	"04"	"85+ years"	"85+"	Suppressed	404350	Suppressed
	"Arizona"	"04"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"			2477	20775406	11.9
	"Arkansas"	"05"	"< 1 year"	"1"	Suppressed	113401	Suppressed
	"Arkansas"	"05"	"1-4 years"	"1-4"	Suppressed	459169	Suppressed
	"Arkansas"	"05"	"5-14 years"	"5-14"	Suppressed	1182728	Suppressed
	"Arkansas"	"05"	"15-24 years"	"15-24"	49	1207822	4.1
	"Arkansas"	"05"	"25-34 years"	"25-34"	125	1177177	10.6
	"Arkansas"	"05"	"35-44 years"	"35-44"	143	1096776	13.0
	"Arkansas"	"05"	"45-54 years"	"45-54"	138	1135910	12.1
	"Arkansas"	"05"	"55-64 years"	"55-64"	89	1134721	7.8
	"Arkansas"	"05"	"65-74 years"	"65-74"	23	851500	2.7
	"Arkansas"	"05"	"75-84 years"	"75-84"	Suppressed	440985	Suppressed
	"Arkansas"	"05"	"85+ years"	"85+"	Suppressed	170542	Suppressed
	"Arkansas"	"05"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"			583	8970731	6.5
