"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Alabama"	"01"	Suppressed	172910	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	Suppressed	32702	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	Suppressed	256851	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	Suppressed	112604	Suppressed
	"< 1 year"	"1"	"California"	"06"	Suppressed	1464631	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	Suppressed	201284	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	Suppressed	106602	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	Suppressed	32418	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	Suppressed	29101	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	Suppressed	672650	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	Suppressed	387790	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	Suppressed	53550	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	Suppressed	68245	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	Suppressed	454578	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	Suppressed	246716	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	Suppressed	116867	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	Suppressed	112700	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	Suppressed	163004	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	Suppressed	184593	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	Suppressed	37637	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	Suppressed	215682	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	Suppressed	214167	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	Suppressed	335857	Suppressed
	"< 1 year"	"1"	"Minnesota"	"27"	Suppressed	207854	Suppressed
	"< 1 year"	"1"	"Mississippi"	"28"	Suppressed	110045	Suppressed
	"< 1 year"	"1"	"Missouri"	"29"	Suppressed	219962	Suppressed
	"< 1 year"	"1"	"Montana"	"30"	Suppressed	37281	Suppressed
	"< 1 year"	"1"	"Nebraska"	"31"	Suppressed	78789	Suppressed
	"< 1 year"	"1"	"Nevada"	"32"	Suppressed	109203	Suppressed
	"< 1 year"	"1"	"New Hampshire"	"33"	Suppressed	37181	Suppressed
	"< 1 year"	"1"	"New Jersey"	"34"	Suppressed	304533	Suppressed
	"< 1 year"	"1"	"New Mexico"	"35"	Suppressed	73803	Suppressed
	"< 1 year"	"1"	"New York"	"36"	Suppressed	696233	Suppressed
	"< 1 year"	"1"	"North Carolina"	"37"	Suppressed	359693	Suppressed
	"< 1 year"	"1"	"North Dakota"	"38"	Suppressed	33290	Suppressed
	"< 1 year"	"1"	"Ohio"	"39"	Suppressed	408603	Suppressed
	"< 1 year"	"1"	"Oklahoma"	"40"	Suppressed	154639	Suppressed
	"< 1 year"	"1"	"Oregon"	"41"	Suppressed	138775	Suppressed
	"< 1 year"	"1"	"Pennsylvania"	"42"	Suppressed	414295	Suppressed
	"< 1 year"	"1"	"Rhode Island"	"44"	Suppressed	32326	Suppressed
	"< 1 year"	"1"	"South Carolina"	"45"	Suppressed	171778	Suppressed
	"< 1 year"	"1"	"South Dakota"	"46"	Suppressed	36583	Suppressed
	"< 1 year"	"1"	"Tennessee"	"47"	Suppressed	240900	Suppressed
	"< 1 year"	"1"	"Texas"	"48"	Suppressed	1199924	Suppressed
	"< 1 year"	"1"	"Utah"	"49"	Suppressed	152723	Suppressed
	"< 1 year"	"1"	"Vermont"	"50"	Suppressed	17518	Suppressed
	"< 1 year"	"1"	"Virginia"	"51"	Suppressed	301766	Suppressed
	"< 1 year"	"1"	"Washington"	"53"	Suppressed	272365	Suppressed
	"< 1 year"	"1"	"West Virginia"	"54"	Suppressed	56474	Suppressed
	"< 1 year"	"1"	"Wisconsin"	"55"	Suppressed	196265	Suppressed
	"< 1 year"	"1"	"Wyoming"	"56"	Suppressed	21708	Suppressed
"Total"	"< 1 year"	"1"			50	11757648	0.4
	"1-4 years"	"1-4"	"Alabama"	"01"	Suppressed	706412	Suppressed
	"1-4 years"	"1-4"	"Alaska"	"02"	Suppressed	128611	Suppressed
	"1-4 years"	"1-4"	"Arizona"	"04"	Suppressed	1055666	Suppressed
	"1-4 years"	"1-4"	"Arkansas"	"05"	Suppressed	459451	Suppressed
	"1-4 years"	"1-4"	"California"	"06"	Suppressed	5935554	Suppressed
	"1-4 years"	"1-4"	"Colorado"	"08"	Suppressed	809241	Suppressed
	"1-4 years"	"1-4"	"Connecticut"	"09"	Suppressed	445174	Suppressed
	"1-4 years"	"1-4"	"Delaware"	"10"	Suppressed	132219	Suppressed
	"1-4 years"	"1-4"	"District of Columbia"	"11"	Suppressed	105058	Suppressed
	"1-4 years"	"1-4"	"Florida"	"12"	Suppressed	2734764	Suppressed
	"1-4 years"	"1-4"	"Georgia"	"13"	Suppressed	1590776	Suppressed
	"1-4 years"	"1-4"	"Hawaii"	"15"	Suppressed	215798	Suppressed
	"1-4 years"	"1-4"	"Idaho"	"16"	Suppressed	280420	Suppressed
	"1-4 years"	"1-4"	"Illinois"	"17"	Suppressed	1851601	Suppressed
	"1-4 years"	"1-4"	"Indiana"	"18"	Suppressed	1014991	Suppressed
	"1-4 years"	"1-4"	"Iowa"	"19"	Suppressed	479762	Suppressed
	"1-4 years"	"1-4"	"Kansas"	"20"	Suppressed	464081	Suppressed
	"1-4 years"	"1-4"	"Kentucky"	"21"	Suppressed	665044	Suppressed
	"1-4 years"	"1-4"	"Louisiana"	"22"	Suppressed	745065	Suppressed
	"1-4 years"	"1-4"	"Maine"	"23"	Suppressed	156215	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	Suppressed	882302	Suppressed
