"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2007"	"2007"	"< 1 year"	"1"	"Alabama"	"01"	Suppressed	62907	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Alaska"	"02"	Suppressed	10650	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Arizona"	"04"	Suppressed	96177	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Arkansas"	"05"	Suppressed	40530	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"California"	"06"	Suppressed	527233	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Colorado"	"08"	Suppressed	68795	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Connecticut"	"09"	Suppressed	40579	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Delaware"	"10"	Suppressed	11619	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"District of Columbia"	"11"	Suppressed	7735	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Florida"	"12"	Suppressed	224817	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Georgia"	"13"	Suppressed	144910	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Hawaii"	"15"	Suppressed	18620	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Idaho"	"16"	Suppressed	24821	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Illinois"	"17"	Suppressed	171292	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Indiana"	"18"	Suppressed	88218	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Iowa"	"19"	Suppressed	41057	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Kansas"	"20"	Suppressed	41071	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Kentucky"	"21"	Suppressed	58021	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Louisiana"	"22"	Suppressed	64614	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Maine"	"23"	Suppressed	14385	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Maryland"	"24"	Suppressed	75872	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Massachusetts"	"25"	Suppressed	74969	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Michigan"	"26"	Suppressed	123680	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Minnesota"	"27"	Suppressed	73014	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Mississippi"	"28"	Suppressed	44937	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Missouri"	"29"	Suppressed	80083	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Montana"	"30"	Suppressed	12431	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Nebraska"	"31"	Suppressed	26338	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"Nevada"	"32"	Suppressed	39465	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"New Hampshire"	"33"	Suppressed	14021	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"New Jersey"	"34"	Suppressed	109121	Suppressed
	"2007"	"2007"	"< 1 year"	"1"	"New Mexico"	"35"	Suppressed	29618	Suppressed
