"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Alabama"	"01"	"2007"	"2007"	Suppressed	62907	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"2008"	"2008"	Suppressed	63816	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"2009"	"2009"	Suppressed	61793	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"2010"	"2010"	Suppressed	60056	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"2011"	"2011"	Suppressed	59427	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"2012"	"2012"	Suppressed	60523	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"2013"	"2013"	Suppressed	58439	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"2014"	"2014"	Suppressed	57854	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"2015"	"2015"	Suppressed	58017	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"2016"	"2016"	Suppressed	58269	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"2017"	"2017"	Suppressed	57902	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"2018"	"2018"	Suppressed	56739	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"2007"	"2007"	Suppressed	10650	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"2008"	"2008"	Suppressed	10815	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"2009"	"2009"	Suppressed	11076	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"2010"	"2010"	Suppressed	10828	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"2011"	"2011"	Suppressed	11177	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"2012"	"2012"	Suppressed	11303	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"2013"	"2013"	Suppressed	11558	Suppressed
