"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2007"	"2007"	"Alabama"	"01"	172	4672840	3.7
	"2007"	"2007"	"Alaska"	"02"	16	680300	Unreliable
	"2007"	"2007"	"Arizona"	"04"	490	6167681	7.9
	"2007"	"2007"	"Arkansas"	"05"	156	2848650	5.5
	"2007"	"2007"	"California"	"06"	1762	36250311	4.9
	"2007"	"2007"	"Colorado"	"08"	368	4803868	7.7
	"2007"	"2007"	"Connecticut"	"09"	249	3527270	7.1
	"2007"	"2007"	"Delaware"	"10"	52	871749	6.0
	"2007"	"2007"	"District of Columbia"	"11"	29	574404	5.0
	"2007"	"2007"	"Florida"	"12"	1519	18367842	8.3
	"2007"	"2007"	"Georgia"	"13"	404	9349988	4.3
	"2007"	"2007"	"Hawaii"	"15"	82	1315675	6.2
	"2007"	"2007"	"Idaho"	"16"	64	1505105	4.3
	"2007"	"2007"	"Illinois"	"17"	739	12695866	5.8
	"2007"	"2007"	"Indiana"	"18"	251	6379599	3.9
	"2007"	"2007"	"Iowa"	"19"	112	2999212	3.7
	"2007"	"2007"	"Kansas"	"20"	128	2783785	4.6
	"2007"	"2007"	"Kentucky"	"21"	356	4256672	8.4
	"2007"	"2007"	"Louisiana"	"22"	228	4375581	5.2
	"2007"	"2007"	"Maine"	"23"	108	1327040	8.1
	"2007"	"2007"	"Maryland"	"24"	620	5653408	11.0
	"2007"	"2007"	"Massachusetts"	"25"	660	6431559	10.3
	"2007"	"2007"	"Michigan"	"26"	523	10001284	5.2
	"2007"	"2007"	"Minnesota"	"27"	185	5207203	3.6
	"2007"	"2007"	"Mississippi"	"28"	98	2928350	3.3
	"2007"	"2007"	"Missouri"	"29"	406	5887612	6.9
	"2007"	"2007"	"Montana"	"30"	62	964706	6.4
	"2007"	"2007"	"Nebraska"	"31"	41	1783440	2.3
	"2007"	"2007"	"Nevada"	"32"	414	2601072	15.9
	"2007"	"2007"	"New Hampshire"	"33"	148	1312540	11.3
	"2007"	"2007"	"New Jersey"	"34"	348	8677885	4.0
	"2007"	"2007"	"New Mexico"	"35"	272	1990070	13.7
	"2007"	"2007"	"New York"	"36"	1064	19132335	5.6
	"2007"	"2007"	"North Carolina"	"37"	758	9118037	8.3
	"2007"	"2007"	"North Dakota"	"38"	17	652822	Unreliable
	"2007"	"2007"	"Ohio"	"39"	755	11500468	6.6
	"2007"	"2007"	"Oklahoma"	"40"	500	3634349	13.8
	"2007"	"2007"	"Oregon"	"41"	362	3722417	9.7
	"2007"	"2007"	"Pennsylvania"	"42"	501	12563937	4.0
	"2007"	"2007"	"Rhode Island"	"44"	89	1057315	8.4
	"2007"	"2007"	"South Carolina"	"45"	206	4444110	4.6
	"2007"	"2007"	"South Dakota"	"46"	21	791623	2.7
	"2007"	"2007"	"Tennessee"	"47"	494	6175727	8.0
	"2007"	"2007"	"Texas"	"48"	1064	23831983	4.5
	"2007"	"2007"	"Utah"	"49"	382	2597746	14.7
	"2007"	"2007"	"Vermont"	"50"	54	623481	8.7
	"2007"	"2007"	"Virginia"	"51"	520	7751000	6.7
	"2007"	"2007"	"Washington"	"53"	675	6461587	10.4
	"2007"	"2007"	"West Virginia"	"54"	347	1834052	18.9
	"2007"	"2007"	"Wisconsin"	"55"	390	5610775	7.0
	"2007"	"2007"	"Wyoming"	"56"	25	534876	4.7
	"2008"	"2008"	"Alabama"	"01"	195	4718206	4.1
	"2008"	"2008"	"Alaska"	"02"	94	687455	13.7
	"2008"	"2008"	"Arizona"	"04"	515	6280362	8.2
	"2008"	"2008"	"Arkansas"	"05"	210	2874554	7.3
	"2008"	"2008"	"California"	"06"	1889	36604337	5.2
	"2008"	"2008"	"Colorado"	"08"	365	4889730	7.5
	"2008"	"2008"	"Connecticut"	"09"	233	3545579	6.6
	"2008"	"2008"	"Delaware"	"10"	68	883874	7.7
	"2008"	"2008"	"District of Columbia"	"11"	33	580236	5.7
	"2008"	"2008"	"Florida"	"12"	1523	18527305	8.2
	"2008"	"2008"	"Georgia"	"13"	417	9504843	4.4
	"2008"	"2008"	"Hawaii"	"15"	58	1332213	4.4
	"2008"	"2008"	"Idaho"	"16"	75	1534320	4.9
	"2008"	"2008"	"Illinois"	"17"	895	12747038	7.0
	"2008"	"2008"	"Indiana"	"18"	324	6424806	5.0
	"2008"	"2008"	"Iowa"	"19"	138	3016734	4.6
	"2008"	"2008"	"Kansas"	"20"	103	2808076	3.7
	"2008"	"2008"	"Kentucky"	"21"	377	4289878	8.8
	"2008"	"2008"	"Louisiana"	"22"	141	4435586	3.2
	"2008"	"2008"	"Maine"	"23"	108	1330509	8.1
	"2008"	"2008"	"Maryland"	"24"	533	5684965	9.4
	"2008"	"2008"	"Massachusetts"	"25"	612	6468967	9.5
	"2008"	"2008"	"Michigan"	"26"	656	9946889	6.6
	"2008"	"2008"	"Minnesota"	"27"	234	5247018	4.5
	"2008"	"2008"	"Mississippi"	"28"	106	2947806	3.6
	"2008"	"2008"	"Missouri"	"29"	490	5923916	8.3
	"2008"	"2008"	"Montana"	"30"	70	976415	7.2
	"2008"	"2008"	"Nebraska"	"31"	30	1796378	1.7
	"2008"	"2008"	"Nevada"	"32"	437	2653630	16.5
	"2008"	"2008"	"New Hampshire"	"33"	94	1315906	7.1
	"2008"	"2008"	"New Jersey"	"34"	347	8711090	4.0
	"2008"	"2008"	"New Mexico"	"35"	330	2010662	16.4
	"2008"	"2008"	"New York"	"36"	1169	19212436	6.1
	"2008"	"2008"	"North Carolina"	"37"	859	9309449	9.2
	"2008"	"2008"	"North Dakota"	"38"	32	657569	4.9
	"2008"	"2008"	"Ohio"	"39"	863	11515391	7.5
	"2008"	"2008"	"Oklahoma"	"40"	416	3668976	11.3
	"2008"	"2008"	"Oregon"	"41"	348	3768748	9.2
	"2008"	"2008"	"Pennsylvania"	"42"	620	12612285	4.9
	"2008"	"2008"	"Rhode Island"	"44"	133	1055003	12.6
	"2008"	"2008"	"South Carolina"	"45"	228	4528996	5.0
	"2008"	"2008"	"South Dakota"	"46"	32	799124	4.0
	"2008"	"2008"	"Tennessee"	"47"	499	6247411	8.0
	"2008"	"2008"	"Texas"	"48"	986	24309039	4.1
	"2008"	"2008"	"Utah"	"49"	371	2663029	13.9
	"2008"	"2008"	"Vermont"	"50"	59	624151	9.5
	"2008"	"2008"	"Virginia"	"51"	501	7833496	6.4
	"2008"	"2008"	"Washington"	"53"	712	6562231	10.8
	"2008"	"2008"	"West Virginia"	"54"	387	1840310	21.0
	"2008"	"2008"	"Wisconsin"	"55"	380	5640996	6.7
	"2008"	"2008"	"Wyoming"	"56"	48	546043	8.8
	"2009"	"2009"	"Alabama"	"01"	210	4757938	4.4
	"2009"	"2009"	"Alaska"	"02"	94	698895	13.4
	"2009"	"2009"	"Arizona"	"04"	625	6343154	9.9
	"2009"	"2009"	"Arkansas"	"05"	221	2896843	7.6
	"2009"	"2009"	"California"	"06"	2128	36961229	5.8
	"2009"	"2009"	"Colorado"	"08"	412	4972195	8.3
	"2009"	"2009"	"Connecticut"	"09"	220	3561807	6.2
	"2009"	"2009"	"Delaware"	"10"	93	891730	10.4
	"2009"	"2009"	"District of Columbia"	"11"	13	592228	Unreliable
	"2009"	"2009"	"Florida"	"12"	1654	18652644	8.9
	"2009"	"2009"	"Georgia"	"13"	504	9620846	5.2
	"2009"	"2009"	"Hawaii"	"15"	59	1346717	4.4
	"2009"	"2009"	"Idaho"	"16"	66	1554439	4.2
	"2009"	"2009"	"Illinois"	"17"	933	12796778	7.3
	"2009"	"2009"	"Indiana"	"18"	339	6459325	5.2
	"2009"	"2009"	"Iowa"	"19"	148	3032870	4.9
	"2009"	"2009"	"Kansas"	"20"	160	2832704	5.6
	"2009"	"2009"	"Kentucky"	"21"	455	4317074	10.5
	"2009"	"2009"	"Louisiana"	"22"	131	4491648	2.9
	"2009"	"2009"	"Maine"	"23"	119	1329590	9.0
	"2009"	"2009"	"Maryland"	"24"	594	5730388	10.4
	"2009"	"2009"	"Massachusetts"	"25"	636	6517613	9.8
	"2009"	"2009"	"Michigan"	"26"	747	9901591	7.5
	"2009"	"2009"	"Minnesota"	"27"	278	5281203	5.3
	"2009"	"2009"	"Mississippi"	"28"	98	2958774	3.3
	"2009"	"2009"	"Missouri"	"29"	548	5961088	9.2
	"2009"	"2009"	"Montana"	"30"	94	983982	9.6
	"2009"	"2009"	"Nebraska"	"31"	68	1812683	3.8
	"2009"	"2009"	"Nevada"	"32"	498	2684665	18.5
	"2009"	"2009"	"New Hampshire"	"33"	127	1316102	9.6
	"2009"	"2009"	"New Jersey"	"34"	57	8755602	0.7
	"2009"	"2009"	"New Mexico"	"35"	212	2036802	10.4
	"2009"	"2009"	"New York"	"36"	1107	19307066	5.7
	"2009"	"2009"	"North Carolina"	"37"	864	9449566	9.1
	"2009"	"2009"	"North Dakota"	"38"	18	664968	Unreliable
	"2009"	"2009"	"Ohio"	"39"	716	11528896	6.2
	"2009"	"2009"	"Oklahoma"	"40"	583	3717572	15.7
	"2009"	"2009"	"Oregon"	"41"	382	3808600	10.0
	"2009"	"2009"	"Pennsylvania"	"42"	654	12666858	5.2
	"2009"	"2009"	"Rhode Island"	"44"	117	1053646	11.1
	"2009"	"2009"	"South Carolina"	"45"	248	4589872	5.4
	"2009"	"2009"	"South Dakota"	"46"	35	807067	4.3
	"2009"	"2009"	"Tennessee"	"47"	548	6306019	8.7
	"2009"	"2009"	"Texas"	"48"	1197	24801761	4.8
	"2009"	"2009"	"Utah"	"49"	393	2723421	14.4
	"2009"	"2009"	"Vermont"	"50"	46	624817	7.4
	"2009"	"2009"	"Virginia"	"51"	492	7925937	6.2
	"2009"	"2009"	"Washington"	"53"	737	6667426	11.1
	"2009"	"2009"	"West Virginia"	"54"	193	1847775	10.4
	"2009"	"2009"	"Wisconsin"	"55"	406	5669264	7.2
	"2009"	"2009"	"Wyoming"	"56"	34	559851	6.1
	"2010"	"2010"	"Alabama"	"01"	194	4779736	4.1
	"2010"	"2010"	"Alaska"	"02"	71	710231	10.0
	"2010"	"2010"	"Arizona"	"04"	650	6392017	10.2
	"2010"	"2010"	"Arkansas"	"05"	198	2915918	6.8
	"2010"	"2010"	"California"	"06"	2059	37253956	5.5
	"2010"	"2010"	"Colorado"	"08"	325	5029196	6.5
	"2010"	"2010"	"Connecticut"	"09"	225	3574097	6.3
	"2010"	"2010"	"Delaware"	"10"	116	897934	12.9
	"2010"	"2010"	"District of Columbia"	"11"	36	601723	6.0
	"2010"	"2010"	"Florida"	"12"	1739	18801310	9.2
	"2010"	"2010"	"Georgia"	"13"	550	9687653	5.7
	"2010"	"2010"	"Hawaii"	"15"	77	1360301	5.7
	"2010"	"2010"	"Idaho"	"16"	81	1567582	5.2
	"2010"	"2010"	"Illinois"	"17"	921	12830632	7.2
	"2010"	"2010"	"Indiana"	"18"	300	6483802	4.6
	"2010"	"2010"	"Iowa"	"19"	163	3046355	5.4
	"2010"	"2010"	"Kansas"	"20"	111	2853118	3.9
	"2010"	"2010"	"Kentucky"	"21"	624	4339367	14.4
	"2010"	"2010"	"Louisiana"	"22"	130	4533372	2.9
	"2010"	"2010"	"Maine"	"23"	91	1328361	6.9
	"2010"	"2010"	"Maryland"	"24"	522	5773552	9.0
	"2010"	"2010"	"Massachusetts"	"25"	577	6547629	8.8
	"2010"	"2010"	"Michigan"	"26"	725	9883640	7.3
	"2010"	"2010"	"Minnesota"	"27"	242	5303925	4.6
	"2010"	"2010"	"Mississippi"	"28"	105	2967297	3.5
	"2010"	"2010"	"Missouri"	"29"	612	5988927	10.2
	"2010"	"2010"	"Montana"	"30"	55	989415	5.6
	"2010"	"2010"	"Nebraska"	"31"	61	1826341	3.3
	"2010"	"2010"	"Nevada"	"32"	520	2700551	19.3
	"2010"	"2010"	"New Hampshire"	"33"	119	1316470	9.0
	"2010"	"2010"	"New Jersey"	"34"	384	8791894	4.4
	"2010"	"2010"	"New Mexico"	"35"	201	2059179	9.8
	"2010"	"2010"	"New York"	"36"	1115	19378102	5.8
	"2010"	"2010"	"North Carolina"	"37"	787	9535483	8.3
	"2010"	"2010"	"North Dakota"	"38"	18	672591	Unreliable
	"2010"	"2010"	"Ohio"	"39"	1197	11536504	10.4
	"2010"	"2010"	"Oklahoma"	"40"	523	3751351	13.9
	"2010"	"2010"	"Oregon"	"41"	337	3831074	8.8
	"2010"	"2010"	"Pennsylvania"	"42"	640	12702379	5.0
	"2010"	"2010"	"Rhode Island"	"44"	112	1052567	10.6
	"2010"	"2010"	"South Carolina"	"45"	278	4625364	6.0
	"2010"	"2010"	"South Dakota"	"46"	33	814180	4.1
	"2010"	"2010"	"Tennessee"	"47"	652	6346105	10.3
	"2010"	"2010"	"Texas"	"48"	1171	25145561	4.7
	"2010"	"2010"	"Utah"	"49"	353	2763885	12.8
	"2010"	"2010"	"Vermont"	"50"	45	625741	7.2
	"2010"	"2010"	"Virginia"	"51"	400	8001024	5.0
	"2010"	"2010"	"Washington"	"53"	648	6724540	9.6
	"2010"	"2010"	"West Virginia"	"54"	495	1852994	26.7
	"2010"	"2010"	"Wisconsin"	"55"	420	5686986	7.4
	"2010"	"2010"	"Wyoming"	"56"	49	563626	8.7
	"2011"	"2011"	"Alabama"	"01"	180	4802740	3.7
	"2011"	"2011"	"Alaska"	"02"	72	722718	10.0
	"2011"	"2011"	"Arizona"	"04"	596	6482505	9.2
	"2011"	"2011"	"Arkansas"	"05"	176	2937979	6.0
	"2011"	"2011"	"California"	"06"	2057	37691912	5.5
	"2011"	"2011"	"Colorado"	"08"	423	5116796	8.3
	"2011"	"2011"	"Connecticut"	"09"	213	3580709	5.9
	"2011"	"2011"	"Delaware"	"10"	115	907135	12.7
	"2011"	"2011"	"District of Columbia"	"11"	57	617996	9.2
	"2011"	"2011"	"Florida"	"12"	1637	19057542	8.6
	"2011"	"2011"	"Georgia"	"13"	549	9815210	5.6
	"2011"	"2011"	"Hawaii"	"15"	78	1374810	5.7
	"2011"	"2011"	"Idaho"	"16"	80	1584985	5.0
	"2011"	"2011"	"Illinois"	"17"	955	12869257	7.4
	"2011"	"2011"	"Indiana"	"18"	375	6516922	5.8
	"2011"	"2011"	"Iowa"	"19"	183	3062309	6.0
	"2011"	"2011"	"Kansas"	"20"	131	2871238	4.6
	"2011"	"2011"	"Kentucky"	"21"	707	4369356	16.2
	"2011"	"2011"	"Louisiana"	"22"	121	4574836	2.6
	"2011"	"2011"	"Maine"	"23"	95	1328188	7.2
	"2011"	"2011"	"Maryland"	"24"	562	5828289	9.6
	"2011"	"2011"	"Massachusetts"	"25"	669	6587536	10.2
