"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Jan., 1999"	"1999/01"	755	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	777	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	768	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	859	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	775	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	732	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	806	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	779	Not Applicable	Not Applicable
	"1999"	"1999"	"Sep., 1999"	"1999/09"	681	Not Applicable	Not Applicable
	"1999"	"1999"	"Oct., 1999"	"1999/10"	821	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	733	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	794	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			9280	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	843	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	839	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	857	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	893	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	970	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	828	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	783	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	784	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	696	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	634	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	718	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	794	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			9639	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	777	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	755	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	873	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	912	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	915	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	901	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	1018	Not Applicable	Not Applicable
	"2001"	"2001"	"Aug., 2001"	"2001/08"	1024	Not Applicable	Not Applicable
	"2001"	"2001"	"Sep., 2001"	"2001/09"	847	Not Applicable	Not Applicable
	"2001"	"2001"	"Oct., 2001"	"2001/10"	900	Not Applicable	Not Applicable
	"2001"	"2001"	"Nov., 2001"	"2001/11"	886	Not Applicable	Not Applicable
	"2001"	"2001"	"Dec., 2001"	"2001/12"	912	Not Applicable	Not Applicable
"Total"	"2001"	"2001"			10720	Not Applicable	Not Applicable
	"2002"	"2002"	"Jan., 2002"	"2002/01"	1084	Not Applicable	Not Applicable
	"2002"	"2002"	"Feb., 2002"	"2002/02"	1022	Not Applicable	Not Applicable
	"2002"	"2002"	"Mar., 2002"	"2002/03"	1192	Not Applicable	Not Applicable
	"2002"	"2002"	"Apr., 2002"	"2002/04"	1157	Not Applicable	Not Applicable
	"2002"	"2002"	"May, 2002"	"2002/05"	1188	Not Applicable	Not Applicable
	"2002"	"2002"	"Jun., 2002"	"2002/06"	1109	Not Applicable	Not Applicable
	"2002"	"2002"	"Jul., 2002"	"2002/07"	1147	Not Applicable	Not Applicable
	"2002"	"2002"	"Aug., 2002"	"2002/08"	1109	Not Applicable	Not Applicable
	"2002"	"2002"	"Sep., 2002"	"2002/09"	1017	Not Applicable	Not Applicable
	"2002"	"2002"	"Oct., 2002"	"2002/10"	1097	Not Applicable	Not Applicable
	"2002"	"2002"	"Nov., 2002"	"2002/11"	1168	Not Applicable	Not Applicable
	"2002"	"2002"	"Dec., 2002"	"2002/12"	1074	Not Applicable	Not Applicable
"Total"	"2002"	"2002"			13364	Not Applicable	Not Applicable
	"2003"	"2003"	"Jan., 2003"	"2003/01"	1219	Not Applicable	Not Applicable
	"2003"	"2003"	"Feb., 2003"	"2003/02"	1158	Not Applicable	Not Applicable
	"2003"	"2003"	"Mar., 2003"	"2003/03"	1251	Not Applicable	Not Applicable
	"2003"	"2003"	"Apr., 2003"	"2003/04"	1167	Not Applicable	Not Applicable
	"2003"	"2003"	"May, 2003"	"2003/05"	1274	Not Applicable	Not Applicable
	"2003"	"2003"	"Jun., 2003"	"2003/06"	1188	Not Applicable	Not Applicable
	"2003"	"2003"	"Jul., 2003"	"2003/07"	1269	Not Applicable	Not Applicable
	"2003"	"2003"	"Aug., 2003"	"2003/08"	1187	Not Applicable	Not Applicable
	"2003"	"2003"	"Sep., 2003"	"2003/09"	1114	Not Applicable	Not Applicable
	"2003"	"2003"	"Oct., 2003"	"2003/10"	1183	Not Applicable	Not Applicable
	"2003"	"2003"	"Nov., 2003"	"2003/11"	1161	Not Applicable	Not Applicable
	"2003"	"2003"	"Dec., 2003"	"2003/12"	1243	Not Applicable	Not Applicable
"Total"	"2003"	"2003"			14414	Not Applicable	Not Applicable
	"2004"	"2004"	"Jan., 2004"	"2004/01"	1321	Not Applicable	Not Applicable
	"2004"	"2004"	"Feb., 2004"	"2004/02"	1280	Not Applicable	Not Applicable
	"2004"	"2004"	"Mar., 2004"	"2004/03"	1345	Not Applicable	Not Applicable
	"2004"	"2004"	"Apr., 2004"	"2004/04"	1245	Not Applicable	Not Applicable
