State,State Code,state_age_prop,age_groups
Connecticut,09,0.07833273445921667,0-24
Connecticut,09,0.25404240028745956,25-34
Connecticut,09,0.24326266618756737,35-44
Connecticut,09,0.24110671936758893,45-54
Connecticut,09,0.1591807402084082,55-64
Connecticut,09,0.024074739489759252,65+
Maine,23,0.06315789473684211,0-24
Maine,23,0.3021052631578947,25-34
Maine,23,0.28421052631578947,35-44
Maine,23,0.22631578947368422,45-54
Maine,23,0.10736842105263159,55-64
Maine,23,0.016842105263157894,65+
Massachusetts,25,0.06881503860355824,0-24
Massachusetts,25,0.31201745552198723,25-34
Massachusetts,25,0.251930177912051,35-44
Massachusetts,25,0.2150050352467271,45-54
Massachusetts,25,0.13192346424974824,55-64
Massachusetts,25,0.020308828465928165,65+
New Hampshire,33,0.09689922480620156,0-24
New Hampshire,33,0.33798449612403103,25-34
New Hampshire,33,0.24263565891472869,35-44
New Hampshire,33,0.21007751937984495,45-54
New Hampshire,33,0.09534883720930233,55-64
New Hampshire,33,0.017054263565891473,65+
Rhode Island,44,0.06707317073170732,0-24
Rhode Island,44,0.25853658536585367,25-34
Rhode Island,44,0.25,35-44
Rhode Island,44,0.23658536585365852,45-54
Rhode Island,44,0.1548780487804878,55-64
Rhode Island,44,0.032926829268292684,65+
Vermont,50,0.07514450867052024,0-24
Vermont,50,0.32947976878612717,25-34
Vermont,50,0.2658959537572254,35-44
Vermont,50,0.19653179190751446,45-54
Vermont,50,0.09826589595375723,55-64
Vermont,50,0.03468208092485549,65+
New Jersey,34,0.08896210873146623,0-24
New Jersey,34,0.285172981878089,25-34
New Jersey,34,0.2253706754530478,35-44
New Jersey,34,0.2327841845140033,45-54
New Jersey,34,0.1457990115321252,55-64
New Jersey,34,0.021911037891268532,65+
New York,36,0.08608918284617026,0-24
New York,36,0.2810966503093663,25-34
New York,36,0.2135694474077235,35-44
New York,36,0.22733091529763175,45-54
New York,36,0.15542991252400257,55-64
New York,36,0.03648389161510561,65+
Pennsylvania,42,0.09537459283387623,0-24
Pennsylvania,42,0.321042345276873,25-34
Pennsylvania,42,0.2489902280130293,35-44
Pennsylvania,42,0.18996742671009773,45-54
Pennsylvania,42,0.1257328990228013,55-64
Pennsylvania,42,0.018892508143322474,65+
Illinois,17,0.08330747750542973,0-24
Illinois,17,0.2541110766366739,25-34
Illinois,17,0.2300651566863171,35-44
Illinois,17,0.23533974557865342,45-54
Illinois,17,0.1700279242941359,55-64
Illinois,17,0.027148619298789946,65+
Indiana,18,0.09042048687954474,0-24
Indiana,18,0.30761934871957003,25-34
Indiana,18,0.25861523869743913,35-44
Indiana,18,0.19380335124881443,45-54
Indiana,18,0.12582990831489094,55-64
Indiana,18,0.023711666139740753,65+
Michigan,26,0.0746039856923863,0-24
Michigan,26,0.2754215636177823,25-34
Michigan,26,0.23079543518991655,35-44
Michigan,26,0.2178504513711463,45-54
Michigan,26,0.16266394140691534,55-64
Michigan,26,0.03866462272185318,65+
Ohio,39,0.07857835787988358,0-24
Ohio,39,0.29464679424993384,25-34
Ohio,39,0.2657200811359026,35-44
Ohio,39,0.20389805097451275,45-54
Ohio,39,0.13546168092424377,55-64
Ohio,39,0.021695034835523416,65+
Wisconsin,55,0.09070380127963869,0-24
Wisconsin,55,0.30033872788859617,25-34
Wisconsin,55,0.24275498682724878,35-44
Wisconsin,55,0.19570944674444862,45-54
Wisconsin,55,0.13963116296575084,55-64
Wisconsin,55,0.030861874294316898,65+
Iowa,19,0.12612612612612611,0-24
Iowa,19,0.24684684684684685,25-34
Iowa,19,0.2126126126126126,35-44
Iowa,19,0.23603603603603604,45-54
Iowa,19,0.14954954954954955,55-64
Iowa,19,0.02882882882882883,65+
Kansas,20,0.09090909090909091,0-24
Kansas,20,0.1921487603305785,25-34
Kansas,20,0.2231404958677686,35-44
Kansas,20,0.22107438016528927,45-54
Kansas,20,0.2190082644628099,55-64
Kansas,20,0.05371900826446281,65+
Minnesota,27,0.13254035683942225,0-24
Minnesota,27,0.2829226847918437,25-34
Minnesota,27,0.20305862361937127,35-44
Minnesota,27,0.21495327102803738,45-54
Minnesota,27,0.14443500424808836,55-64
Minnesota,27,0.022090059473237042,65+
Missouri,29,0.113915857605178,0-24
Missouri,29,0.2922330097087379,25-34
Missouri,29,0.26019417475728157,35-44
Missouri,29,0.17637540453074432,45-54
Missouri,29,0.1284789644012945,55-64
Missouri,29,0.028802588996763755,65+
Nebraska,31,0.08692067501167536,0-24
Nebraska,31,0.27814616003736115,25-34
Nebraska,31,0.21440433169546588,35-44
Nebraska,31,0.15645721502101564,45-54
Nebraska,31,0.23178846669780095,55-64
Nebraska,31,0.03228315153668109,65+
North Dakota,38,0.1679508579977661,0-24
North Dakota,38,0.2799180966629435,25-34
North Dakota,38,0.2799180966629435,35-44
North Dakota,38,0.135960218379144,45-54
North Dakota,38,0.10396957876052187,55-64
North Dakota,38,0.03228315153668109,65+
South Dakota,46,0.136848847257439,0-24
South Dakota,46,0.3127973651598607,25-34
South Dakota,46,0.16617360024117594,35-44
South Dakota,46,0.1759485179024216,45-54
South Dakota,46,0.1759485179024216,55-64
South Dakota,46,0.032283151536681085,65+
Delaware,10,0.06744487678339818,0-24
Delaware,10,0.2905317769130999,25-34
Delaware,10,0.2619974059662776,35-44
Delaware,10,0.2178988326848249,45-54
Delaware,10,0.13748378728923477,55-64
Delaware,10,0.02464332036316472,65+
District of Columbia,11,0.017027863777089782,0-24
District of Columbia,11,0.08204334365325078,25-34
District of Columbia,11,0.12693498452012383,35-44
District of Columbia,11,0.2708978328173375,45-54
District of Columbia,11,0.38544891640866874,55-64
District of Columbia,11,0.11764705882352941,65+
Florida,12,0.0691911606951298,0-24
Florida,12,0.2889937781591933,25-34
Florida,12,0.26078094829435744,35-44
Florida,12,0.20070800257455482,45-54
Florida,12,0.149431452478009,55-64
Florida,12,0.030894657798755634,65+
Georgia,13,0.0851581508515815,0-24
Georgia,13,0.2638164754953076,25-34
Georgia,13,0.23635731664928744,35-44
Georgia,13,0.21550225929787972,45-54
Georgia,13,0.1578032672923184,55-64
Georgia,13,0.0413625304136253,65+
Maryland,24,0.06645410303742239,0-24
Maryland,24,0.25557979526766234,25-34
Maryland,24,0.21077361973485484,35-44
Maryland,24,0.2466856855177043,45-54
Maryland,24,0.18828662527269677,55-64
Maryland,24,0.03222017116965934,65+
North Carolina,37,0.09954579863739592,0-24
North Carolina,37,0.3022331566994701,25-34
North Carolina,37,0.25340651021953065,35-44
North Carolina,37,0.2095003785011355,45-54
North Carolina,37,0.11866010598031794,55-64
North Carolina,37,0.016654049962149888,65+
South Carolina,45,0.08546255506607929,0-24
South Carolina,45,0.24140969162995596,25-34
South Carolina,45,0.23788546255506607,35-44
South Carolina,45,0.2365638766519824,45-54
South Carolina,45,0.1656387665198238,55-64
South Carolina,45,0.03303964757709251,65+
Virginia,51,0.08536244052616848,0-24
Virginia,51,0.2952700811642877,25-34
Virginia,51,0.25524769101595296,35-44
Virginia,51,0.20766862580464596,45-54
Virginia,51,0.12510495382031905,55-64
Virginia,51,0.0313462076686258,65+
West Virginia,54,0.06276505513146735,0-24
West Virginia,54,0.25742154368108566,25-34
West Virginia,54,0.28880407124681934,35-44
West Virginia,54,0.22815945716709077,45-54
West Virginia,54,0.13952502120441052,55-64
West Virginia,54,0.02332485156912638,65+
Alabama,01,0.07962328767123289,0-24
Alabama,01,0.2782534246575343,25-34
Alabama,01,0.2722602739726028,35-44
Alabama,01,0.1986301369863014,45-54
Alabama,01,0.14469178082191783,55-64
Alabama,01,0.02654109589041096,65+
Kentucky,21,0.0701809107922645,0-24
Kentucky,21,0.2526512788521522,25-34
Kentucky,21,0.2944479101684342,35-44
Kentucky,21,0.23736743605739238,45-54
Kentucky,21,0.12788521522145976,55-64
Kentucky,21,0.017467248908296942,65+
